N	3gram	Vinokur_Vv_1	Istorich
1	и т д	37	15
2	в этих случаях	2	7
3	с другой стороны	5	7
4	в этом случае	6	5
5	до сих пор	5	5
6	в том что	12	5
7	тем не менее	8	5
8	как мы видели	2	5
9	что иное как	4	3
10	в данном случае	4	3
11	в связи с	2	3
12	не что иное	4	3
13	том что в	1	2
14	состоит в том	2	2
15	показывает что в	1	2
16	по отношению к	4	2
17	не представляют собой	1	2
18	точно так же	2	2
19	с одной стороны	4	2
20	и то что	2	2
21	мы уже знаем	1	2
22	во всяком случае	3	2
23	это еще не	2	2
24	о том что	12	2
25	но все же	3	2
26	мы имеем в	1	2
27	другой стороны вполне	1	1
28	стороны вполне возможно	1	1
29	что в этом	2	1
30	одним из них	1	1
31	с полной ясностью	1	1
32	в чем же	3	1
33	мы имеем дело	1	1
34	со стороны ее	1	1
35	и той же	2	1
36	подобно тому как	1	1
37	т е не	2	1
38	во многих случаях	1	1
39	в соответствии с	2	1
40	совершенно то же	1	1
41	прямо говорит о	1	1
42	с этой точки	1	1
43	как если бы	1	1
44	с точки зрения	2	1
45	прежде всего то	1	1
46	но и в	1	1
47	только то что	1	1
48	из того что	1	1
49	с тем что	3	1
50	что в нем	2	1
51	как нечто цельное	2	1
52	полученные результаты с	1	1
53	можно было бы	3	1
54	к ним в	1	1
55	вместе с тем	3	1
56	может быть и	2	1
57	ставит себе целью	1	1
58	уже потому что	1	1
59	это может быть	1	1
60	не только в	4	1
61	заключается в том	3	1
62	смысле этого слова	2	1
63	т е с	1	1
64	а не самый	1	1
65	имеем дело с	1	1
66	так или иначе	4	1
67	но вместе с	2	1
68	так же как	1	1
69	и в том	3	1
70	соответствии с этим	1	1
71	этой точки зрения	1	1
72	а так как	2	1
73	в целом но	1	1
74	есть не что	2	1
75	народов и в	2	1
76	то обстоятельство что	1	1
77	в силу которых	1	1
78	в свою очередь	1	1
79	и прежде всего	1	1
80	в них и	1	1
81	на самом деле	1	1
82	не может быть	8	1
83	прежде всего он	1	1
84	с самого начала	1	1
85	имеет своей целью	1	1
86	но в этом	1	1
87	при известных условиях	1	1
88	можно сказать что	3	1
89	также и в	2	1
90	дать ответ на	2	1
91	после того как	2	1
92	на долгое время	1	1
93	одной и той	2	1
94	т д однако	3	1
95	может быть в	2	1
96	т д в	2	1
97	на этот вопрос	3	1
98	на том что	2	1
