N	4gram	Bakhtin_sl_1	Problemy
1	в то же время	12	12
2	и в то же	5	5
3	бы то ни было	1	4
4	но в то же	4	3
5	в той или иной	9	2
6	пределах одного синтаксического целого	1	1
7	в пределах одного синтаксического	1	1
8	с самого начала в	1	1
9	но как мы сказали	1	1
10	на самом же деле	1	1
11	так и в отношении	1	1
12	его речь и его	1	1
13	как в отношении к	1	1
14	и прежде всего в	1	1
15	или во всяком случае	2	1
16	как мы сказали и	1	1
17	в большей или меньшей	3	1
18	той или иной степени	9	1
19	том и в другом	2	1
20	одно и то же	2	1
21	и в отношении к	1	1
22	и в том и	2	1
23	то же время он	1	1
24	как бы ни был	1	1
25	в том и в	2	1
26	и на протяжении всего	1	1
27	большей или меньшей степени	3	1
28	бы они ни были	1	1
