N	2gram	Medvedev_I_1	Problema
1	и не	2	28
2	и в	1	20
3	все эти	1	16
4	так и	1	10
5	в этом	2	9
6	все это	1	9
7	если бы	1	8
8	и с	3	7
9	с другой	1	7
10	и без	1	6
11	а также	1	6
12	другой стороны	1	6
13	в них	1	5
14	и очень	1	5
15	и о	1	5
16	жизни и	1	5
17	то и	1	5
18	в художественном	1	4
19	а в	1	4
20	вплоть до	1	3
21	как о	1	3
22	без этого	1	3
23	не так	1	3
24	для него	1	3
25	тем что	1	3
26	для того	1	3
27	а если	1	3
28	только для	1	3
29	что в	2	3
30	говорить о	1	2
31	значительной мере	1	2
32	он не	2	2
33	того же	1	2
34	того чтобы	1	2
35	он с	1	2
36	есть только	1	2
37	в значительной	1	2
38	это было	1	2
39	со всеми	1	2
40	себя в	1	2
41	другое дело	1	2
42	только что	1	2
43	с жизнью	1	1
44	бы всю	1	1
45	к нам	1	1
46	это был	1	1
47	в целом	1	1
48	и еще	1	1
49	в первую	1	1
50	нее и	1	1
51	от нее	1	1
52	его произведения	1	1
53	первую очередь	1	1
54	же писатель	1	1
55	нисколько не	1	1
56	ничего в	1	1
57	что при	1	1
58	никогда не	1	1
59	ничего не	2	1
60	так то	1	1
61	в основе	1	1
62	нечто и	1	1
63	и сам	1	1
64	о ней	1	1
65	того что	1	1
66	униженных и	1	1
67	и оскорбленных	1	1
68	не случайно	1	1
69	бы все	1	1
70	и др	1	1
71	что для	1	1
72	самого себя	2	1
73	бы в	1	1
74	не дает	1	1
75	нам в	1	1
76	бы его	1	1
77	по поводу	1	1
