N	2gram	Propp_Russ_2	Psycholo
1	и в	29	38
2	то что	5	35
3	все время	1	30
4	в том	22	25
5	в самом	1	25
6	что в	22	20
7	может быть	13	19
8	и что	5	18
9	на то	1	16
10	что она	3	16
11	в ней	1	15
12	и т	5	14
13	том что	22	14
14	если бы	1	14
15	как бы	18	14
16	потому что	5	14
17	в этом	11	13
18	в этой	3	13
19	не только	10	12
20	таким образом	6	12
21	было бы	3	12
22	не в	4	12
23	мы увидим	1	12
24	что он	1	11
25	то же	4	10
26	что это	3	10
27	и не	1	10
28	и все	4	10
29	увидим что	1	9
30	того чтобы	6	9
31	в двух	1	9
32	и то	2	8
33	с этим	2	8
34	все же	2	8
35	и как	2	8
36	с тем	6	8
37	как и	11	8
38	в одном	1	8
39	и это	1	8
40	так что	4	8
41	как раз	1	8
42	для того	6	8
43	перед нами	1	8
44	для нас	6	8
45	из этого	2	8
46	показать что	1	7
47	мы уже	1	7
48	с другой	2	7
49	не может	5	7
50	все то	2	7
51	как мы	3	7
52	в ее	3	7
53	что у	1	7
54	между тем	3	7
55	а не	4	7
56	а в	9	7
57	и на	6	6
58	в которых	4	6
59	как это	4	6
60	и если	1	6
61	мы видели	7	6
62	в котором	3	6
63	она не	3	6
64	не имеет	3	6
65	и его	1	6
66	с и	1	6
67	и здесь	1	6
68	о том	9	6
69	один из	2	6
70	с одной	2	6
71	из них	4	6
72	так как	13	6
73	там где	2	6
74	мы не	6	5
75	в своем	1	5
76	в которой	2	5
77	так сказать	1	5
78	на этом	3	5
79	в другом	1	5
80	несмотря на	1	5
81	в своей	2	5
82	и когда	1	5
83	в его	1	5
84	в какой	1	5
85	но и	8	5
86	одной стороны	2	5
87	вместе с	6	5
88	или в	7	5
89	другой стороны	1	5
90	совершенно не	2	5
91	что эти	1	4
92	что если	1	4
93	время как	1	4
94	во всех	3	4
95	что они	1	4
96	как в	7	4
97	когда он	1	4
98	все эти	3	4
99	в тех	1	4
100	если он	2	4
101	в нем	1	4
102	при этом	6	4
103	т д	5	4
104	здесь мы	2	4
105	но если	3	4
106	что этот	1	4
107	что эта	1	4
108	что с	2	4
109	одна из	11	4
110	никогда не	2	4
111	как будто	1	4
112	и совершенно	1	4
113	когда в	1	4
114	в виду	2	4
115	что и	2	4
116	с той	1	4
117	только в	1	4
118	не можем	2	4
119	при помощи	1	4
120	и даже	1	4
121	из которых	2	4
122	по своему	1	4
123	в течение	2	4
124	того что	3	4
125	и для	2	4
126	в свою	1	4
127	сказать что	1	4
128	ее в	8	4
129	в своих	2	4
130	должен быть	2	3
131	смысл этого	1	3
132	по его	1	3
133	полагает что	2	3
134	совсем не	2	3
135	что по	4	3
136	но в	5	3
137	та же	2	3
138	из этих	2	3
139	чем сильнее	1	3
140	не к	2	3
141	состоит в	15	3
142	могла бы	1	3
143	что все	1	3
144	его в	8	3
145	в них	4	3
146	далеко не	4	3
147	в такой	1	3
148	она в	1	3
149	место в	1	3
150	в то	2	3
151	того как	2	3
152	в основе	1	3
153	именно это	1	3
154	как только	1	3
155	указал на	1	3
156	и о	3	3
157	к тем	1	3
158	он был	1	3
159	из одного	1	3
160	здесь не	1	3
161	тот же	1	3
162	был бы	1	3
163	не так	1	3
164	ее не	1	3
165	к ним	1	3
166	тем что	3	3
167	то и	4	3
168	это только	1	3
169	только для	1	3
170	но это	1	3
171	все это	10	3
172	она может	1	3
173	нас совершенно	1	3
174	главным образом	3	3
175	в угол	1	3
176	одновременно и	1	3
177	прав когда	2	3
178	к этому	5	3
179	как на	1	3
180	в таком	4	3
181	например в	1	2
182	на самом	2	2
183	он может	1	2
184	которую они	1	2
185	нас на	1	2
186	совпадает с	1	2
187	между собой	2	2
188	что его	1	2
189	это имеет	2	2
190	видели что	4	2
191	очевидно что	2	2
192	не просто	1	2
193	и чем	1	2
194	отнюдь не	1	2
195	тем больше	1	2
196	в одной	1	2
197	что именно	1	2
198	и наконец	1	2
199	ясно и	1	2
200	этот случай	1	2
201	представляет собой	2	2
202	он в	1	2
203	что так	1	2
204	остановиться на	1	2
205	не могла	1	2
206	всех этих	1	2
207	до самого	1	2
208	и по	3	2
209	так например	1	2
210	в нее	1	2
211	на всю	1	2
212	и дает	1	2
213	из нее	2	2
214	показывает что	8	2
215	которые с	2	2
216	что чем	1	2
217	такой же	1	2
218	в эту	3	2
219	и ее	2	2
220	как все	1	2
221	его мнению	1	2
222	должны были	2	2
223	но он	3	2
224	но они	1	2
225	и более	1	2
226	их в	4	2
227	в этих	3	2
228	и очень	1	2
229	вместе и	1	2
230	в русской	1	2
231	дело не	2	2
232	вытекает из	1	2
233	ничего не	1	2
234	к ней	2	2
235	то это	1	2
236	животных и	1	2
237	у нас	4	2
238	когда мы	2	2
239	и которая	1	2
240	из всего	1	2
241	свою очередь	1	2
242	не могу	1	2
243	данном случае	7	2
244	то время	2	2
245	то как	1	2
246	в глаза	2	2
247	по аналогии	1	2
248	том как	1	2
249	для этого	5	2
250	с ним	1	2
251	мы рассмотрим	4	2
252	аналогии с	1	2
253	и во	1	2
254	у них	2	2
255	и следовательно	1	2
256	что здесь	3	2
257	дело так	1	2
258	и действительно	1	2
259	должен был	3	2
260	в качестве	3	2
261	есть в	2	2
262	уже не	4	2
263	или не	1	2
264	в виде	4	2
265	тем сильнее	1	2
266	который как	1	2
267	одно из	2	2
268	для него	1	2
269	всяком случае	1	2
270	могло бы	1	2
271	в конце	1	2
272	заметить что	2	2
273	представляют собой	7	2
274	таком виде	2	2
275	без всякой	1	2
276	здесь в	2	2
277	а с	2	2
278	и затем	1	2
279	говорит о	2	2
280	до конца	3	2
281	эти слова	1	2
282	к себе	1	2
283	в данном	6	2
284	что за	1	2
285	смысле этого	1	2
286	по существу	4	2
287	быть не	1	2
288	этого слова	1	2
289	с этой	2	2
290	и другими	1	2
291	не более	1	2
292	только что	1	2
293	же в	6	2
294	так же	4	2
295	его к	1	2
296	имеет место	1	2
297	из своей	1	2
298	к этой	1	2
299	и другие	14	2
300	во всяком	1	2
301	они представляют	2	1
302	а между	1	1
303	ли мы	1	1
304	же как	4	1
305	относится и	1	1
306	и потому	1	1
307	это и	2	1
308	ответить что	1	1
309	относятся к	1	1
310	и есть	1	1
311	цветы и	2	1
