N	2gram	Savitsky_P_1	Myshleni
1	в том	9	42
2	том что	4	35
3	в развитии	1	25
4	в этом	10	24
5	точки зрения	3	24
6	в качестве	9	21
7	и в	14	20
8	что в	4	19
9	заключается в	3	18
10	то же	9	16
11	не только	17	15
12	то что	4	15
13	может быть	5	12
14	с другой	5	12
15	потому что	3	12
16	с точки	3	11
17	в его	2	11
18	так же	1	11
19	мы должны	4	11
20	и то	1	10
21	на основе	1	10
22	в истории	1	10
23	в себе	3	10
24	в отношении	10	10
25	того что	2	10
26	мы видим	1	10
27	только в	7	10
28	если мы	1	10
29	и другие	1	9
30	могли бы	1	9
31	и как	3	9
32	как и	1	9
33	между тем	3	9
34	что и	1	9
35	тот же	3	9
36	с одной	3	9
37	одной стороны	3	9
38	другой стороны	1	9
39	но и	6	9
40	и тем	2	8
41	было бы	6	8
42	этом смысле	1	8
43	тогда когда	1	8
44	и что	1	8
45	вместе с	1	8
46	и не	12	8
47	в результате	1	8
48	собственном смысле	1	7
49	и более	1	7
50	тем самым	3	7
51	они являются	1	7
52	с другом	1	7
53	могут быть	3	7
54	того чтобы	1	7
55	в собственном	1	7
56	а не	2	7
57	что мы	3	7
58	как бы	4	7
59	друг с	1	7
60	же как	1	6
61	в самом	1	6
62	и на	1	6
63	одно и	1	6
64	те же	1	6
65	с тем	3	6
66	на каждом	1	6
67	в силу	2	6
68	его в	1	6
69	уже в	1	6
70	развития в	1	6
71	не может	4	6
72	с этим	2	5
73	все же	1	5
74	и к	4	5
75	на то	1	5
76	это не	3	5
77	в действии	1	5
78	никогда не	1	5
79	если бы	4	5
80	обе эти	1	5
81	мы можем	1	5
82	для того	3	5
83	выступает в	1	5
84	в частности	2	5
85	тем же	1	4
86	в своем	4	4
87	и с	2	4
88	в ходе	1	4
89	и при	1	4
90	по сравнению	2	4
91	не в	5	4
92	что с	1	4
93	что оно	1	4
94	и только	1	4
95	только что	1	4
96	из них	2	4
97	друг друга	1	4
98	во всей	2	4
99	в области	11	4
100	в смысле	6	4
101	для нас	2	4
102	во всяком	1	4
103	как известно	1	3
104	столь же	3	3
105	отнюдь не	2	3
106	но в	9	3
107	в которой	1	3
108	представляет собой	1	3
109	в этой	1	3
110	это значение	1	3
111	что все	1	3
112	и других	2	3
113	в этих	1	3
114	не менее	2	3
115	что эта	1	3
116	должно быть	2	3
117	является в	2	3
118	но не	3	3
119	в какой	1	3
120	всяком случае	1	3
121	себя в	1	3
122	не означает	1	3
123	от тех	1	3
124	со стороны	2	3
125	именно в	2	3
126	только к	1	3
127	сравнению с	1	3
128	наряду с	3	3
129	в условиях	1	3
130	по одному	1	3
131	в виде	2	3
132	также и	1	2
133	связана с	1	2
134	переход от	2	2
135	выражается в	1	2
136	должна быть	1	2
137	момент когда	1	2
138	что если	1	2
139	что уже	1	2
140	место в	1	2
141	план в	1	2
142	мы и	1	2
143	в ней	6	2
144	отличие от	1	2
145	не просто	1	2
146	стороны и	2	2
147	из этих	1	2
148	во многих	1	2
