N	2gram	Tiupa_Lite_1	Narrotol
1	не только	24	31
2	но и	17	27
3	и не	12	23
4	при этом	19	19
5	может быть	13	15
6	в качестве	17	14
7	в частности	15	14
8	как и	6	13
9	в тексте	8	13
10	а не	16	13
11	а в	3	13
12	в этом	12	12
13	только в	8	12
14	и в	8	11
15	в данном	5	11
16	тогда как	13	10
17	состоит в	11	10
18	своего рода	11	10
19	и его	4	10
20	такого рода	10	10
21	с собачкой	2	9
22	то есть	6	9
23	то что	10	9
24	то же	5	8
25	представляет собой	4	8
26	иначе говоря	1	8
27	не может	5	8
28	данном случае	4	8
29	в том	16	8
30	уже не	7	8
31	со стороны	4	8
32	и т.п	4	8
33	в рассказе	1	8
34	но в	3	7
35	том что	14	7
36	если бы	1	7
37	у него	3	7
38	и он	1	6
39	в самом	3	6
40	не в	8	6
41	в этой	4	6
42	в себе	7	6
43	тому же	2	6
44	не мог	3	6
45	к тому	2	6
46	у чехова	1	6
47	и т.д	1	6
48	одного из	3	6
49	во втором	2	6
50	в его	7	6
51	как бы	7	6
52	один из	3	6
53	как раз	4	6
54	или в	1	6
55	а также	5	6
56	жизни и	3	6
57	между двумя	1	5
58	и на	1	5
59	как правило	2	5
60	перед нами	1	5
61	так и	4	5
62	точки зрения	6	5
63	в своей	4	5
64	тем самым	5	5
65	потому что	3	5
66	можно сказать	1	5
67	в соответствии	1	5
68	столь же	4	5
69	то в	1	4
70	на себя	2	4
71	еще не	4	4
72	с его	5	4
73	но не	4	4
74	как в	5	4
75	все же	4	4
76	из этих	2	4
77	в нем	2	4
78	в принципе	3	4
79	в мире	2	4
80	из них	4	4
81	и тем	4	4
82	соответствии с	1	4
83	с позиции	2	4
84	в одном	1	4
85	вплоть до	2	4
86	в то	5	4
87	одна из	3	4
88	никогда не	4	4
89	в сознании	2	4
90	к себе	3	4
91	так в	1	4
92	о том	2	4
93	же время	5	4
94	а во	1	4
95	к нему	1	4
96	в литературе	1	4
97	того что	6	4
98	для него	2	4
99	слова в	1	4
100	или иной	2	4
101	прежде всего	11	4
102	из наиболее	2	4
103	мира в	3	4
104	чужого слова	1	4
105	этом и	1	4
106	однако и	1	4
107	в третьем	1	4
108	или не	1	4
109	имеет место	1	4
110	и состоит	1	4
111	как известно	1	3
112	также и	3	3
113	и то	2	3
114	самом деле	2	3
115	идет о	1	3
116	едва ли	1	3
117	всего лишь	4	3
118	мы имеем	1	3
119	мы не	1	3
120	а для	2	3
121	он сам	1	3
122	но как	1	3
123	в центре	1	3
124	в своем	11	3
125	и как	1	3
126	в целом	8	3
127	в нашем	1	3
128	большей части	1	3
129	он не	1	3
130	подобно тому	2	3
131	и с	1	3
132	в глазах	1	3
133	это не	4	3
134	художественного письма	9	3
135	по мысли	2	3
136	в воспринимающем	1	3
137	в жизни	6	3
138	в слове	2	3
139	не всегда	1	3
140	в ходе	1	3
141	тем не	2	3
142	однако в	2	3
143	не менее	7	3
144	в русской	10	3
145	о них	1	3
146	как будто	2	3
147	этом отношении	2	3
148	и о	1	3
149	но при	2	3
150	еще в	4	3
151	различного рода	2	3
152	сводится к	3	3
153	о нем	1	3
154	обращается к	2	3
155	его жизни	1	3
156	лишь в	4	3
157	в конечном	5	3
158	между тем	2	3
159	человеческого опыта	1	3
160	что он	5	3
161	в состав	1	3
162	по отношению	3	3
163	может служить	1	3
164	представляют собой	1	3
165	в финале	1	3
166	именно в	1	3
167	при всей	3	3
168	по большей	1	3
169	не было	3	3
170	как это	8	3
171	текста в	1	3
172	тому как	2	3
173	исходя из	3	3
174	быть не	1	3
175	в начале	1	3
176	но для	1	3
177	это уже	2	3
178	не является	2	3
179	и все	1	3
180	в поле	2	3
181	отношению к	2	3
182	что в	3	3
183	в сфере	3	2
184	тем же	3	2
185	мать и	1	2
186	в зависимости	1	2
187	событие это	1	2
188	в сущности	2	2
189	и чужого	1	2
190	жизни как	1	2
191	ему в	1	2
192	более не	2	2
193	зависимости от	1	2
194	и самого	2	2
195	столько же	1	2
196	в чем	1	2
197	в наиболее	1	2
198	в зеркале	1	2
199	отличие от	5	2
200	в е	2	2
201	один и	1	2
202	отнюдь не	2	2
203	в той	1	2
204	истории он	1	2
205	сознания в	12	2
206	дамы с	2	2
207	и событие	1	2
208	та же	2	2
209	или несколькими	1	2
210	роль в	2	2
211	на две	1	2
212	на то	1	2
213	в случае	4	2
214	так сказать	1	2
215	ключ к	1	2
216	и вот	1	2
217	человека в	1	2
218	а по	1	2
219	это было	1	2
220	я в	5	2
221	для них	2	2
222	этого не	2	2
223	а за	1	2
224	он и	3	2
225	в москве	2	2
226	жизни но	1	2
227	и того	2	2
