N	3gram	Tiupa_Narr_1	Mirosoze
1	не может быть	5	8
2	есть прежде всего	1	5
3	что иное как	2	3
4	никогда не было	1	3
5	же как и	1	3
6	до сих пор	1	3
7	так же как	2	3
8	есть не что	1	3
9	не что иное	2	3
10	а не в	2	2
11	подобно тому как	2	2
12	но это не	1	2
13	может быть и	1	2
14	все равно что	1	2
15	о том что	6	2
16	по отношению к	6	2
17	как и в	1	2
18	никогда не бывает	1	2
19	в том что	8	2
20	том что в	1	1
21	они в сущности	1	1
22	не мог бы	1	1
23	того что существует	1	1
24	том что он	1	1
25	так и не	2	1
26	все та же	2	1
27	с точки зрения	2	1
28	сам по себе	1	1
29	и быть может	1	1
30	на что не	1	1
31	в этом отношении	3	1
32	все те же	4	1
33	в другом и	1	1
34	в той мере	1	1
35	у нас нет	1	1
36	и не было	1	1
37	в мире не	1	1
38	в значительной степени	2	1
39	а не только	1	1
40	той мере в	1	1
41	что это за	1	1
42	ни на что	1	1
43	он уже не	1	1
44	мере в какой	1	1
45	как бы не	1	1
46	на протяжении всего	1	1
47	и не то	1	1
48	той или иной	4	1
49	что нет у	2	1
50	на самом деле	1	1
51	он видит в	1	1
52	во всех его	1	1
53	по своей природе	1	1
