N	2gram	Nazirov_Tv_2	RusskieA
1	и в	20	36
2	а а	4	25
3	не только	13	22
4	том что	4	19
5	что в	7	19
6	а н	2	18
7	в том	8	17
8	но и	8	16
9	так как	3	15
10	во время	1	14
11	и м	2	14
12	и другие	1	13
13	в этом	8	12
14	и т	13	10
15	в xix	2	10
16	и на	5	10
17	в этот	2	10
18	это не	7	10
19	как и	6	10
20	как мы	1	10
21	вместе с	3	10
22	потому что	7	10
23	этот день	1	10
24	т д	11	9
25	об этом	4	9
26	а в	4	9
27	и по	2	8
28	у нас	2	8
29	о том	5	8
30	один из	3	8
31	из них	2	8
32	может быть	8	8
33	как это	1	8
34	что они	4	7
35	так и	6	7
36	между тем	3	7
37	что и	1	7
38	и других	2	7
39	представляют собой	1	7
40	мы не	4	6
41	в виде	2	6
42	так например	3	6
43	таким образом	10	6
44	при этом	8	6
45	в день	1	6
46	не имеет	1	6
47	уже не	3	6
48	в них	1	6
49	и не	9	6
50	все это	6	6
51	для нас	1	6
52	будто бы	1	6
53	в новый	1	6
54	то что	3	6
55	как в	4	5
56	все же	5	5
57	во многих	2	5
58	показывает что	4	5
59	в которых	3	5
60	как будто	1	5
61	там же	9	5
62	с ними	2	5
63	и у	2	5
64	в течение	1	5
65	как бы	11	5
66	н а	1	5
67	с в	1	4
68	г в	1	4
69	в первый	1	4
70	еще не	5	4
71	во всех	1	4
72	представляет собой	1	4
73	после этого	1	4
74	в россии	2	4
75	с собой	1	4
76	входит в	1	4
77	их на	1	4
78	в г	1	4
79	из этих	1	4
80	в их	3	4
81	что этот	2	4
82	тому что	1	4
83	вплоть до	1	4
84	одна из	3	4
85	в русском	1	4
86	связи с	1	4
87	что на	2	4
88	к тому	1	4
89	его с	1	4
90	так в	2	4
91	еще в	1	4
92	и что	2	4
93	и их	1	4
94	тем что	3	4
95	а с	3	4
96	и др	3	4
97	и а	1	4
98	но это	5	4
99	в связи	1	4
100	как уже	1	4
101	не может	7	4
102	только в	2	4
103	к этому	3	4
104	представление о	7	3
105	как правило	2	3
106	своего рода	3	3
107	если в	1	3
108	не можем	1	3
109	что это	1	3
110	думать что	1	3
111	в основном	6	3
112	то же	7	3
113	совпадают с	1	3
114	для них	1	3
115	он же	2	3
116	несмотря на	1	3
117	в этих	1	3
118	таким же	1	3
119	их в	2	3
120	не менее	2	3
121	ничего не	4	3
122	в поле	1	3
123	приводит к	2	3
124	к жизни	2	3
125	не с	1	3
126	начиная с	2	3
127	то есть	5	3
128	в середине	1	3
129	всякого рода	2	3
130	в одном	2	3
131	в области	1	3
132	на этот	2	3
133	в честь	2	3
134	так же	5	3
135	на ивана	1	3
136	этого слова	1	3
137	в целях	1	3
138	и к	1	3
139	в свою	1	3
140	но эти	2	3
141	как известно	2	2
142	можно говорить	1	2
143	например в	5	2
144	которого в	1	2
145	переход от	1	2
146	на западе	3	2
147	в доме	1	2
148	на себя	1	2
149	в самих	1	2
150	он был	1	2
151	но не	5	2
152	тогда как	3	2
153	не просто	1	2
154	отнюдь не	4	2
155	как по	2	2
156	с этим	1	2
157	хотя и	4	2
158	и как	1	2
159	его к	1	2
160	но в	4	2
161	с г	1	2
162	в целом	6	2
163	все эти	4	2
164	и и	1	2
165	в дальнейшем	4	2
166	и до	1	2
167	после чего	1	2
168	к выводу	1	2
169	что она	4	2
170	в нем	3	2
171	не значит	1	2
172	чем у	1	2
173	в силу	1	2
174	в году	16	2
175	в каждом	1	2
176	же не	2	2
177	главным образом	1	2
178	и с	8	2
179	в жизни	1	2
180	такой же	2	2
181	в один	1	2
182	должны были	1	2
183	и более	1	2
184	том же	2	2
185	нас к	1	2
186	она не	1	2
187	у него	6	2
188	а мы	1	2
189	и здесь	1	2
190	могут быть	2	2
191	сходство с	1	2
192	день и	1	2
193	ничего общего	1	2
194	свою очередь	1	2
195	в в	1	2
196	мы наблюдаем	1	2
197	что у	4	2
198	в образе	3	2
199	что от	1	2
200	с ним	3	2
201	означает что	1	2
202	характер этого	1	2
203	и поэтому	2	2
204	в память	1	2
205	в различных	1	2
206	в его	10	2
207	е а	3	2
208	в свете	3	2
209	к ней	1	2
210	значит что	1	2
211	не случайно	2	2
212	этот вопрос	3	2
213	но ни	1	2
214	так что	2	2
215	в большинстве	1	2
216	его и	2	2
217	не означает	2	2
218	тут же	2	2
219	не было	2	2
220	такое же	1	2
221	с ней	1	2
222	а не	6	2
223	должна была	1	2
224	в частности	2	2
225	и потому	4	2
226	предположить что	1	2
227	считал что	1	2
228	только для	2	2
229	между собой	1	2
230	мы видим	4	2
231	и для	1	2
232	когда он	4	2
233	года в	7	2
234	у которых	1	2
235	в своих	3	2
236	нас не	1	2
237	ту же	1	1
238	же как	3	1
239	таком случае	2	1
240	христа на	1	1
241	но смысл	1	1
242	крестьян и	1	1
243	самом деле	2	1
244	только потому	1	1
245	что дает	1	1
246	в первом	1	1
247	сам и	1	1
248	по преимуществу	2	1
249	быт в	1	1
250	и ее	2	1
251	видеть в	1	1
252	и за	1	1
253	приходит к	1	1
254	мы уже	1	1
255	из всех	1	1
256	это объяснение	1	1
257	исчезли из	1	1
258	что если	1	1
259	на место	1	1
260	из своих	1	1
261	этом не	1	1
262	на глазах	1	1
263	говорить о	2	1
264	тем из	1	1
265	чем их	2	1
266	не вполне	1	1
267	где с	1	1
268	же что	1	1
269	власть над	1	1
270	и он	2	1
271	христианского учения	1	1
272	в отличие	2	1
273	не был	1	1
274	в чем	4	1
275	истории в	1	1
276	с его	1	1
277	не без	1	1
278	в петербурге	1	1
279	на основе	1	1
280	а только	1	1
281	целом ряде	1	1
282	не все	1	1
283	ответ на	1	1
284	по отношению	3	1
285	отличие от	2	1
286	значение имеет	1	1
287	далее следует	1	1
288	в истории	2	1
289	в гости	1	1
290	же с	9	1
291	общего с	1	1
292	сочетается с	1	1
293	это был	3	1
294	однако не	1	1
295	перед нами	1	1
296	и наконец	2	1
297	в меру	1	1
298	в которой	2	1
299	из жизни	2	1
300	за это	1	1
301	вообще а	1	1
302	характере этого	1	1
303	общеизвестно что	1	1
304	в себе	3	1
305	тому же	2	1
306	думается что	2	1
307	на то	1	1
308	не нужны	1	1
309	в случае	1	1
310	с января	1	1
311	с малым	1	1
312	он не	3	1
313	у древних	1	1
314	не к	1	1
315	в начале	3	1
316	выходить журнал	1	1
317	из мертвых	1	1
318	эта же	1	1
319	а затем	3	1
320	что все	1	1
321	значение в	1	1
322	возникает еще	1	1
323	его в	3	1
324	известно что	2	1
325	должен был	1	1
326	ни в	1	1
327	можно это	1	1
328	о характере	1	1
329	нет в	1	1
330	типичен для	1	1
331	в этой	5	1
332	жизни то	1	1
333	его дома	1	1
334	как видно	1	1
335	со своими	2	1
336	мы видели	1	1
337	в развитии	1	1
338	года и	4	1
339	зато в	2	1
340	но если	2	1
341	еще менее	1	1
342	и без	2	1
343	напоминают нам	1	1
344	место в	3	1
345	не столько	2	1
346	этого вопроса	1	1
347	что я	2	1
348	одном из	2	1
349	но эта	2	1
350	точку зрения	2	1
351	того времени	1	1
352	такую же	1	1
353	сохранилась и	1	1
354	и эти	1	1
355	не могли	2	1
356	сам он	1	1
357	что христос	1	1
358	дня и	1	1
359	виду что	1	1
360	в то	10	1
361	не о	1	1
362	хотелось бы	1	1
363	дело в	1	1
364	в основе	2	1
365	года он	3	1
366	заключалось в	1	1
367	не полностью	1	1
368	от описания	1	1
369	на землю	2	1
370	однако такое	1	1
371	же после	1	1
372	в тексте	1	1
373	от октября	1	1
374	и его	9	1
375	особое значение	1	1
376	должны иметь	1	1
377	окна и	1	1
378	ему не	1	1
379	ни о	1	1
380	в городе	1	1
381	в духе	4	1
382	в среде	1	1
383	содержанием и	1	1
384	если же	1	1
385	быть назван	1	1
386	для себя	1	1
387	и это	3	1
388	и о	1	1
389	н ф	1	1
390	у себя	1	1
391	в виду	1	1
392	на другой	1	1
393	то время	1	1
394	и сам	5	1
395	можно было	1	1
396	здесь он	1	1
397	из всего	1	1
398	каждого из	1	1
399	что также	1	1
400	и мы	3	1
401	вопрос этот	1	1
402	считалось что	1	1
403	вошел в	1	1
404	во второй	1	1
405	жизнь и	1	1
406	быть может	3	1
407	если бы	4	1
408	приводит его	1	1
409	и вообще	2	1
410	по мере	1	1
411	быту и	1	1
412	сходство это	1	1
413	при котором	1	1
414	ли не	2	1
415	смерти она	1	1
416	чтобы вызвать	2	1
417	можно встретить	1	1
418	свиную голову	1	1
419	раньше чем	1	1
420	с а	1	1
421	о своих	2	1
422	было бы	1	1
423	не так	2	1
424	д и	2	1
425	сразу же	1	1
426	тот же	1	1
427	что он	6	1
428	в жертву	1	1
429	даже если	1	1
430	который в	1	1
431	в область	3	1
432	или его	1	1
433	жизни как	1	1
434	точка зрения	2	1
435	основная форма	1	1
436	том чтобы	1	1
437	вот что	1	1
438	и детей	1	1
439	уже в	2	1
440	смысла в	1	1
441	не дает	1	1
442	который по	1	1
443	не составляет	1	1
444	всяком случае	2	1
445	нуждается в	1	1
446	т п	2	1
447	может служить	2	1
448	не могут	1	1
449	ф м	3	1
450	следует признать	1	1
451	смерти и	1	1
452	не противоречит	1	1
453	возможно что	1	1
454	раза в	1	1
455	влияние на	1	1
456	как у	3	1
457	к которому	2	1
458	что не	3	1
459	что для	1	1
460	связано с	1	1
461	в любой	1	1
462	жизнь в	1	1
463	с м	1	1
464	которой он	2	1
465	под влиянием	1	1
466	мы знаем	1	1
467	всецело и	1	1
468	если не	4	1
469	себя на	2	1
470	уже давно	1	1
471	года когда	2	1
472	другой день	1	1
473	но такое	1	1
474	в пределах	1	1
475	по поводу	1	1
476	не дают	1	1
477	наряду с	7	1
478	в первой	2	1
479	и мотивы	1	1
480	может относиться	1	1
481	как только	1	1
482	это как	1	1
483	под названием	1	1
484	не является	3	1
485	а к	1	1
486	совершенно ясна	1	1
487	от него	1	1
488	или нет	1	1
489	только с	2	1
490	народа на	1	1
491	нет никаких	1	1
492	для людей	1	1
493	в ад	1	1
494	и русских	1	1
495	это все	2	1
496	между ними	1	1
497	не знает	1	1
498	сказать что	1	1
499	только как	1	1
500	уверенности что	1	1
501	но можно	1	1
502	от декабря	1	1
503	им не	1	1
504	отношению к	3	1
505	в таком	3	1
506	следует тому	1	1
507	и вновь	1	1
508	как на	1	1
509	точно так	1	1
510	во всяком	2	1
