N	2gram	Tiupa_Anal_2	IolandNe
1	и не	12	2
2	в этом	18	2
3	он не	2	2
4	ничего не	9	2
5	самого себя	1	2
6	что в	2	2
7	только что	1	1
8	нисколько не	1	1
9	все эти	1	1
10	то и	1	1
11	точно и	1	1
12	с другой	6	1
13	о жизни	2	1
14	с а	1	1
15	для него	4	1
16	того что	2	1
17	отношению к	4	1
18	и о	1	1
19	не так	4	1
20	говорить о	6	1
21	не слишком	1	1
22	что при	1	1
23	тех же	1	1
24	вплоть до	1	1
25	в целом	8	1
26	это было	2	1
27	в художественном	1	1
28	следующим образом	1	1
29	с героем	1	1
30	так и	15	1
31	но когда	1	1
32	автора и	3	1
33	неудивительно что	1	1
34	них не	2	1
35	по отношению	4	1
36	было не	1	1
37	как о	3	1
38	себя в	2	1
39	и сам	3	1
40	стало быть	2	1
41	по поводу	3	1
42	если бы	3	1
43	того же	4	1
44	с жизнью	1	1
45	как смерть	2	1
46	в значительной	2	1
47	в первую	1	1
48	только для	1	1
49	и тот	1	1
50	первую очередь	1	1
51	а также	7	1
52	бы в	3	1
53	а в	3	1
54	очевидно что	1	1
55	то она	1	1
56	по существу	2	1
57	и в	16	1
58	другое дело	1	1
59	не случайно	8	1
60	ибо и	1	1
61	в эту	3	1
62	все это	4	1
63	на котором	2	1
64	тем что	3	1
65	он с	1	1
66	я не	1	1
67	другой стороны	2	1
68	никогда не	3	1
69	в них	1	1
