N	3gram	Vinokur_St_1	Otkroven
1	для того чтобы	10	3
2	что же это	1	2
3	и в этом	3	2
4	никогда не было	1	2
5	а не в	1	2
6	не может быть	5	2
7	но и в	2	2
8	же это за	1	2
9	нужно искать не	2	2
10	и никогда не	1	2
11	смысле этого слова	1	1
12	в другом месте	1	1
13	как будто бы	1	1
14	потому что ведь	1	1
15	не в том	2	1
16	а вовсе не	1	1
17	том что в	3	1
18	это бы еще	1	1
19	я имею в	1	1
20	в самом деле	5	1
21	том-то и дело	1	1
22	и в том	2	1
23	он не только	1	1
24	о том как	1	1
25	должен был бы	1	1
26	влагает в уста	1	1
27	и не может	1	1
28	имею в виду	1	1
29	во всяком случае	6	1
30	в россии в	1	1
31	не могут и	1	1
32	в иных случаях	2	1
33	он должен был	2	1
34	даже и в	1	1
35	после того как	1	1
36	о том что	11	1
37	в этом отношении	7	1
38	то что в	2	1
39	и в самом	3	1
40	вовсе не так	1	1
41	в том что	17	1
42	а иногда и	2	1
43	и дело что	1	1
44	на то что	4	1
45	и не в	1	1
46	в том случае	1	1
47	и то что	2	1
48	в том-то и	1	1
49	отличается от всех	1	1
50	в каждом из	1	1
51	как и в	2	1
