N	3gram	Bakhtin_Fr_4	Tragedij
1	то же время	8	5
2	в то же	8	5
3	так и в	1	3
4	в отличие от	1	2
5	о чем он	1	2
6	и в дальнейшем	1	2
7	в данном случае	1	2
8	но в то	1	2
9	и как бы	1	2
10	о том что	2	2
11	в том что	1	2
12	мировой литературы и	1	1
13	второй части романа	1	1
14	связан и с	1	1
15	и до конца	3	1
16	это пародия на	1	1
17	и не может	1	1
18	в той же	1	1
19	и то что	1	1
20	за то что	1	1
21	в известной мере	3	1
22	подчеркнуть что образ	1	1
23	в конце концов	4	1
24	смысле этого слова	1	1
25	по природе своей	1	1
26	начала и до	3	1
27	все же не	1	1
28	в связи с	1	1
29	не может быть	1	1
30	все эти образы	1	1
31	как и все	5	1
32	это и есть	3	1
33	в дальнейшем он	1	1
34	с того что	1	1
35	с самого начала	3	1
36	как своего рода	1	1
37	с начала и	3	1
38	роль в романе	1	1
39	в разговоре с	1	1
