N	3gram	Losev_Dial_2	Narrotol
1	в данном случае	2	8
2	не только в	2	6
3	в том что	6	5
4	к тому же	1	5
5	то же время	4	4
6	той или иной	1	4
7	в то же	3	4
8	не может быть	3	4
9	подобно тому как	1	3
10	в этом отношении	1	3
11	тем не менее	2	3
12	речь идет о	1	3
13	о том что	4	2
14	в самом деле	3	2
15	то же самое	2	2
16	не было и	1	2
17	до сих пор	2	2
18	сами по себе	3	2
19	но и в	1	2
20	в зависимости от	2	2
21	одно и то	4	2
22	как раз в	1	2
23	и то же	4	2
24	в связи с	4	2
25	во всяком случае	2	2
26	о них как	1	2
27	не только на	1	2
28	можно сказать что	3	2
29	что иное как	3	1
30	только потому что	1	1
31	это то что	1	1
32	человек и как	1	1
33	мере того как	1	1
34	более или менее	2	1
35	большей или меньшей	1	1
36	по мере того	1	1
37	же как и	1	1
38	с другой стороны	4	1
39	с точки зрения	8	1
40	и не только	5	1
41	как это было	2	1
42	и не может	1	1
43	как и все	2	1
44	и в то	1	1
45	сам по себе	3	1
46	бы то ни	1	1
47	только то что	4	1
48	том что именно	1	1
49	что не только	1	1
50	и то что	1	1
51	точно так же	1	1
52	но в зависимости	1	1
53	по крайней мере	9	1
54	не то что	1	1
55	может быть и	3	1
56	что это за	2	1
57	с одной стороны	1	1
58	но при этом	1	1
59	так как это	2	1
60	друг с другом	1	1
61	и как бы	1	1
62	в нем не	1	1
63	не он сам	1	1
64	в той или	2	1
65	и та же	4	1
66	одна и та	4	1
67	связи с этим	1	1
68	при всей своей	1	1
69	бросается в глаза	1	1
70	содержит в себе	3	1
71	и всякий другой	1	1
72	той или другой	3	1
73	и как будто	1	1
74	то что мы	1	1
75	имея в виду	1	1
76	сказать и о	1	1
77	само по себе	2	1
78	так и его	1	1
79	но все же	1	1
80	и не происходит	1	1
81	к тому что	1	1
82	на самом деле	1	1
83	мы уже знаем	3	1
84	и даже не	1	1
85	по себе а	1	1
86	обратим внимание на	1	1
87	и т д	15	1
