N	3gram	Medvedev_F_1	Sovremen
1	мы не можем	2	6
2	с точки зрения	13	5
3	в зависимости от	2	4
4	не может быть	5	4
5	не может не	1	3
6	с самого начала	1	3
7	тем не менее	1	2
8	во всяком случае	4	2
9	в отличие от	1	2
10	в свою очередь	6	2
11	может быть и	3	2
12	поэтому мы не	1	2
13	в настоящее время	10	2
14	еще более недопустимо	1	1
15	и может быть	1	1
16	и потому совершенно	1	1
17	а это последнее	1	1
18	и в этом	2	1
19	одной стороны и	4	1
20	уже знаем что	1	1
21	тот или другой	1	1
22	возникновения и развития	1	1
23	в связи с	2	1
24	все более и	2	1
25	по отношению к	4	1
26	первый период развития	1	1
27	на самом деле	6	1
28	и до сих	1	1
29	как и во	1	1
30	научной мысли в	1	1
31	в новое время	1	1
32	в этом смысле	1	1
33	так же как	1	1
34	а в настоящее	2	1
35	и конкретную методику	1	1
36	смысле можно говорить	1	1
37	совершенно независимо от	1	1
38	до сих пор	6	1
39	и во всех	1	1
40	то же время	8	1
41	тот или иной	1	1
42	раз и навсегда	1	1
43	и в то	1	1
44	сами по себе	2	1
45	по аналогии с	3	1
46	ни одного из	1	1
47	бы то ни	3	1
48	в самом конце	1	1
49	приводит и к	1	1
50	как одной из	1	1
51	метода не может	1	1
52	это значит что	1	1
53	прежде всего мы	1	1
54	но отнюдь не	1	1
55	но все эти	1	1
56	более и более	2	1
57	и не может	2	1
58	все же в	1	1
59	но все же	1	1
60	в первый период	1	1
61	в то же	8	1
62	мы видим что	1	1
63	в процессе развития	1	1
64	мы уже знаем	1	1
65	в том что	1	1
66	в данном случае	1	1
67	этом смысле можно	1	1
68	и действительно если	1	1
69	дело идет о	2	1
70	его между двумя	1	1
71	то ни было	1	1
72	в предыдущей главе	1	1
73	с одной стороны	4	1
74	именно в том	1	1
