1	для того чтобы	10	19
2	в том что	17	12
3	о том что	11	10
4	в самом деле	5	7
5	на то что	4	6
6	к тому что	1	5
7	на самом деле	6	5
8	что в нем	2	5
9	как раз в	2	4
10	с точки зрения	8	4
11	что он не	1	4
12	можно было бы	8	4
13	то что он	1	3
14	то что в	2	3
15	до сих пор	7	3
16	и т п	9	3
17	сами по себе	1	3
18	и в этом	3	3
19	в том чтобы	1	3
20	это не просто	1	3
21	во всяком случае	6	3
22	смысле этого слова	1	3
23	и что в	1	3
24	точно так же	1	3
25	с одной стороны	2	3
26	так же как	3	3
27	говорить о том	1	3
28	в конце концов	1	3
29	том что он	1	3
30	надо сказать что	1	3
31	заключается в том	3	3
32	за то что	3	3
33	что это не	2	2
34	о том как	1	2
35	если бы мы	2	2
36	но столь же	1	2
37	ни одно из	1	2
38	потому что он	1	2
39	и т д	21	2
40	то время как	1	2
41	речь идет о	2	2
42	в своей трагедии	1	2
43	внимание на то	1	2
44	должно было бы	1	2
45	в то время	2	2
46	именно в том	1	2
47	сказать что в	3	2
48	и в самом	3	2
49	с другой стороны	6	2
50	таким образом в	1	2
51	что в этой	2	2
52	в это время	1	2
53	как это делает	1	2
54	во всех этих	1	2
55	том значении которое	1	1
56	а с другой	1	1
57	не только в	4	1
58	нет ни одной	1	1
59	быть не может	1	1
60	никто не станет	1	1
61	как я уже	1	1
62	и никогда не	1	1
63	в том как	3	1
64	и что от	1	1
65	что в таком	1	1
66	так например в	4	1
67	нет ни одного	1	1
68	нужно было бы	1	1
69	та и другая	1	1
70	только то что	1	1
71	не сомневаюсь что	1	1
72	также и в	1	1
73	и не было	1	1
74	вовсе не в	2	1
75	будто к тому	1	1
76	ближе к истине	1	1
77	самое важное перед	1	1
78	как будто к	1	1
79	том и другом	1	1
80	тот факт что	1	1
81	и таким образом	1	1
82	этот вопрос можно	1	1
83	самом деле не	1	1
84	и в то	1	1
85	тем что в	2	1
86	лежащий в основе	1	1
87	могло бы быть	1	1
88	то обстоятельство что	2	1
89	персты в язвы	1	1
90	что и в	4	1
91	в том и	1	1
92	и не может	1	1
93	а не в	1	1
94	не потому чтобы	1	1
95	и я не	1	1
96	того материала который	1	1
97	я не могу	1	1
98	любопытно в этом	1	1
99	тому что в	2	1
100	ничего общего с	3	1
101	по отношению к	3	1
102	говорит что он	1	1
103	те или иные	1	1
104	не может быть	5	1
105	в своем роде	1	1
106	так же и	1	1
107	мы приходим к	1	1
108	то что могло	1	1
109	ли отсюда что	1	1
110	в которых он	1	1
111	никому не нужен	1	1
112	а может быть	1	1
113	в то же	4	1
114	когда речь идет	2	1
115	для правильного понимания	1	1
116	то что она	1	1
117	он делает в	1	1
118	то что у	2	1
119	в каком случае	1	1
120	исключительно для того	1	1
121	то же время	4	1
122	жизни и смерти	1	1
123	с этой стороны	1	1
124	или вернее сказать	1	1
125	я не сомневаюсь	1	1
126	а на самом	1	1
127	не больше чем	1	1
128	бы то ни	1	1
129	который видит в	1	1
130	в той же	2	1
131	что в основу	2	1
132	и в своих	1	1
133	потому что не	1	1
134	и то обстоятельство	1	1
135	на этот вопрос	1	1
136	ни в каком	1	1
137	то что оно	1	1
138	на эту тему	4	1
139	же как и	1	1
140	уже о том	1	1
141	как это кажется	1	1
142	и другом случае	1	1
143	если бы это	1	1
144	о том значении	1	1
145	на тему о	1	1
146	а также и	2	1
147	которые по словам	1	1
148	дело в том	4	1
149	в целом ряде	1	1
150	в этом смысле	1	1
151	мысль о том	1	1
152	так что они	1	1
153	так или иначе	2	1
154	что не может	2	1
