N	4gram	Voloshinov_1	Formalny
1	в то же время	5	5
2	и не может быть	1	2
3	что же это за	1	1
4	бы то ни стало	1	1
5	и с помощью каких	1	1
6	что бы то ни	1	1
7	сводится к тому чтобы	1	1
8	всяком случае уже не	1	1
9	время иметь в виду	1	1
10	один и тот же	2	1
11	во что бы то	1	1
12	в общем можно сказать	1	1
13	не чем иным как	1	1
14	во всяком случае в	1	1
15	все время иметь в	1	1
16	в одной из своих	1	1
17	в самом деле ведь	1	1
18	во всяком случае уже	1	1
19	или во всяком случае	1	1
20	ни в чем не	2	1
21	но в то же	3	1
22	и роковую роль в	1	1
