N	4gram	Propp_Morf_1	Istorich
1	в иное царство и	1	2
2	и т д но	4	2
3	в тот момент когда	1	2
4	вход в иное царство	1	2
5	но если это так	2	1
6	в связи с изучением	1	1
7	и т д все	1	1
8	для наших целей это	1	1
9	и вне связи с	1	1
10	в том что он	1	1
11	то это значит что	1	1
12	т д все эти	1	1
13	наших целей это несущественно	1	1
14	есть на самом деле	1	1
15	в связи с этим	4	1
16	образом мы видим что	3	1
17	и т д здесь	1	1
18	дело не в количестве	2	1
19	как мы увидим ниже	3	1
20	такой случай мы имеем	1	1
21	мы имеем то же	1	1
22	а на самом деле	1	1
23	в одном случае герой	1	1
24	не будем входить в	1	1
25	таким образом мы видим	3	1
26	с этим и с	1	1
27	если это так то	1	1
28	в тех случаях когда	2	1
