N	3gram	Bakhtin_Fr_4	Marksizm
1	с точки зрения	2	13
2	не может быть	1	10
3	то же время	8	8
4	в то же	8	8
5	в связи с	1	7
6	для того чтобы	3	6
7	в том что	1	6
8	то же самое	1	5
9	может быть и	1	5
10	но в то	1	5
11	с самого начала	3	5
12	в свою очередь	1	5
13	в большинстве случаев	5	5
14	смысле этого слова	1	4
15	и того же	1	4
16	на самом деле	1	4
17	одного и того	1	4
18	если бы он	1	3
19	самом же деле	2	3
20	и не может	1	3
21	как мы сказали	1	3
22	в отличие от	1	3
23	на самом же	2	3
24	до сих пор	1	3
25	одно и то	1	3
26	с одной стороны	2	3
27	и то же	1	3
28	о том что	2	3
29	как мы уже	5	3
30	как мы видели	2	3
31	одной стороны и	1	2
32	более или менее	3	2
33	но и в	3	2
34	мы уже знаем	1	2
35	так и от	1	2
36	то же слово	1	2
37	мы можем сказать	1	2
38	в нем нет	1	2
39	в узком смысле	2	2
40	конечно не только	1	2
41	к тому же	1	2
42	но как раз	1	1
43	а следовательно и	1	1
44	все разобранные нами	1	1
45	он как и	1	1
46	дело в том	1	1
47	мы уже сказали	1	1
48	и так сказать	1	1
49	в том числе	3	1
50	в соответствии с	1	1
51	непосредственно связанных с	1	1
52	к нему не	1	1
53	под ним не	1	1
54	в сущности только	1	1
55	до известной степени	1	1
56	тесно связана с	1	1
57	в той же	1	1
58	как мы увидим	1	1
59	в этом отношении	1	1
60	на части в	1	1
61	том числе и	2	1
62	xviii и xix	1	1
63	ко всякого рода	1	1
64	же время они	1	1
65	и в других	2	1
66	во франции и	1	1
67	как мы знаем	1	1
68	был бы не	1	1
69	не только в	2	1
70	же самое что	1	1
71	в сущности это	1	1
72	а с другой	1	1
73	понимая под ним	1	1
74	в самой жизни	1	1
75	мы уже говорили	5	1
76	все сказанное нами	1	1
77	для правильного понимания	2	1
78	с другой стороны	3	1
79	и в соответствии	1	1
80	соответствии с этим	1	1
81	мы видели что	1	1
82	оно так сказать	1	1
83	ним не только	1	1
84	его так же	1	1
85	таким образом в	3	1
86	лишь одной из	1	1
87	они и не	1	1
88	так и в	1	1
89	же время это	1	1
90	даже и в	1	1
91	речи и как	1	1
92	в конечном счете	1	1
93	можно сказать что	1	1
94	так же и	1	1
95	о чем мы	1	1
96	мы уже указывали	1	1
97	теперь мы можем	1	1
98	тем что он	1	1
99	лицом к лицу	1	1
100	можем сказать что	1	1
101	и все его	1	1
102	и делает его	1	1
