N	2gram	Potebnia_M_1	VelikijI
1	и не	18	20
2	и в	39	16
3	свободы и	3	12
4	так как	21	9
5	то что	10	9
6	еще не	6	8
7	в истории	7	8
8	что они	1	7
9	а не	21	7
10	и потому	5	7
11	человека и	1	6
12	не есть	10	6
13	на себя	1	5
14	но и	20	5
15	того что	8	5
16	хотя и	3	5
17	в мире	3	5
18	в боге	1	5
19	все это	1	5
20	что есть	1	5
21	как бы	6	5
22	и есть	2	4
23	в образе	1	4
24	в его	5	4
25	мы хотим	1	4
26	в этом	15	4
27	что он	1	4
28	потому что	52	4
29	в нем	20	4
30	так и	13	4
31	что все	3	4
32	что не	10	4
33	как и	9	4
34	что мы	4	4
35	в котором	1	4
36	в ней	7	4
37	и все	3	4
38	все что	2	4
39	от этого	1	3
40	и что	10	3
41	должна быть	3	3
42	людей он	1	3
43	хотя бы	2	3
44	то это	5	3
45	как не	1	3
46	лишь в	1	3
47	в чем	1	3
48	с его	1	3
49	во всех	5	3
50	что и	6	3
51	в том	26	3
52	но в	9	3
53	по этому	2	3
54	все эти	1	3
55	за ним	2	3
56	от которого	1	3
57	их в	1	3
58	тех которые	1	3
59	в своей	3	3
60	и мы	1	3
61	в жизни	3	3
62	ни в	1	3
63	в них	3	3
64	не было	4	3
65	должно быть	7	3
66	если не	2	3
67	в этих	7	3
68	нет ничего	2	3
69	что во	2	3
70	что я	1	3
71	не в	15	3
72	тому что	3	3
73	но это	5	3
74	не имеет	5	3
75	никогда не	4	3
76	превращается в	1	3
77	и для	5	3
78	к тому	4	3
79	жизни и	2	3
80	что в	22	3
81	людей в	1	3
82	оно не	3	3
83	а между	3	2
84	и это	3	2
85	того чтобы	2	2
86	тогда будет	1	2
87	и то	3	2
88	не имел	1	2
89	от своей	1	2
90	по которым	1	2
91	ставится выше	1	2
92	и т	6	2
93	можно было	1	2
94	его не	1	2
95	мы не	10	2
96	когда в	3	2
97	что от	1	2
98	в последнем	1	2
99	с ним	3	2
100	ее и	1	2
101	и во	3	2
102	к нам	1	2
103	между тем	5	2
104	кто эти	1	2
105	жизни все	1	2
106	вслед за	1	2
107	которые не	2	2
108	не с	1	2
109	его к	2	2
110	духа и	7	2
111	только в	25	2
112	ничего и	1	2
113	уже не	2	2
114	не только	21	2
115	не так	3	2
116	для него	4	2
117	в прошлом	1	2
118	не могли	2	2
119	под конец	1	2
120	тем что	9	2
121	на том	1	2
122	не будет	2	2
123	это не	7	2
124	т д	4	2
125	истории и	1	2
126	прежде всего	4	2
127	для них	2	2
128	все равно	1	2
129	с тем	5	2
130	с пути	1	2
131	один из	1	2
132	для человека	2	2
133	более чем	1	2
134	что истина	1	2
135	не могут	4	2
136	является в	1	2
137	значения и	1	2
138	только стало	1	2
139	а есть	1	2
140	самого себя	4	2
141	да и	1	2
142	том что	16	2
143	для нас	9	2
144	от него	4	2
145	и теперь	1	2
146	есть уже	3	2
147	до того	1	2
148	давно уже	1	2
149	это все	1	2
150	не создает	2	2
151	а в	5	2
152	но не	8	2
153	в духе	1	2
154	могут быть	9	2
155	силы человека	2	2
156	во всяком	3	2
157	всегда в	1	1
158	от этой	1	1
159	если б	2	1
160	нас как	1	1
161	можно искать	1	1
162	как мы	2	1
163	быть может	1	1
164	в виду	2	1
165	для себя	3	1
166	в ее	1	1
167	ни стало	1	1
168	он будто	1	1
169	в словах	3	1
170	и говорит	1	1
171	в практическом	1	1
172	роль в	1	1
173	больше или	1	1
174	и самое	2	1
175	не имеют	5	1
176	человеческой воли	1	1
177	его связь	1	1
178	мы будем	2	1
179	если они	1	1
180	то же	6	1
181	и могут	1	1
182	их и	2	1
183	и которые	2	1
184	до времени	1	1
185	из всего	1	1
186	б и	2	1
187	в результате	1	1
188	человеческой природы	3	1
189	вопрос о	4	1
190	самой жизни	1	1
191	и вообще	3	1
192	не была	1	1
193	и ее	1	1
