N	2gram	Bakhtin_Pr_3	VrazhdaK
1	в году	1	18
2	в бесах	2	10
3	не только	4	9
4	достоевского с	3	9
5	в этом	8	8
6	и в	53	8
7	и что	1	8
8	достоевского в	3	7
9	достоевского и	6	7
10	но и	7	7
11	и все	10	7
12	то что	9	7
13	что в	2	7
14	но в	5	6
15	в нем	10	6
16	как и	11	6
17	в котором	1	6
18	и с	6	6
19	о нем	1	6
20	к достоевскому	1	6
21	в начале	2	6
22	и даже	2	6
23	в романе	1	6
24	то же	6	5
25	об этом	1	5
26	в то	5	5
27	бедных людей	1	5
28	же время	5	5
29	между тем	2	5
30	у него	1	5
31	не было	4	5
32	в россии	1	5
33	и не	15	5
34	в ней	7	4
35	что он	4	4
36	в истории	3	4
37	целый ряд	1	4
38	что достоевский	1	4
39	при этом	3	4
40	это не	6	4
41	несмотря на	2	4
42	все это	8	4
43	ставрогина в	1	4
44	во многом	2	4
45	с ним	2	4
46	о том	2	4
47	у достоевского	17	4
48	и детей	1	4
49	уже в	2	4
50	может быть	12	4
51	достоевского не	1	4
52	подпольного человека	1	4
53	как бы	14	4
54	в своих	2	4
55	одним из	3	3
56	из подполья	5	3
57	я не	4	3
58	он был	1	3
59	с его	2	3
60	к творчеству	1	3
61	в своем	1	3
62	его в	2	3
63	петр верховенский	1	3
64	он не	3	3
65	далеко не	2	3
66	и уже	2	3
67	том что	5	3
68	но он	2	3
69	достоевский не	1	3
70	и его	10	3
71	связи с	1	3
72	человека в	3	3
73	и во	4	3
74	в его	8	3
75	в том	14	3
76	и у	7	3
77	в конце	3	3
78	тем что	2	3
79	достоевского на	1	3
80	в связи	2	3
81	о себе	2	3
82	наряду с	5	3
83	он использовал	1	3
84	я хотел	1	3
85	к этому	4	3
86	и то	1	2
87	петра верховенского	1	2
88	и он	1	2
89	он сам	4	2
90	столь же	1	2
91	мог знать	1	2
92	и достоевский	1	2
93	человека с	1	2
94	в той	2	2
95	его на	1	2
96	в письмах	1	2
97	ставрогина с	1	2
98	в этой	1	2
99	в себе	5	2
100	время и	1	2
101	о которой	1	2
102	их в	2	2
103	нашего времени	1	2
104	таким образом	6	2
105	в мире	5	2
106	в глазах	1	2
107	в них	2	2
108	рядом с	1	2
109	в эту	3	2
110	во время	1	2
111	точки зрения	4	2
112	в своей	3	2
113	и ее	6	2
114	с точки	2	2
115	место в	2	2
116	не менее	3	2
117	одна из	7	2
118	никогда не	2	2
119	друга при	1	2
120	и далее	1	2
121	в момент	1	2
122	к себе	6	2
123	и это	3	2
124	на основе	2	2
125	этот роман	1	2
126	еще не	5	2
127	а также	4	2
128	этот момент	1	2
129	тем более	2	2
130	и образы	1	2
131	по мнению	1	2
132	уже не	1	2
133	из них	4	2
134	могли быть	1	2
135	записки из	2	2
136	отношение к	6	2
137	к ним	1	2
138	и т.п	31	2
139	о влиянии	1	2
140	и стал	1	2
141	о чем	1	2
142	начиная с	3	2
143	этот рассказ	1	2
144	не может	2	2
145	вместе с	2	2
146	и а	1	2
147	достоевский был	4	2
148	но это	3	2
149	что я	2	2
150	очень хорошо	3	2
151	а в	2	2
152	в период	1	2
153	это в	1	2
154	писателей в	2	2
155	широкое распространение	1	1
156	этого романа	1	1
157	а между	2	1
158	от этой	1	1
159	вряд ли	1	1
160	ко всем	2	1
161	также и	4	1
162	человека и	7	1
163	что образ	1	1
164	того же	2	1
165	находил в	1	1
166	это и	1	1
167	которую они	1	1
168	свое место	1	1
169	над которым	1	1
170	в их	2	1
171	по его	1	1
172	бесах это	1	1
173	исповеди ставрогина	1	1
174	той же	5	1
175	говорит достоевский	1	1
176	что уже	2	1
177	развитие в	2	1
178	он как	1	1
179	о помощи	1	1
180	равно как	1	1
181	говорить о	2	1
182	роман в	1	1
183	событий и	2	1
184	ему в	1	1
185	это никогда	1	1
186	и тонко	1	1
187	был знаком	3	1
188	и был	1	1
189	него он	2	1
190	достоевского был	1	1
191	на них	1	1
192	в преступлении	2	1
193	мне все	2	1
194	по своему	6	1
195	за него	2	1
196	но не	5	1
197	был также	1	1
198	не все	1	1
199	и т.д	2	1
200	тут же	1	1
201	я только	1	1
202	что они	1	1
203	произведений достоевского	2	1
204	независимо от	1	1
205	как в	7	1
206	с этим	2	1
207	достоевского этот	1	1
208	для всех	2	1
209	почувствовал что	1	1
210	некоторое время	1	1
211	героев достоевского	2	1
212	и наконец	2	1
213	важно как	1	1
214	верховенского с	1	1
215	знаю что	1	1
216	себе не	1	1
217	и отчасти	2	1
218	в самом	2	1
219	что это	2	1
220	в целом	1	1
221	рассказ о	1	1
222	тому же	2	1
223	во многих	1	1
224	достоевского а	1	1
225	но ведь	1	1
226	как он	2	1
227	в записках	1	1
228	как материалу	1	1
229	да и	2	1
230	всех этих	1	1
231	в силу	1	1
232	свои собственные	1	1
233	в плане	1	1
234	из него	1	1
235	людей и	1	1
236	это конечно	2	1
237	есть все	1	1
238	конечно в	2	1
239	мировой литературе	2	1
240	а их	1	1
241	самим собой	1	1
242	этой традиции	1	1
243	это было	3	1
244	заключается в	1	1
245	смеха и	1	1
246	было бы	5	1
247	на пороге	10	1
248	был очень	1	1
249	в жизни	8	1
250	и романа	1	1
251	соответствии с	2	1
252	этого не	1	1
253	всю жизнь	1	1
254	не всегда	1	1
255	он и	1	1
256	восходят к	1	1
257	герои романа	1	1
