N	3gram	Savitsky_P_1	Problema
1	не может быть	1	11
2	с точки зрения	3	6
3	в отличие от	1	5
4	в большинстве случаев	1	5
5	с другой стороны	1	4
6	в этом смысле	1	3
7	в применении к	1	3
8	с одной стороны	3	3
9	то же время	7	3
10	в том что	4	3
11	в то же	7	3
12	но и в	2	2
13	и не может	1	2
14	может и должна	1	2
15	и в то	2	2
16	и в частности	1	2
17	не только в	4	2
18	и тем самым	1	2
19	не входят в	1	2
20	для того чтобы	1	2
21	одна из важнейших	1	1
22	во всей полноте	1	1
23	да и не	1	1
24	далеко не все	1	1
25	в настоящее время	1	1
26	и пр в	1	1
27	одной стороны и	2	1
28	хотя бы и	1	1
29	сами по себе	3	1
30	и именно в	1	1
31	не было бы	1	1
32	или хотя бы	1	1
33	и не менее	1	1
34	творчества и в	1	1
35	и потому в	2	1
36	что дело идет	1	1
37	если бы мы	1	1
38	но в то	1	1
39	и в этом	1	1
40	по сравнению с	1	1
41	настоящее время в	1	1
42	не в том	1	1
43	не в пустоте	1	1
44	в творчестве достоевского	1	1
45	ни к чему	1	1
46	та или иная	1	1
47	и т д	1	1
48	не более как	1	1
49	как одна из	1	1
50	она может и	1	1
