N	2gram	Tiupa_Narr_1	Narrotol
1	не только	32	31
2	но и	23	27
3	и не	20	23
4	при этом	9	19
5	может быть	25	15
6	в качестве	21	14
7	в частности	14	14
8	как и	7	13
9	в тексте	16	13
10	а не	12	13
11	а в	11	13
12	в этом	17	12
13	только в	4	12
14	и в	19	11
15	в данном	5	11
16	тогда как	12	10
17	состоит в	13	10
18	своего рода	12	10
19	и его	5	10
20	такого рода	7	10
21	с собачкой	1	9
22	то есть	19	9
23	времени и	7	9
24	во времени	8	9
25	то что	11	9
26	то же	4	8
27	представляет собой	13	8
28	иначе говоря	6	8
29	не может	10	8
30	данном случае	4	8
31	в том	18	8
32	уже не	5	8
33	со стороны	9	8
34	и т.п	8	8
35	в рассказе	4	8
36	но в	6	7
37	том что	14	7
38	если бы	1	7
39	на протяжении	6	7
40	у него	4	7
41	современной нарратологии	2	6
42	и он	3	6
43	в самом	1	6
44	не в	14	6
45	в этой	5	6
46	в себе	8	6
47	тому же	5	6
48	об этом	1	6
49	не мог	4	6
50	к тому	7	6
51	у чехова	1	6
52	и т.д	7	6
53	одного из	4	6
54	во втором	4	6
55	в его	9	6
56	как бы	4	6
57	даме с	1	6
58	один из	3	6
59	как раз	2	6
60	или в	2	6
61	и пространстве	5	6
62	а также	7	6
63	жизни и	3	6
64	между двумя	5	5
65	и на	3	5
66	той или	4	5
67	как правило	4	5
68	перед нами	4	5
69	событийный статус	1	5
70	рассказа в	1	5
71	так и	9	5
72	несобственно-прямой речи	4	5
73	точки зрения	10	5
74	тем самым	6	5
75	потому что	1	5
76	событие в	2	5
77	на другой	2	5
78	в даме	1	5
79	можно сказать	5	5
80	точка зрения	6	5
81	действующих лиц	1	5
82	в соответствии	1	5
83	повествуемого мира	3	5
84	столь же	3	5
85	то в	6	4
86	было как	4	4
87	в первом	3	4
88	на себя	3	4
89	еще не	7	4
90	истории в	3	4
91	с его	6	4
92	но не	5	4
93	как в	7	4
94	все же	7	4
95	хотя и	3	4
96	преосвященного петра	3	4
97	из этих	3	4
98	в нем	4	4
99	в принципе	4	4
100	статус события	3	4
101	в мире	9	4
102	рассказываемой истории	2	4
103	из них	3	4
104	по себе	5	4
105	и тем	4	4
106	соответствии с	1	4
107	с позиции	1	4
108	вплоть до	2	4
109	в то	3	4
110	одна из	3	4
111	повествователя и	2	4
112	в эпизоде	3	4
113	не по	1	4
114	никогда не	3	4
115	что на	2	4
116	к себе	5	4
117	в ней	3	4
118	что у	2	4
119	о том	6	4
120	внимание на	1	4
121	же время	4	4
122	а во	3	4
123	к нему	5	4
124	и судия	2	4
125	нарративного текста	4	4
126	в литературе	2	4
127	того что	1	4
128	являет собой	2	4
129	для него	2	4
130	слова в	1	4
131	у нее	2	4
132	или иной	5	4
133	прежде всего	4	4
134	о чем	2	4
135	мира в	5	4
136	в речи	1	4
137	матери и	4	4
138	этом и	1	4
139	эпизоды и	2	4
140	и конца	1	4
141	однако и	1	4
142	в третьем	3	4
143	имеет место	4	4
144	ментального видения	1	4
145	как известно	2	3
146	речь идет	4	3
147	также и	1	3
148	и то	1	3
149	самом деле	2	3
150	свидетель и	3	3
151	идет о	2	3
152	жизни героя	1	3
153	едва ли	1	3
154	всего лишь	2	3
155	мы имеем	2	3
156	мы не	1	3
157	он сам	2	3
158	этого эпизода	3	3
159	но как	2	3
160	в противовес	4	3
161	повествуемой истории	1	3
162	другой день	2	3
163	отец сисой	3	3
164	в своем	2	3
165	и как	5	3
166	эпизоды в	2	3
167	в целом	1	3
168	центрального персонажа	2	3
169	нарративной истории	2	3
170	но именно	1	3
171	он не	3	3
172	подобно тому	2	3
173	беседы с	1	3
174	и с	4	3
175	вольфа шмида	1	3
176	в глазах	1	3
177	это не	2	3
178	по мысли	3	3
179	начала и	1	3
180	в слове	1	3
181	не всегда	2	3
182	в современной	1	3
183	еще раз	1	3
184	и конец	1	3
185	себя внимание	3	3
186	в ходе	1	3
187	и ее	2	3
188	теперь как	4	3
189	тем не	3	3
190	их в	1	3
191	однако в	2	3
192	быстро весело	3	3
193	не менее	3	3
194	в русской	1	3
195	на эпизоды	2	3
196	картины мира	5	3
197	племянницы в	3	3
198	присутствия в	3	3
199	обращает на	3	3
200	как будто	3	3
201	этом отношении	3	3
202	у нас	1	3
203	начиная с	1	3
204	истории не	1	3
205	о воскресении	2	3
206	и племянницы	3	3
207	когда в	1	3
208	различного рода	3	3
209	о ней	3	3
210	сводится к	3	3
211	о нем	4	3
212	обращается к	1	3
213	сообщают о	2	3
214	петра в	1	3
215	его жизни	2	3
216	лишь в	1	3
217	в конечном	3	3
218	между тем	3	3
219	нарративной структуры	1	3
220	или напротив	4	3
221	как птица	2	3
222	что он	6	3
223	в состав	1	3
224	свободен теперь	2	3
225	по отношению	7	3
226	в пространстве	4	3
227	может служить	1	3
228	представляют собой	2	3
229	в финале	1	3
230	именно в	6	3
231	при всей	4	3
232	не было	2	3
233	как это	6	3
234	текста в	2	3
235	тому как	2	3
236	исходя из	2	3
237	быть не	1	3
238	главного героя	2	3
239	в начале	1	3
240	не является	8	3
241	в следующей	1	3
242	не существует	3	3
243	и все	2	3
244	в поле	1	3
245	повествовательного текста	3	3
246	жизни а	2	3
247	первом случае	2	3
248	отношению к	6	3
249	героя в	8	3
250	нарративного высказывания	6	3
251	что в	3	3
252	а о	1	2
253	архиерея в	2	2
254	и через	1	2
255	переход от	4	2
256	о приезде	3	2
257	про чертог	2	2
258	мать и	1	2
259	нарратора и	1	2
260	событие это	1	2
261	речевой деятельности	1	2
262	нарративный кадр	1	2
263	матери с	2	2
264	всех его	2	2
265	героя но	1	2
266	и для	2	2
267	высказывания в	6	2
268	в сущности	3	2
269	жизни как	3	2
270	ему в	2	2
271	более не	2	2
272	преображения героя	1	2
273	меньшей степени	1	2
274	и самого	3	2
275	двух или	1	2
276	столько же	1	2
277	начальные эпизоды	1	2
278	между собой	2	2
279	в чем	1	2
280	события в	2	2
281	действующее лицо	2	2
282	для обозначения	1	2
283	если в	3	2
284	отличие от	5	2
285	глава четвертая	1	2
286	в едином	1	2
287	во сне	1	2
288	один и	1	2
289	отнюдь не	5	2
290	нарративности как	1	2
291	в той	6	2
292	из уст	1	2
293	кто говорит	2	2
294	что касается	2	2
295	сознания в	1	2
296	архиерея но	2	2
297	своей матери	2	2
298	седьмые эпизоды	2	2
299	глава вторая	1	2
300	зрения как	1	2
301	них как	1	2
302	событийной цепи	3	2
303	в смысл	1	2
304	и событие	1	2
305	видит слышит	1	2
306	та же	2	2
307	он идет	2	2
308	участок текста	2	2
309	или несколькими	1	2
310	в известном	2	2
311	лица и	2	2
312	коммуникативной ситуации	2	2
313	роль в	2	2
314	чуда сверхсобытия	2	2
315	на две	1	2
316	героя из	2	2
317	не могла	1	2
318	в случае	7	2
319	героя к	3	2
320	так сказать	1	2
321	о смерти	1	2
322	затрагивает только	1	2
323	обыкновенного человека	1	2
324	ключ к	2	2
325	кэте фридеманн	1	2
326	художественного высказывания	2	2
327	главное действующее	1	2
328	человека в	2	2
329	таким каким	2	2
330	как сияние	2	2
331	не будет	3	2
332	в детство	2	2
333	служба кончилась	3	2
334	а по	2	2
335	входит в	1	2
336	это было	1	2
337	и иных	1	2
338	также не	1	2
339	центральное событие	1	2
340	все равно	1	2
341	а за	1	2
342	он и	1	2
343	жизни но	2	2
344	и тогда	1	2
345	и того	1	2
346	тексте архиерея	2	2
347	тихо робко	1	2
348	сводятся к	1	2
349	граница эпизода	2	2
350	рассказа о	2	2
351	преосвященный петр	2	2
352	рассказе о	2	2
353	коммуникативную ситуацию	1	2
354	самого рассказывания	1	2
355	в отличие	5	2
356	человеческого сознания	1	2
357	сих пор	1	2
358	каким он	2	2
359	с тематическим	1	2
360	вошла мать	1	2
361	через посредство	1	2
362	в двенадцатом	1	2
363	она не	2	2
364	про жениха	2	2
365	в обоих	2	2
366	в детстве	5	2
367	по полю	2	2
368	не имеет	2	2
369	дело в	1	2
370	и сама	1	2
371	формах косвенной	1	2
372	преосвященного в	2	2
373	дело не	1	2
374	конца текста	1	2
375	не могло	2	2
376	ничего не	2	2
377	по терминологии	2	2
378	этих двух	1	2
379	ему было	1	2
380	события свидетель	1	2
381	и является	1	2
382	и после	2	2
383	статус и	1	2
384	связи с	4	2
385	истории как	1	2
386	к жизни	1	2
387	эпизоде первого	2	2
388	персонажа или	1	2
389	лицо события	1	2
390	втором эпизоде	1	2
391	павел есть	1	2
392	глава третья	1	2
393	же самое	1	2
394	в своего	1	2
395	они и	1	2
396	форме несобственно-прямой	2	2
397	оно не	2	2
398	как мы	3	2
399	у себя	1	2
400	с ее	3	2
401	происходит и	2	2
402	свою очередь	3	2
403	здесь не	4	2
404	и физически	2	2
405	другой стороны	4	2
406	по сути	2	2
407	классического реализма	1	2
408	в произведении	3	2
409	в пределах	2	2
410	с языком	1	2
411	и про	2	2
412	постукивая палочкой	2	2
413	маркированном положении	1	2
414	особенно в	3	2
415	персонажа глава	2	2
416	история может	1	2
417	с ним	1	2
418	является событием	1	2
419	местах и	1	2
420	точек зрения	2	2
421	и судии	2	2
422	при такой	1	2
423	то они	2	2
424	имеем дело	2	2
425	историю в	1	2
426	как хорошо	2	2
427	со словами	2	2
428	за пределами	1	2
429	петр и	1	2
430	до сих	1	2
431	внутреннего зрения	4	2
432	один голос	2	2
433	с другой	8	2
434	времени в	2	2
435	эта фраза	1	2
