N	3gram	Tiupa_Disk_2	PoTuStor
1	с точки зрения	2	6
2	с самого начала	1	4
3	в чем не	1	3
4	по крайней мере	1	3
5	во всяком случае	1	3
6	не может быть	3	3
7	ни в чем	1	3
8	можно сказать что	1	3
9	в большинстве случаев	1	3
10	и может быть	2	2
11	друг на друга	1	2
12	по аналогии с	1	2
13	в самом деле	1	2
14	не могут быть	1	2
15	все то что	1	2
16	о том что	3	2
17	в конечном счете	1	2
18	и того же	2	1
19	одних и тех	1	1
20	при всей ее	1	1
21	и столь же	1	1
22	прежде всего на	1	1
23	дело в том	2	1
24	подобно тому как	2	1
25	одного и того	2	1
26	что на этом	1	1
27	а потом и	2	1
28	бы то ни	1	1
29	в этом отношении	4	1
30	и тех же	1	1
31	в данном случае	6	1
32	то ни было	1	1
33	с одной стороны	4	1
34	в себя и	1	1
35	в применении к	1	1
36	так и с	1	1
37	а с другой	1	1
38	при всей их	1	1
39	в свое время	2	1
40	в том что	6	1
41	так и в	3	1
42	во внешнем мире	1	1
43	и прежде всего	2	1
44	а часто и	1	1
45	что в них	1	1
46	на первый взгляд	2	1
47	обратим внимание на	1	1
48	той или иной	3	1
