N	3gram	Voloshinov_1	UchenyiS
1	не может быть	13	4
2	с другой стороны	5	3
3	то же время	3	3
4	бы то ни	8	3
5	в то же	3	3
6	то ни было	8	3
7	а между тем	1	2
8	не могут быть	2	2
9	в самом деле	9	2
10	в этом смысле	2	2
11	то же самое	3	2
12	до сих пор	8	2
13	хотя бы и	1	2
14	в этом отношении	3	2
15	в том что	3	2
16	в конце концов	3	2
17	как и всякого	1	1
18	мы полагаем что	1	1
19	при более внимательном	1	1
20	так или иначе	1	1
21	в большей или	1	1
22	все же не	1	1
23	более или менее	1	1
24	равно как и	1	1
25	большей или меньшей	1	1
26	в точном смысле	1	1
27	в области философии	1	1
28	в этом случае	3	1
29	в широком смысле	1	1
30	на первый план	2	1
31	является одним из	2	1
32	само по себе	1	1
33	не было бы	1	1
34	с тем что	1	1
35	же самое делает	1	1
36	и прежде всего	2	1
37	можно сказать что	3	1
38	точном смысле этого	1	1
39	язык в его	1	1
40	более внимательном анализе	1	1
41	поставить знак равенства	1	1
42	но что такое	1	1
43	и быть не	1	1
44	только при таком	1	1
45	друг с другом	1	1
46	а не только	1	1
47	если бы это	1	1
48	может быть в	1	1
49	но в то	2	1
50	не только в	1	1
51	с одной стороны	1	1
