N	2gram	Vinokur_Ku_2	IolandNe
1	и с	7	3
2	должен быть	5	2
3	и не	16	2
4	в этом	18	2
5	он не	3	2
6	что в	10	2
7	ничего не	4	2
8	же это	1	1
9	все это	5	1
10	не шучу	1	1
11	нисколько не	3	1
12	и др	1	1
13	и в	23	1
14	только что	1	1
15	и о	4	1
16	я не	5	1
17	то и	3	1
18	с а	1	1
19	а по	1	1
20	то она	1	1
21	бы в	1	1
22	более чем	1	1
23	как только	1	1
24	того же	3	1
25	с другой	8	1
26	а в	3	1
27	доказать что	2	1
28	так то	1	1
29	того что	3	1
30	стали бы	1	1
31	и без	1	1
32	следовательно в	1	1
33	в руки	1	1
34	на котором	1	1
35	другой стороны	7	1
36	и еще	2	1
37	в первую	1	1
38	не так	1	1
39	для него	1	1
40	а также	3	1
41	нам в	1	1
42	что для	2	1
43	в значительной	1	1
44	говорить о	4	1
45	могло бы	1	1
46	и творчества	1	1
47	слишком много	1	1
48	а если	2	1
49	так и	4	1
50	от этого	2	1
51	того чтобы	11	1
52	первую очередь	1	1
53	во многом	1	1
54	не случайно	1	1
55	никогда не	2	1
56	только для	2	1
57	не здесь	1	1
58	факты и	1	1
59	тех же	2	1
60	тем что	3	1
61	в целом	1	1
62	по поводу	2	1
63	по отношению	1	1
64	очевидно что	2	1
65	в них	4	1
66	все эти	12	1
67	по существу	5	1
68	если бы	12	1
69	для того	9	1
70	и идей	1	1
