N	2gram	Trubetskoy_1	Freidism
1	таким образом	11	24
2	и не	19	23
3	не может	22	20
4	точки зрения	11	19
5	прежде всего	8	18
6	в этом	17	15
7	в его	4	15
8	это –	1	14
9	мы можем	2	13
10	может быть	9	13
11	все эти	2	11
12	как и	4	11
13	с точки	9	11
14	как бы	4	11
15	то что	13	11
16	самом деле	7	10
17	но в	2	10
18	его в	4	10
19	с ним	2	10
20	как мы	1	10
21	так и	1	10
22	и потому	3	10
23	во всех	5	9
24	по отношению	2	9
25	и в	14	9
26	то же	11	8
27	не только	9	8
28	он не	5	8
29	в своей	5	8
30	еще не	3	8
31	оно и	1	8
32	что он	6	8
33	только в	5	8
34	так как	4	8
35	все это	6	8
36	и все	1	8
37	отношению к	1	8
38	все что	4	8
39	в самом	3	7
40	мы уже	2	7
41	и наконец	2	7
42	ни в	2	7
43	те же	1	7
44	к нему	2	7
45	один из	1	7
46	мы знаем	1	7
47	всяком случае	6	7
48	что же	4	7
49	– не	2	7
50	во всяком	9	7
51	в ней	2	6
52	и с	7	6
53	точку зрения	4	6
54	того что	3	6
55	для него	6	6
56	вовсе не	1	6
57	никогда не	5	6
58	хотя бы	5	6
59	совершенно не	2	6
60	культурного творчества	1	5
61	на самом	6	5
62	и на	5	5
63	он сам	3	5
64	и к	6	5
65	в этой	4	5
66	что такое	2	5
67	знаем что	3	5
68	не в	4	5
69	мы должны	7	5
70	в то	10	5
71	могут быть	1	5
72	в себя	1	5
73	для этого	3	5
74	но мы	3	5
75	можно сказать	1	5
76	для того	6	5
77	в большинстве	3	5
78	большинстве случаев	2	5
79	и прежде	1	5
80	а в	5	5
81	но и	10	5
82	связь с	1	5
83	с этим	2	5
84	его жизни	1	5
85	в свою	1	5
86	что в	4	5
87	в зависимости	1	4
88	и за	1	4
89	мы не	1	4
90	в которой	1	4
91	говорить о	3	4
92	но не	4	4
93	в собственном	1	4
94	все же	4	4
95	не было	3	4
96	из этих	3	4
97	в нем	5	4
98	всех этих	3	4
99	то ни	4	4
100	при этом	5	4
101	об этом	1	4
102	с другими	1	4
103	в жизни	1	4
104	на основании	2	4
105	во время	2	4
106	не менее	1	4
107	в основе	1	4
108	же время	10	4
109	таким путем	1	4
110	потому что	5	4
111	и для	6	4
112	к тому	7	4
113	если мы	1	4
114	того чтобы	8	4
115	данном случае	3	4
116	сводится к	3	4
117	с самого	1	4
118	это только	2	4
119	с ними	1	4
120	конечно не	5	4
121	уже не	2	4
122	в котором	2	4
123	от того	4	4
124	себя и	5	4
125	в данном	7	4
126	и о	2	4
127	в этих	2	4
128	этот вопрос	2	4
129	в таком	2	4
130	и есть	2	3
131	на место	1	3
132	на себя	2	3
133	он был	1	3
134	а только	1	3
135	в общем	1	3
136	и как	3	3
137	и тот	2	3
138	в себе	9	3
139	и те	2	3
140	но ведь	1	3
141	главным образом	3	3
142	о которой	1	3
143	и вот	2	3
144	и по	3	3
145	что все	3	3
146	было бы	5	3
147	уже знаем	1	3
148	такой же	1	3
149	нисколько не	2	3
150	войти в	1	3
151	тому чтобы	4	3
152	случае не	1	3
153	тому что	2	3
154	в психике	1	3
155	самого начала	1	3
156	одна из	3	3
157	на него	1	3
158	внутренней и	1	3
159	в сознании	3	3
160	к себе	2	3
161	не могут	4	3
162	она не	2	3
163	с ее	1	3
164	свою очередь	1	3
165	всем этим	2	3
166	только то	1	3
167	приводит к	4	3
168	что может	3	3
169	если бы	6	3
170	и внешней	1	3
171	и что	2	3
172	бы то	4	3
173	на другие	1	3
174	человека с	1	3
175	человека к	1	3
176	себя в	4	3
177	у него	2	3
