N	3gram	Ircho_Kome_2	Analitik
1	не может быть	1	16
2	в том что	5	9
3	в то же	3	8
4	в отличие от	2	6
5	то же время	3	6
6	той или иной	1	6
7	по отношению к	3	5
8	мы имеем дело	1	4
9	с точки зрения	1	4
10	не более чем	2	4
11	к тому же	10	4
12	о том что	4	3
13	в том числе	3	3
14	того или иного	1	3
15	бы то ни	2	3
16	и т п	2	3
17	для того чтобы	4	3
18	то ни было	2	3
19	с одной стороны	2	3
20	имеем дело с	1	3
21	в полной мере	1	3
22	и к тому	1	2
23	в самом деле	1	2
24	но и в	1	2
25	в первом случае	1	2
26	с другой стороны	1	2
27	мере в какой	1	2
28	не в состоянии	1	1
29	в последние десятилетия	3	1
30	тех пор пока	1	1
31	на себя внимание	5	1
32	более или менее	1	1
33	как и во	1	1
34	в соответствии с	1	1
35	же время он	1	1
36	только в том	1	1
37	до сих пор	2	1
38	говоря уже о	2	1
39	следует думать что	1	1
40	том случае если	1	1
41	в том случае	1	1
42	и та же	1	1
43	по своему содержанию	1	1
44	том что именно	1	1
45	том числе и	1	1
46	а то и	1	1
47	а в качестве	1	1
48	вместе с тем	4	1
49	в этой связи	1	1
50	не является по	1	1
51	обращает на себя	5	1
52	не в его	1	1
53	в котором по	1	1
54	не только в	1	1
55	вслед за ним	1	1
56	бы столь же	1	1
57	в свою очередь	1	1
58	как будто бы	1	1
59	если в основе	1	1
60	в любой другой	1	1
61	так и не	1	1
62	себя внимание в	1	1
63	во всяком случае	2	1
64	одна и та	1	1
65	могла бы быть	1	1
66	в той же	2	1
67	во время экспедиции	1	1
68	на фоне которых	1	1
69	а вместе с	1	1
70	до тех пор	3	1
71	и в самом	1	1
72	не с целью	1	1
73	в этом смысле	2	1
74	не следует думать	1	1
75	в связи с	3	1
76	к тому что	2	1
77	той же мере	1	1
78	друг с другом	2	1
79	в том же	1	1
80	и в любых	1	1
81	не говоря уже	2	1
