N	3gram	Losev_Vlad_3	Komedia
1	до сих пор	1	9
2	в том что	10	9
3	в самом деле	1	6
4	для того чтобы	1	6
5	в то же	3	4
6	о том что	8	4
7	то же время	2	4
8	с самого начала	1	4
9	к тому же	5	4
10	о том как	1	3
11	с точки зрения	6	3
12	вместе с тем	6	3
13	в связи с	2	3
14	во всяком случае	3	3
15	с одной стороны	3	3
16	тем не менее	9	3
17	то же самое	1	3
18	само собой разумеется	2	2
19	так или иначе	2	2
20	в этом случае	1	2
21	бы то ни	3	2
22	в этом отношении	2	2
23	то время как	2	2
24	то ни было	1	2
25	в конце концов	5	2
26	с другой стороны	2	2
27	собой разумеется что	1	2
28	в то время	4	2
29	не хочет быть	1	2
30	речь шла о	1	2
31	на этот раз	1	2
32	что и в	3	2
33	однако и в	1	1
34	но об этом	1	1
35	таким образом если	1	1
36	потому что он	1	1
37	и в своей	1	1
38	на себя внимание	2	1
39	в виду что	1	1
40	более или менее	5	1
41	не говоря уже	1	1
42	в том числе	1	1
43	одной стороны и	2	1
44	как нет и	1	1
45	на первый план	2	1
46	русский язык и	1	1
47	но как раз	1	1
48	как это было	1	1
49	приходится признать что	1	1
50	и в то	2	1
51	и во многом	1	1
52	еще не был	1	1
53	в отличие от	3	1
54	в первую очередь	1	1
55	что в смысле	1	1
56	независимо от того	2	1
57	но и здесь	1	1
58	отнюдь не является	1	1
59	на то что	2	1
60	с этой точки	1	1
61	и далеко не	1	1
62	точки зрения того	1	1
63	не менее и	1	1
64	того чтобы не	1	1
65	кто из вас	1	1
66	обращает на себя	2	1
67	в настоящее время	3	1
68	далеко не всегда	1	1
69	себе отчет в	2	1
70	хотя и без	1	1
71	но ничего не	1	1
72	имеет ничего общего	2	1
73	и в отношении	3	1
74	в течение всей	1	1
75	что при всей	1	1
76	то что он	1	1
77	но вместе с	1	1
78	всю свою жизнь	1	1
79	этой точки зрения	1	1
80	сих пор не	1	1
81	а то что	1	1
82	на русский язык	1	1
83	и не хочет	1	1
84	ничего общего с	2	1
85	нет никакой необходимости	1	1
86	вопрос о том	1	1
87	в основе своей	1	1
88	мы находим у	1	1
89	не с точки	1	1
90	как мы знаем	2	1
91	если бы не	1	1
92	можно предполагать что	1	1
93	по этому поводу	1	1
94	к тому что	2	1
95	как и вся	1	1
96	и в этом	5	1
97	и в его	3	1
98	богу а с	1	1
99	едва ли в	1	1
100	не имеет ничего	2	1
101	в том же	1	1
