N	2gram	Medvedev_B_1	Problemy
1	и в	1	35
2	и не	2	27
3	все это	2	14
4	прежде всего	1	12
5	в пределах	1	11
6	не только	1	10
7	на самом	1	9
8	все же	1	8
9	так и	1	8
10	еще не	1	7
11	таким образом	1	7
12	и на	1	6
13	что в	1	6
14	же не	1	4
15	в своей	1	4
16	как будто	1	4
17	всяком случае	1	4
18	не о	1	4
19	с другой	1	4
20	до конца	1	4
21	а не	1	4
22	во всяком	1	4
23	говорить о	1	3
24	за пределы	1	3
25	было бы	1	3
26	и во	1	3
27	другой стороны	1	3
28	в ней	2	2
29	что все	1	2
30	вопрос о	1	2
31	о них	1	2
32	к ней	1	2
33	можно было	2	2
34	на которой	1	2
35	одной из	1	2
36	в речи	1	2
37	будто бы	1	2
38	не все	1	1
39	ведет по	1	1
40	отнюдь не	1	1
41	тем более	1	1
42	кроме того	1	1
43	формализма и	1	1
44	бы только	1	1
45	не следует	1	1
46	литературных произведений	2	1
47	об этом	1	1
48	как первый	1	1
49	стоит на	1	1
50	далеко не	1	1
51	стиля и	1	1
52	и ее	1	1
53	по крайней	1	1
54	и более	1	1
55	всего в	1	1
56	значительной степени	1	1
57	никак не	1	1
58	в значительной	1	1
59	крайней мере	1	1
60	следовало бы	1	1
61	не склонен	1	1
62	не то	2	1
63	точно и	1	1
64	не укладывается	1	1
65	со всем	1	1
66	пожалуй и	1	1
67	и потому	1	1
68	в данном	1	1
69	между ними	1	1
