N	2gram	Potebnia_M_2	Sotsiolo
1	все это	2	7
2	в том	18	5
3	в этом	8	5
4	и только	6	3
5	для нас	31	3
6	не только	15	3
7	и в	24	3
8	не в	13	3
9	в его	2	3
10	за пределы	2	2
11	но и	9	2
12	было бы	13	2
13	к которому	2	2
14	должна быть	1	2
15	только в	11	2
16	далеко не	3	2
17	тем более	1	2
18	том что	8	2
19	это зависит	1	2
20	то что	20	2
21	главным образом	4	2
22	и что	4	2
23	еще не	4	2
24	только как	6	2
25	таким образом	11	2
26	что в	16	2
27	может быть	23	2
28	как бы	9	2
29	по отношению	2	2
30	очевидно что	3	2
31	то же	12	2
32	друг от	1	1
33	быть для	2	1
34	крайней мере	5	1
35	что все	2	1
36	я и	1	1
37	же не	1	1
38	вряд ли	3	1
39	быть не	3	1
40	по себе	15	1
41	сама по	2	1
42	так называемым	1	1
43	тому что	2	1
44	на все	3	1
45	с каким-либо	1	1
46	и самые	1	1
47	с другой	6	1
48	ни одно	1	1
49	его в	3	1
50	дает нам	1	1
51	только для	5	1
52	ровно ничего	1	1
53	с ним	5	1
54	это не	3	1
55	именно в	1	1
56	в чем	7	1
57	все же	5	1
58	один из	2	1
59	и есть	2	1
60	перед нами	1	1
61	в то	6	1
62	его собственная	1	1
63	мысли в	3	1
64	тем же	3	1
65	это дает	1	1
66	и наконец	1	1
67	даже больше	1	1
68	только то	1	1
69	а с	2	1
70	том как	3	1
71	тем что	7	1
72	в наше	1	1
73	и как	6	1
74	и затем	2	1
75	в процессе	1	1
76	на ней	3	1
77	что он	4	1
78	условий то	1	1
79	прежде всего	7	1
80	бы он	1	1
81	слова но	2	1
82	в них	5	1
83	так и	5	1
84	не было	6	1
85	одной стороны	3	1
86	те же	3	1
87	но только	2	1
88	и не	19	1
89	полагает что	3	1
90	из себя	2	1
91	на общие	1	1
92	никогда не	4	1
93	на основании	1	1
94	наше время	1	1
95	зависит от	2	1
96	мы не	11	1
97	это как	1	1
98	же время	2	1
99	ничего не	1	1
100	какие в	1	1
101	между собою	7	1
102	и о	1	1
103	связь между	2	1
104	все эти	2	1
105	именно на	1	1
106	как и	7	1
107	между собой	1	1
108	или нет	3	1
109	бы в	2	1
110	этом не	1	1
111	мы должны	2	1
112	в таких	1	1
113	но она	3	1
114	образом в	4	1
115	конечно не	1	1
116	в связи	2	1
117	следующее как	1	1
118	иначе и	1	1
119	и его	2	1
120	в этих	3	1
121	место в	4	1
122	связи с	6	1
123	от друга	1	1
124	или не	5	1
125	хотя бы	2	1
126	в целом	3	1
127	теперь он	1	1
128	стало быть	4	1
129	для наших	1	1
130	не может	12	1
131	только тогда	3	1
132	своих мыслей	1	1
133	не от	5	1
134	а в	8	1
135	как совокупность	2	1
136	что она	3	1
137	можно будет	1	1
138	о том	5	1
139	не дает	2	1
140	не значат	1	1
141	и потому	2	1
142	же это	1	1
143	представить себе	1	1
144	мы думаем	1	1
145	в котором	4	1
146	никак не	1	1
147	между ними	2	1
148	точке зрения	2	1
149	из тех	1	1
150	обобщения как	1	1
151	на что	1	1
152	представляется нам	5	1
153	все то	1	1
154	столь же	5	1
155	всяком случае	7	1
156	когда мы	2	1
157	мы понимаем	1	1
158	ни на	1	1
159	не без	1	1
160	что это	3	1
161	ними в	1	1
162	вовсе не	9	1
163	с одной	4	1
164	что без	3	1
165	может служить	1	1
166	а между	4	1
167	в заключение	1	1
168	но не	12	1
169	у него	2	1
170	а тем	1	1
171	между тем	6	1
172	но как	1	1
173	и по	2	1
174	и им	1	1
175	что на	3	1
176	и остаются	1	1
177	по крайней	5	1
178	не один	1	1
179	можно принять	2	1
180	и более	1	1
181	во всяком	7	1
182	перейти к	1	1
183	в каждом	2	1
184	они не	4	1
