N	3gram	Vinokur_Ku_3	VLabPisa
1	и т д	8	15
2	и т п	41	9
3	с другой стороны	3	8
4	не может быть	3	8
5	по отношению к	2	7
6	по этому поводу	1	7
7	более или менее	2	6
8	в зависимости от	7	5
9	хотя бы и	1	5
10	то же время	1	5
11	в конечном счете	1	5
12	в то же	1	5
13	не могут быть	2	4
14	в связи с	4	4
15	в том что	8	4
16	и в то	1	3
17	не удивительно что	1	3
18	вместе с тем	1	3
19	о том что	3	3
20	в одном из	1	3
21	к тому что	1	3
22	в другом месте	1	2
23	том отношении что	1	2
24	по одному тому	1	2
25	в чем же	1	2
26	чуть ли не	1	2
27	также и в	1	2
28	в том числе	2	2
29	до сих пор	8	2
30	что все эти	1	2
31	каждой из этих	1	2
32	только то что	2	2
33	можно было бы	10	2
34	и не может	1	2
35	одному тому что	1	2
36	по крайней мере	1	2
37	в том чтобы	3	2
38	с одной стороны	4	2
39	уже по одному	1	2
40	во всяком случае	1	2
41	в том отношении	1	2
42	этой точки зрения	1	2
43	от того что	2	2
44	не только не	1	2
45	для того чтобы	11	2
46	бы не было	1	2
47	из рассказа о	1	1
48	того чтобы строить	1	1
49	то это вовсе	1	1
50	том смысле что	1	1
51	на этот вопрос	1	1
52	хотя и не	1	1
53	следует отметить что	1	1
54	имеются в виду	1	1
55	какой мере не	2	1
56	в той или	2	1
57	точки зрения на	2	1
58	в виду не	1	1
59	прежде всего следует	3	1
60	в какой мере	2	1
61	хотя бы уже	1	1
62	по меньшей мере	1	1
63	в самом деле	11	1
64	в этом смысле	1	1
65	если он не	1	1
66	в силу того	1	1
67	это и значит	2	1
68	плоть и кровь	1	1
69	с этой точки	1	1
70	тот или иной	2	1
71	говоря уже о	2	1
72	в таком случае	2	1
73	сама по себе	2	1
74	что он не	1	1
75	но и в	1	1
76	т д но	1	1
77	только в том	2	1
78	это вовсе не	1	1
79	очевидно также что	1	1
80	т п для	1	1
81	может быть и	1	1
82	в противном случае	1	1
83	т п все	2	1
84	как увидим ниже	1	1
85	то или иное	2	1
86	п все это	1	1
87	в плоть и	1	1
88	ни в какой	2	1
89	ту или иную	1	1
90	зависимости от них	1	1
91	уже о том	1	1
92	в данном случае	4	1
93	не только в	3	1
94	примеры между прочим	1	1
95	то же самое	1	1
96	так же как	1	1
97	которого могло бы	1	1
98	примеров можно было	1	1
99	этот между прочим	1	1
100	не в том	2	1
101	по существу же	1	1
102	в большом количестве	1	1
103	не случайно и	1	1
104	дело так будто	1	1
105	не могло бы	1	1
106	должно свестись к	1	1
107	главным образом от	1	1
108	не имеет ничего	1	1
109	не заметить что	1	1
110	именно в том	1	1
111	нам предстоит теперь	1	1
112	всего следует отметить	1	1
113	того или иного	3	1
114	а в том	1	1
115	а вместе с	1	1
116	в то время	1	1
117	не говоря уже	2	1
118	и вместе с	1	1
119	никогда не может	1	1
120	в свою очередь	1	1
121	которые в совокупности	1	1
122	те или иные	1	1
123	что в зависимости	2	1
124	здесь можно говорить	1	1
125	и в зависимости	1	1
126	от февраля года	1	1
127	той или иной	5	1
128	мы говорим о	1	1
129	не может обойтись	1	1
130	после того как	4	1
131	что в процессе	1	1
132	в том смысле	1	1
133	сказать не могут	1	1
134	дело не в	2	1
135	к тому же	2	1
136	только тогда когда	4	1
137	что он в	1	1
138	не только для	1	1
139	т е в	1	1
