N	2gram	Vygotskiy__5	Tvorches
1	и в	30	20
2	в романе	2	15
3	и т	7	13
4	в романах	1	13
5	романах достоевского	1	13
6	не только	16	13
7	т д	3	11
8	никогда не	9	11
9	как бы	19	11
10	таким образом	20	10
11	в то	2	10
12	в его	4	10
13	и его	6	9
14	там же	1	9
15	и не	6	9
16	при этом	8	8
17	и с	2	8
18	в том	27	8
19	может быть	11	8
20	в этом	14	8
21	прежде всего	4	8
22	но и	6	8
23	то же	7	7
24	это не	3	7
25	представление о	1	7
26	потому что	23	7
27	не может	9	7
28	что в	24	7
29	в целом	5	6
30	как и	6	6
31	в своей	4	6
32	что он	17	6
33	так и	3	6
34	в конце	4	6
35	у него	3	6
36	именно в	6	6
37	а не	8	6
38	все это	2	6
39	например в	1	5
40	еще не	5	5
41	и на	3	5
42	но не	7	5
43	все же	7	5
44	в этой	5	5
45	то есть	13	5
46	о том	10	5
47	и даже	2	5
48	но это	1	5
49	в трагическом	2	5
50	так же	13	5
51	с из	1	4
52	мы не	3	4
53	все эти	2	4
54	что они	5	4
55	как в	3	4
56	хотя и	1	4
57	когда он	5	4
58	но в	5	4
59	за собой	1	4
60	не в	8	4
61	на его	3	4
62	что она	6	4
63	первой части	1	4
64	что у	3	4
65	об этом	3	4
66	показывает что	3	4
67	года и	1	4
68	если бы	11	4
69	ничего не	2	4
70	план сюжета	1	4
71	в чем	1	4
72	мы видим	8	4
73	в душе	2	4
74	а в	4	4
75	если не	1	4
76	и потому	5	4
77	и от	1	4
78	героя в	3	4
79	том что	21	4
80	одним из	1	3
81	же как	2	3
82	и отчасти	1	3
83	по мнению	6	3
84	х годов	1	3
85	с большим	1	3
86	скверный анекдот	1	3
87	роман достоевского	1	3
88	а с	5	3
89	по отношению	2	3
90	в одной	2	3
91	отношению к	1	3
92	в себе	5	3
93	в нем	7	3
94	он не	3	3
95	евгения онегина	1	3
96	у пушкина	1	3
97	так например	3	3
98	человека в	3	3
99	а затем	2	3
100	и мы	16	3
101	но уже	1	3
102	в самом	14	3
103	в котором	2	3
104	в их	3	3
105	в которых	2	3
106	заставляет нас	3	3
107	тем что	6	3
108	одна из	3	3
109	казалось бы	4	3
110	и это	8	3
111	быть может	1	3
112	до сих	5	3
113	между тем	1	3
114	романа и	1	3
115	этот вопрос	4	3
116	уже не	1	3
117	в начале	1	3
118	рассказывает о	1	3
119	для него	3	3
120	у нее	1	3
121	так как	9	3
122	то что	37	3
123	как у	1	3
124	к роману	1	3
125	и др	1	3
126	что не	1	3
127	превращается в	1	3
128	в рассказе	2	3
129	вместе с	12	3
130	характера и	2	3
131	с этой	2	3
132	сих пор	5	3
133	нет ничего	1	3
134	один из	5	3
135	не является	2	3
136	своих героев	1	3
137	одной из	1	3
138	в своих	5	3
139	к этому	3	3
140	в таком	3	3
141	самом деле	8	2
142	от этой	2	2
143	и есть	5	2
144	по преимуществу	2	2
145	и он	2	2
146	в ее	3	2
147	героя романа	1	2
148	тут же	1	2
149	нет и	1	2
150	во многом	1	2
151	так что	3	2
152	и поэтому	3	2
153	и наконец	3	2
154	имеет в	1	2
155	но эта	1	2
156	в которой	3	2
157	в литературном	1	2
158	отказывается от	1	2
159	т п	3	2
160	тому же	1	2
161	во многих	1	2
162	так сказать	1	2
163	и если	6	2
164	быть поняты	1	2
165	при виде	1	2
166	едва ли	2	2
167	характер в	1	2
168	говорил что	2	2
169	при помощи	1	2
170	которой он	1	2
171	в такой	1	2
172	в отличие	2	2
173	одном из	1	2
174	точку зрения	1	2
175	их в	1	2
176	влечет за	2	2
177	не могли	4	2
178	героем и	1	2
179	не менее	1	2
180	эта мысль	1	2
181	из нас	1	2
182	на него	1	2
183	в процессе	1	2
184	в русской	1	2
185	карамазова и	1	2
186	трагедии в	3	2
187	другой стороны	5	2
188	с полным	1	2
189	гамлета и	2	2
190	что на	3	2
191	у нас	4	2
192	могут быть	8	2
193	ли не	2	2
194	части романа	2	2
195	более не	1	2
196	же не	2	2
197	как по	1	2
198	действия и	4	2
199	так в	3	2
200	приводит к	2	2
201	глубже в	1	2
202	действующих лиц	7	2
203	сводится к	5	2
204	и что	23	2
205	и только	3	2
206	крайней мере	1	2
207	все время	20	2
208	фабулы и	2	2
209	с ними	1	2
210	только в	5	2
211	в стороне	1	2
212	и ее	1	2
213	точка зрения	1	2
214	себя в	1	2
215	уже в	6	2
216	в виде	1	2
217	или даже	1	2
218	из них	2	2
219	его и	1	2
220	не так	1	2
221	в одном	2	2
222	вовсе не	3	2
223	давно уже	2	2
224	может служить	1	2
225	сильнее и	1	2
226	только с	1	2
227	отличие от	2	2
228	рядом с	5	2
229	с другой	9	2
230	не было	1	2
231	на этот	3	2
232	по крайней	1	2
233	и вообще	1	2
234	в частности	4	2
235	характеров и	2	2
236	так мы	1	2
237	в россии	1	2
238	думается что	3	2
239	в первой	1	2
240	только для	1	2
241	сюжета и	1	2
242	в руки	1	2
243	в основе	7	2
244	ни к	1	2
245	видим в	2	2
246	к самому	2	2
247	героя и	7	2
248	глазами героя	1	2
249	из этого	2	2
250	отказаться от	1	2
251	в искусстве	6	2
252	во всяком	1	2
253	этого романа	1	1
254	говорили о	1	1
255	что фабула	1	1
256	ту же	2	1
257	нем нет	1	1
258	речь идет	1	1
259	в сфере	1	1
260	с с	1	1
261	подсказывает ему	1	1
262	художественного произведения	3	1
263	связана с	1	1
264	он более	1	1
265	на другой	1	1
266	только потому	1	1
267	это и	2	1
268	героев к	1	1
269	случае о	1	1
270	мы говорим	1	1
271	о гармонии	1	1
272	из его	1	1
273	перегоревший в	1	1
274	трагической любви	3	1
275	и за	1	1
276	хотя эта	1	1
277	с в	1	1
278	мы уже	6	1
279	той же	3	1
280	из всех	1	1
281	самое же	1	1
282	характер последней	1	1
283	характер героя	1	1
284	что если	6	1
285	нашу мысль	1	1
286	не делает	1	1
287	случае это	1	1
288	на место	1	1
289	из своих	1	1
290	оба эти	2	1
291	но такое	1	1
292	роман в	1	1
293	направо и	1	1
294	мы и	1	1
295	то это	4	1
296	свою очередь	1	1
297	он был	2	1
298	между собой	2	1
299	это действительно	2	1
300	с его	2	1
301	во всех	2	1
302	говоря не	2	1
303	в сюжете	1	1
304	не составит	1	1
305	времени как	1	1
306	отказ от	1	1
307	о смерти	5	1
308	но как	1	1
309	а только	1	1
310	к которой	1	1
311	которую она	1	1
312	не все	1	1
313	если в	1	1
314	ответ на	5	1
315	искусство в	1	1
316	в жизни	1	1
317	отношение к	1	1
318	такой силой	2	1
319	или иное	1	1
320	значение имеет	1	1
321	теперь не	1	1
322	страстей в	1	1
323	оказывается не	1	1
324	общего с	1	1
325	с этим	2	1
326	и нет	1	1
327	перед нами	2	1
328	романа но	1	1
329	и как	7	1
330	говорит что	6	1
331	не являются	1	1
332	и к	4	1
333	и событий	1	1
334	единственно возможным	1	1
335	в противоположность	2	1
336	на всем	1	1
337	видим героя	1	1
338	психологии и	1	1
339	за границей	1	1
340	еще на	1	1
341	выше мы	1	1
342	что это	8	1
343	в известном	1	1
344	бы с	1	1
345	представляет собой	1	1
346	чуть ли	1	1
347	из этих	3	1
348	сил в	4	1
349	смысл этого	3	1
350	нами в	1	1
351	и до	2	1
352	и ленского	1	1
353	но его	2	1
354	всегда на	1	1
355	на то	17	1
356	главным образом	1	1
357	сказать в	1	1
358	о которой	1	1
359	и эти	1	1
360	этого вопроса	1	1
361	не к	1	1
362	в силу	3	1
363	и вот	2	1
364	можно было	3	1
365	в каждом	2	1
366	совпадают с	2	1
367	что все	6	1
368	значение в	1	1
369	и дальше	2	1
370	возникает еще	1	1
371	того или	1	1
372	заключается в	8	1
373	образом если	2	1
374	оставляет без	1	1
375	мы на	1	1
376	в глазах	2	1
377	смотреть на	3	1
378	затем как	1	1
379	было бы	5	1
380	должен был	4	1
381	выше на	1	1
