N	2gram	Vinokur_St_2	Myslijsy
1	потому что	9	46
2	в том	27	32
3	и в	29	30
4	может быть	2	28
5	то же	2	23
6	не только	19	21
7	только в	2	21
8	для нас	1	20
9	но и	19	19
10	того что	5	18
11	том что	27	18
12	то что	11	18
13	что в	19	17
14	в себе	2	16
15	по себе	3	16
16	и проч	1	16
17	и не	9	15
18	не в	4	15
19	а не	5	15
20	таким образом	10	14
21	что и	2	13
22	так как	2	13
23	если бы	2	12
24	вместе с	7	12
25	а в	1	12
26	точно так	1	12
27	так и	9	11
28	что оно	1	11
29	как в	3	10
30	в этом	21	10
31	как и	2	10
32	в то	2	10
33	и что	6	10
34	мы не	1	9
35	из этих	1	9
36	в нем	4	9
37	было бы	5	9
38	между тем	5	9
39	для него	4	9
40	и то	1	8
41	в ней	7	8
42	в самом	7	8
43	только что	2	8
44	что слово	1	7
45	но не	3	7
46	с тем	7	7
47	и без	1	7
48	тем что	3	7
49	как мы	1	7
50	так что	3	7
51	в языке	5	7
52	вовсе не	6	7
53	с другой	4	7
54	к тому	10	7
55	например в	3	6
56	с этим	3	6
57	не имеет	2	6
58	и теперь	2	6
59	те же	1	6
60	что он	13	6
61	из коих	1	6
62	то и	1	6
63	из них	3	6
64	и слово	1	6
65	но оно	1	6
66	не может	2	6
67	имеет значение	1	6
68	что только	1	6
69	но это	3	6
70	если б	4	5
71	сам по	1	5
72	и т	9	5
73	еще не	1	5
74	по отношению	1	5
75	независимо от	1	5
76	в своем	9	5
77	и как	2	5
78	не следует	1	5
79	к одному	1	5
80	одно и	1	5
81	с другими	1	5
82	и тем	1	5
83	в них	2	5
84	что я	2	5
85	же время	1	5
86	к ней	1	5
87	как на	9	5
88	в каком	2	5
89	языка в	2	5
90	не могут	1	5
91	сравнительно с	1	5
92	не менее	3	5
93	мысль о	1	5
94	по тому	1	5
95	уже в	1	5
96	одно из	1	5
97	только по	2	5
98	очевидно что	2	5
99	отношению к	1	5
100	сказать что	2	5
101	тем же	2	4
102	или же	1	4
103	в каждой	1	4
104	столь же	1	4
105	что именно	2	4
106	не было	3	4
107	что это	3	4
108	он не	9	4
109	перестает быть	1	4
110	не к	2	4
111	но вместе	1	4
112	и по	3	4
113	мы видели	1	4
114	в один	2	4
115	в котором	7	4
116	есть нечто	1	4
117	того как	7	4
118	это слово	3	4
119	и его	6	4
120	до того	4	4
121	по поводу	8	4
122	для того	7	4
123	оно не	3	4
124	на это	2	4
125	и это	2	4
126	то время	1	4
127	без сомнения	1	4
128	в его	13	4
129	один из	1	4
130	образа в	1	4
131	себя и	1	4
132	что для	1	4
133	если не	2	4
134	и потому	2	4
135	для понимания	1	4
136	все это	11	4
137	и от	1	4
138	форма слова	1	4
139	другой стороны	3	4
140	была бы	5	4
141	все что	1	4
142	только потому	2	3
143	в первом	1	3
144	действительности и	1	3
145	говорить о	1	3
146	бы ни	2	3
147	и на	6	3
148	в чем	1	3
149	не то	3	3
150	ответ на	1	3
151	более или	2	3
152	что она	1	3
153	при этом	2	3
154	т д	6	3
155	в каждом	1	3
156	не будет	1	3
157	что все	1	3
158	разница между	1	3
159	его в	2	3
160	или менее	2	3
161	как бы	5	3
162	одним и	1	3
163	место в	1	3
164	что при	1	3
165	тем не	2	3
166	есть еще	2	3
167	тому что	7	3
168	на него	1	3
169	с и	2	3
170	образом в	1	3
171	того чтобы	6	3
172	не составляют	1	3
173	заметить что	1	3
174	ни о	1	3
175	слова с	1	3
176	свою очередь	1	3
177	него самого	2	3
178	в образе	3	3
179	или в	1	3
180	именно вследствие	1	3
181	и вообще	2	3
182	со стороны	2	3
183	искусства и	2	3
184	никак не	2	3
185	можно сказать	1	3
186	это было	2	3
187	что конечно	1	3
188	только на	1	3
189	в начале	3	3
190	прежде всего	5	3
191	мы можем	1	3
192	и вместе	1	3
193	до сих	6	3
194	именно в	4	3
195	такое же	2	3
196	там где	2	3
197	связь с	2	3
198	образ который	1	3
199	так же	3	3
200	самого себя	1	3
201	в ряду	1	3
202	том смысле	2	3
203	сих пор	5	3
204	не существует	1	3
205	а к	2	3
206	к одной	1	3
207	и все	1	3
208	в свою	1	3
209	не говоря	1	3
210	в последнем	1	3
211	в которой	11	3
212	как слово	1	3
213	к этому	4	3
214	в таком	1	3
215	а между	1	2
216	самом деле	3	2
217	это и	1	2
218	в приведенном	1	2
219	и до	1	2
220	в их	3	2
221	той же	1	2
222	не столько	7	2
223	на свою	1	2
224	при таких	1	2
225	а тем	1	2
226	большей части	1	2
227	что язык	1	2
228	тогда как	2	2
229	отношение к	1	2
230	за пределы	1	2
231	что они	2	2
232	о необходимости	1	2
233	все же	6	2
234	и той	1	2
235	целый ряд	1	2
236	при создании	1	2
237	так или	1	2
238	в этой	2	2
239	и тот	1	2
240	иначе и	1	2
241	на то	2	2
242	и если	1	2
243	на его	2	2
244	эта последняя	1	2
245	не как	1	2
246	прежде чем	1	2
247	но все	7	2
248	не дает	2	2
249	на все	1	2
250	не нашел	2	2
251	ни в	3	2
252	несмотря на	2	2
253	именно то	1	2
254	что собственно	2	2
255	во время	2	2
256	точки зрения	5	2
257	в своей	7	2
258	что такое	2	2
259	а как	4	2
260	то для	1	2
261	т п	3	2
262	том же	2	2
263	что поэтому	1	2
264	даже в	2	2
265	что есть	1	2
266	что эта	3	2
267	она не	1	2
268	что с	2	2
269	или лучше	2	2
270	сколько и	1	2
271	иметь в	3	2
272	но только	1	2
273	только не	2	2
274	пора когда	1	2
275	из того	1	2
276	этом отношении	9	2
277	ему не	2	2
278	в области	2	2
279	отказаться от	1	2
280	так например	7	2
281	ничего общего	1	2
282	кажется будто	1	2
283	и о	4	2
284	в ее	2	2
285	только при	1	2
286	лучше сказать	2	2
287	так в	1	2
288	каждого из	1	2
289	во многом	2	2
290	котором мы	1	2
291	к тем	1	2
292	свою мысль	1	2
293	и с	4	2
294	об этом	6	2
295	связанное с	1	2
296	о том	17	2
297	этой мысли	2	2
298	должно было	3	2
299	от него	1	2
300	связь между	1	2
301	от них	1	2
302	в форме	1	2
303	частью в	1	2
304	по содержанию	1	2
305	мысли об	1	2
306	одной из	3	2
307	в какой	2	2
308	но как	1	2
309	том чтобы	1	2
310	у царя	1	2
311	связи с	4	2
312	с нею	3	2
313	видеть что	1	2
314	до появления	1	2
315	в одном	6	2
316	но что	1	2
317	у него	1	2
318	ближайшим образом	2	2
319	на стороне	1	2
320	с общим	1	2
321	не были	1	2
322	и даже	3	2
323	что человек	1	2
324	тут же	1	2
325	только один	1	2
326	на чем	1	2
327	а с	3	2
328	целый мир	1	2
329	у меня	3	2
330	или с	2	2
331	в речи	4	2
332	эти слова	2	2
333	нет ни	1	2
334	к своему	2	2
335	по своему	2	2
336	следует однако	1	2
337	что же	1	2
338	слов в	1	2
339	что как	1	2
340	быть не	1	2
341	с этой	2	2
342	еще раз	1	2
343	уже на	1	2
344	не подлежит	1	2
345	то не	1	2
346	бы в	1	2
347	язык не	1	2
348	же в	1	2
349	отношении к	3	2
350	появления в	3	2
351	но этот	1	2
352	в свое	1	2
353	жизни и	1	2
354	которая не	1	2
355	одним из	6	1
356	до него	2	1
357	сомнения что	3	1
358	на самом	3	1
359	к своей	1	1
360	что когда	1	1
361	отношения между	1	1
362	по преимуществу	1	1
363	из его	2	1
364	этому соответствует	1	1
365	едва ли	1	1
366	значение но	1	1
367	по его	3	1
368	поэзии и	2	1
369	его не	3	1
370	их и	1	1
371	он уже	1	1
372	бы уже	1	1
373	нуждаются в	1	1
374	которую я	1	1
375	на первом	2	1
376	вопрос о	6	1
377	что многие	1	1
378	который был	1	1
379	в сущности	1	1
380	не вполне	1	1
381	именно только	1	1
382	в числе	2	1
383	того же	2	1
384	и он	3	1
385	в основание	1	1
386	столько же	3	1
387	в сочетании	2	1
388	он был	2	1
389	на них	1	1
390	он сам	1	1
391	при сравнении	2	1
392	говоря уже	1	1
393	здесь не	1	1
394	со словами	1	1
395	виде не	2	1
396	бы то	2	1
397	без всякого	1	1
398	с его	2	1
399	только после	1	1
400	что среди	1	1
401	от его	2	1
402	данном случае	1	1
403	совсем не	1	1
404	в голове	1	1
405	себе и	1	1
406	отличие от	2	1
407	нет и	2	1
408	смотрел на	3	1
409	из таких	2	1
410	которые не	3	1
411	и я	2	1
412	чем же	1	1
413	в истории	2	1
414	к прошедшему	1	1
415	это был	2	1
416	что касается	1	1
417	еще и	3	1
418	хотя и	4	1
419	когда он	1	1
420	уже без	1	1
421	но в	8	1
422	следует сказать	1	1
423	данные в	1	1
424	формы в	1	1
425	все эти	2	1
426	одно время	1	1
427	что к	1	1
428	не те	1	1
429	языка к	1	1
430	бы только	1	1
431	в словаре	2	1
432	не сложил	1	1
433	то звук	1	1
434	всю природу	1	1
435	о ее	1	1
436	тому же	3	1
437	как он	2	1
438	а об	1	1
439	но именно	1	1
440	в понимании	1	1
441	не нуждаются	1	1
442	нам только	1	1
443	что цель	1	1
444	свое время	1	1
445	языком и	1	1
446	теперь еще	1	1
447	тем в	2	1
448	где нет	2	1
449	в совершенно	1	1
450	конечно в	2	1
451	об этой	1	1
452	что мне	1	1
453	им мысль	1	1
454	необходимой для	1	1
455	заключается в	1	1
456	те или	1	1
457	со всех	1	1
458	окажется что	1	1
459	форму и	1	1
460	его душу	1	1
461	кажется что	3	1
462	само собою	2	1
463	жизни то	1	1
464	нигде не	2	1
465	для чего	1	1
466	ни с	2	1
467	с такой	1	1
468	в первые	2	1
469	сам в	1	1
470	материал но	1	1
471	нисколько не	1	1
472	на таких	1	1
473	в этих	3	1
474	места в	1	1
475	в связь	1	1
476	та что	1	1
477	но если	1	1
478	от своего	1	1
479	с точки	2	1
480	нет возможности	1	1
481	условиях и	1	1
482	что до	1	1
483	выражается на	1	1
