1	с точки зрения	8	15
2	в том что	1	7
3	в то же	12	7
4	то же время	12	7
5	зрения на мир	4	6
6	в этом отношении	1	5
7	и в то	5	3
8	в зависимости от	3	3
9	а не как	2	3
10	можно было бы	2	3
11	в одной плоскости	1	3
12	на мир и	1	3
13	не может быть	1	3
14	то есть в	1	3
15	мир и на	1	3
16	рядом с другими	1	3
17	друг с другом	2	3
18	но это не	1	3
19	бы то ни	1	3
20	во всяком случае	5	3
21	и в этом	2	3
22	значит конечно что	1	2
23	и не может	2	2
24	точка зрения на	2	2
25	в лучшем случае	2	2
26	с самого начала	1	2
27	хотя бы и	3	2
28	то есть не	1	2
29	то ни было	1	2
30	в отличие от	1	2
31	в их основе	2	2
32	он может быть	1	2
33	до сих пор	2	2
34	в одном из	1	2
35	по крайней мере	1	2
36	для того чтобы	1	2
37	лишь одним из	1	2
38	как мы уже	2	2
39	это не значит	1	2
40	в сущности только	1	2
41	именно потому что	1	2
42	можно сказать что	1	2
43	в данном случае	3	2
44	в то время	2	2
45	не значит конечно	1	2
46	выходит за пределы	3	2
47	с другой стороны	4	2
48	о том что	1	2
49	но в то	4	2
50	в большинстве случаев	6	2
51	является лишь одним	1	2
52	и в частности	1	1
53	его жизни и	1	1
54	кроме того и	1	1
55	в романе же	1	1
56	до простой ремарки	1	1
57	можно прямо сказать	1	1
58	так и в	3	1
59	в противном случае	1	1
60	и в сущности	2	1
61	дело в том	1	1
62	перед нами в	1	1
63	в настоящем и	1	1
64	не только в	2	1
65	из одного в	2	1
66	в этом как	1	1
67	и во всяком	1	1
68	себя то есть	1	1
69	во всех этих	1	1
70	но с другой	1	1
71	не могут быть	2	1
72	того или иного	2	1
73	переходил из одного	1	1
74	в его сознании	1	1
75	ни одной из	1	1
76	отношение к своему	2	1
77	становится одним из	1	1
78	один из этих	1	1
79	что они не	1	1
80	может быть и	1	1
81	себе самому и	1	1
82	и вне его	1	1
83	свое выражение в	2	1
84	друг друга и	1	1
85	в отношении к	6	1
86	точек зрения и	1	1
87	в пределах того	4	1
88	но у него	1	1
89	в своей книге	1	1
90	слов о нем	1	1
91	есть только в	1	1
92	в его романах	1	1
93	истории европейского романа	1	1
94	в значительной степени	1	1
95	не входит в	1	1
96	а следовательно и	1	1
97	к тому что	2	1
98	с этой точки	1	1
99	существенную роль в	1	1
100	и о своем	1	1
101	то время как	2	1
102	по преимуществу в	1	1
103	точки зрения на	3	1
104	перестает быть тем	2	1
105	своего и чужого	2	1
106	героя и этим	1	1
107	в нем и	1	1
108	одной плоскости с	1	1
109	мы видим что	1	1
110	в том и	2	1
111	со всею ясностью	1	1
112	а не к	1	1
113	в высшее единство	1	1
114	равно как и	1	1
115	ведь при этом	1	1
116	романа но и	1	1
117	они ни были	1	1
118	тех или иных	1	1
119	бы оно ни	1	1
120	точки зрения которого	1	1
121	прямо сказать что	1	1
122	оно ни было	1	1
123	то есть без	1	1
124	в известном смысле	2	1
125	и могли бы	1	1
126	как мы сказали	4	1
127	для его голоса	1	1
128	этой точки зрения	1	1
129	взаимодействия с другими	1	1
130	пробным камнем для	1	1
131	и на его	1	1
132	конечно и в	1	1
133	романа мы не	1	1
134	и на события	1	1
135	в первом случае	2	1
136	слова так как	1	1
137	в истории европейского	1	1
138	вот что говорит	1	1
139	к своему предмету	1	1
140	в пределах одного	1	1
141	может быть только	2	1
142	повсюду во все	1	1
143	одного в другой	2	1
144	не столько в	1	1
145	точками зрения на	1	1
146	и не могут	1	1
147	лишь абстрактный момент	1	1
148	на задний план	1	1
149	это не только	1	1
150	и у тургенева	1	1
151	в единство некоторого	1	1
152	преломления в них	1	1
153	одному и единому	2	1
154	то есть они	1	1
155	а вовсе не	2	1
156	как точка зрения	1	1
157	не только не	1	1
158	до известной степени	2	1
