N	3gram	Losev_Vlad_2	Tragedij
1	то же время	3	5
2	в то же	3	5
3	в отличие от	3	2
4	о чем он	1	2
5	точно так же	3	2
6	и в частности	1	2
7	в данном случае	2	2
8	но в то	1	2
9	в году в	1	2
10	и как бы	1	2
11	о том что	3	2
12	но все же	1	2
13	в том что	9	2
14	в этом случае	1	1
15	он сам говорит	1	1
16	том что он	2	1
17	и до конца	2	1
18	сам по себе	2	1
19	в той же	1	1
20	и то что	5	1
21	за то что	1	1
22	к м м	2	1
23	хотя наряду с	1	1
24	за что не	1	1
25	что все это	1	1
26	никогда не был	2	1
27	чем он сам	1	1
28	или как говорит	1	1
29	он и в	2	1
30	не выдержал своего	1	1
31	в блеске и	1	1
32	во всяком случае	6	1
33	в высшей степени	1	1
34	в конце концов	3	1
35	и если б	1	1
36	тем не менее	6	1
37	начала и до	2	1
38	в связи с	8	1
39	то что он	3	1
40	что я не	1	1
41	а это было	1	1
42	не может быть	1	1
43	по вопросу об	1	1
44	и все же	2	1
45	еще в году	1	1
46	с самого начала	1	1
47	в самом деле	1	1
48	несмотря на все	2	1
49	с тем и	1	1
50	с начала и	2	1
51	после того как	2	1
52	ни за что	1	1
53	может быть в	1	1
