N	2gram	Tiupa_Anal_1	Vvedenie
1	и т	3	42
2	и в	18	32
3	в том	27	31
4	в этом	13	30
5	том что	12	26
6	может быть	29	26
7	не только	15	22
8	для того	4	21
9	того чтобы	3	20
10	таким образом	3	19
11	также и	2	18
12	то что	6	16
13	потому что	2	15
14	так как	2	15
15	не может	22	14
16	в самом	6	13
17	в нем	3	13
18	о том	5	13
19	со стороны	2	13
20	в их	5	12
21	представляет собой	16	12
22	в его	13	12
23	того что	4	12
24	только в	6	12
25	и не	21	12
26	как мы	2	11
27	в ее	1	11
28	в данном	2	11
29	языка и	1	10
30	что в	5	10
31	то же	9	9
32	и как	5	9
33	но в	8	9
34	по себе	4	9
35	между тем	5	9
36	в той	8	9
37	этом смысле	1	9
38	науки о	2	8
39	а только	1	8
40	это не	6	8
41	не в	14	8
42	не менее	1	8
43	с другой	4	8
44	именно в	4	8
45	самом деле	2	7
46	вопрос о	2	7
47	но не	10	7
48	все же	4	7
49	было бы	2	7
50	точки зрения	6	7
51	дело с	4	7
52	как нечто	1	7
53	прежде всего	6	7
54	смысле этого	1	7
55	о котором	1	7
56	в большей	1	7
57	смысле слова	1	6
58	из этих	2	6
59	как он	3	6
60	широком смысле	2	6
61	том чтобы	7	6
62	его в	1	6
63	с тем	1	6
64	как и	13	6
65	к истории	1	6
66	вовсе не	2	6
67	в то	9	6
68	в качестве	31	6
69	же время	6	6
70	не могут	3	6
71	о природе	1	6
72	один из	2	6
73	и его	5	6
74	и даже	1	6
75	до сих	1	6
76	но и	17	6
77	а именно	3	6
78	сих пор	1	6
79	хотя бы	3	6
80	одним из	3	5
81	мере в	3	5
82	а как	2	5
83	в целом	5	5
84	иное как	5	5
85	в широком	4	5
86	и тем	1	5
87	данном случае	2	5
88	в них	1	5
89	в которых	1	5
90	могут быть	4	5
91	имеет дело	1	5
92	быть в	1	5
93	так что	1	5
94	не есть	8	5
95	т п	3	5
96	представляют собой	2	5
97	что не	3	5
98	а не	17	5
