N	2gram	Kanaev_Sov_1	EvropaiE
1	и в	7	37
2	точки зрения	12	23
3	что в	2	21
4	не только	4	18
5	с точки	5	17
6	в то	1	16
7	то же	3	15
8	в своем	1	14
9	но в	3	14
10	же время	1	14
11	и не	6	14
12	в этом	7	12
13	в области	3	11
14	в том	4	11
15	с и	1	10
16	отнюдь не	3	9
17	в себе	3	9
18	только в	1	9
19	прежде всего	5	9
20	все более	1	9
21	не может	17	9
22	так же	1	9
23	на мировой	1	8
24	было бы	3	8
25	с одной	2	8
26	одной стороны	1	8
27	так как	4	7
28	с другой	1	7
29	как и	6	7
30	может быть	12	6
31	во всех	1	6
32	стороны и	1	6
33	том что	1	6
34	вовсе не	1	6
35	и даже	2	6
36	как бы	4	6
37	же как	1	5
38	но не	1	5
39	не в	3	5
40	и по	2	5
41	но если	1	5
42	как мы	2	5
43	одной из	1	5
44	в виде	2	5
45	и потому	3	5
46	в течение	1	5
47	мы не	9	4
48	вопрос о	4	4
49	в ней	1	4
50	независимо от	1	4
51	в самом	2	4
52	то ни	2	4
53	несмотря на	1	4
54	чем в	1	4
55	не имеет	1	4
56	в процессе	1	4
57	той или	1	4
58	бы то	1	4
59	по себе	1	4
60	именно в	1	4
61	ни было	1	4
62	или иной	2	4
63	западной европе	1	4
64	для нас	3	4
65	сказать что	1	4
66	идет о	1	3
67	из всех	1	3
68	того же	1	3
69	и к	3	3
70	в известном	1	3
71	мы можем	6	3
72	не будет	1	3
73	не дает	2	3
74	и мы	3	3
75	этом смысле	1	3
76	мы видели	4	3
77	она в	1	3
78	дело в	1	3
79	никогда не	1	3
80	заключает в	1	3
81	в будущем	1	3
82	ли это	1	3
83	с другом	2	3
84	можно было	1	3
85	о том	1	3
86	отметить что	1	3
87	и только	1	3
88	известном смысле	1	3
89	всяком случае	2	3
90	не из	1	3
91	в данной	1	3
92	из них	4	3
93	себе в	1	3
94	по своим	1	3
95	и прежде	1	3
96	в свою	2	3
97	там где	1	3
98	в данном	1	3
99	друг с	2	3
100	является ли	1	3
101	не является	1	3
102	и для	1	3
103	и от	1	3
104	в результате	6	3
105	не более	1	3
106	жизни в	1	3
107	в таком	2	3
108	во всяком	2	3
109	и наиболее	1	2
110	для этих	1	2
111	данной области	1	2
112	по преимуществу	1	2
113	есть не	1	2
114	именно к	1	2
115	на них	1	2
116	между собой	3	2
117	он сам	1	2
118	произошло в	1	2
119	но как	1	2
120	точка зрения	1	2
121	как их	1	2
122	за вычетом	1	2
123	с этим	2	2
124	хотя и	1	2
125	что это	2	2
126	в этой	3	2
127	xviii и	1	2
128	этот процесс	1	2
129	и если	1	2
130	он не	1	2
131	и еще	1	2
132	какой бы	1	2
133	таким образом	11	2
134	поскольку она	1	2
135	это значит	1	2
136	в мире	1	2
137	для них	1	2
138	дело идет	1	2
139	в своих	1	2
140	одна и	1	2
141	в развитии	4	2
142	такой же	2	2
143	в эту	1	2
144	представление о	1	2
145	и более	1	2
146	можем сказать	1	2
147	при условии	1	2
148	она не	1	2
149	на язык	1	2
150	не могут	2	2
151	могут быть	2	2
152	только одно	1	2
153	свою очередь	2	2
154	данном случае	1	2
155	во многом	1	2
156	если бы	1	2
157	расстоянии от	1	2
158	и та	1	2
159	и что	2	2
160	и во	2	2
161	к нему	1	2
162	во втором	1	2
163	в его	2	2
164	во всей	1	2
165	мы должны	4	2
166	этот вопрос	1	2
167	в какой	1	2
168	силы в	1	2
169	не можем	7	2
170	в большинстве	1	2
171	если в	1	2
172	в одном	3	2
173	будет ли	1	2
174	только к	1	2
175	в некоторых	2	2
176	на этот	2	2
177	а не	3	2
178	что все	2	2
179	вместе с	4	2
180	что же	5	2
181	мира но	1	2
182	или в	1	2
183	и все	3	2
184	но еще	1	2
185	еще более	2	2
186	и наконец	5	2
187	же в	1	2
188	мы видим	2	2
189	а в	4	2
190	между ними	1	2
191	жизни и	4	2
192	и эта	1	2
193	как известно	2	1
194	и это	1	1
195	процессам органической	1	1
196	но тем	1	1
197	этом периоде	1	1
198	и до	1	1
199	отдельных элементов	1	1
200	состояния в	1	1
201	той же	2	1
202	это что	1	1
203	другую и	1	1
204	говорить о	2	1
205	развернуть в	1	1
206	мы получаем	3	1
207	когда мы	3	1
208	надо всегда	1	1
209	может дать	2	1
210	быть в	1	1
211	которых нет	1	1
212	что его	1	1
213	с его	1	1
214	видели что	3	1
215	через некоторое	2	1
216	мы будем	1	1
217	заключают в	1	1
218	в процессы	1	1
219	по отношению	1	1
220	с совершенно	2	1
221	более как	1	1
222	отличие от	2	1
223	и будет	2	1
224	может преодолеть	1	1
225	дает нам	2	1
226	все же	3	1
227	кроме того	1	1
228	увидим что	1	1
229	в этот	1	1
230	то нет	1	1
231	та же	1	1
232	он в	3	1
233	в нашем	2	1
234	которые в	1	1
235	один и	1	1
236	нами в	1	1
237	и тот	1	1
238	в общий	1	1
239	и те	1	1
240	на его	2	1
241	при этом	3	1
242	жизни вообще	1	1
243	при данной	2	1
244	три четверти	1	1
245	в корне	1	1
246	на этом	2	1
247	но все	2	1
248	а затем	1	1
249	в нем	3	1
250	в совершенно	1	1
251	значение в	2	1
252	что произошло	1	1
253	том случае	1	1
254	физику и	1	1
255	такой вопрос	1	1
256	но нам	1	1
257	своя собственная	1	1
258	весь мир	1	1
259	в ином	1	1
260	к области	1	1
261	роли и	1	1
262	рядом с	1	1
263	она и	1	1
264	всегда и	1	1
265	жизни но	1	1
266	их на	1	1
267	в западной	1	1
268	в такой	1	1
269	как одной	1	1
270	то его	1	1
271	в отличие	2	1
272	что при	2	1
273	другую сторону	1	1
274	этого доказательства	1	1
275	природе например	1	1
276	на другую	1	1
277	образом из	1	1
278	все эти	5	1
279	не менее	2	1
280	но они	1	1
281	что эта	1	1
282	что с	1	1
283	в обоих	1	1
284	для каждого	1	1
285	одна из	3	1
286	и химические	1	1
287	только и	1	1
288	к концу	1	1
289	осуществляется в	1	1
290	и его	1	1
291	связи с	1	1
292	так называемый	1	1
293	и несколько	1	1
294	у нас	3	1
295	такие же	2	1
296	он называет	1	1
297	играть в	1	1
298	оно может	1	1
299	его строить	1	1
300	своего развития	1	1
301	то она	1	1
302	те же	1	1
303	одного из	1	1
304	каждого из	2	1
305	еще в	1	1
306	когда в	1	1
307	поэтому в	1	1
308	и вообще	1	1
309	с ним	1	1
310	жизни которое	1	1
311	может не	3	1
312	в вопросах	1	1
313	в которую	2	1
314	живых существ	1	1
315	в ту	1	1
316	и следовательно	1	1
317	различия между	1	1
318	значит что	1	1
319	развития но	2	1
320	быть и	2	1
321	один из	1	1
322	тот же	2	1
323	этого можно	1	1
324	ли он	1	1
325	на которые	1	1
326	или же	2	1
327	ведь в	1	1
328	конечно не	1	1
329	уже не	2	1
330	уже в	3	1
331	на такой	1	1
332	если мы	4	1
333	то и	2	1
334	в начале	1	1
335	именно та	1	1
336	признать за	1	1
337	этот раз	1	1
338	и их	1	1
339	случае когда	1	1
340	как его	1	1
341	новый не	1	1
342	а на	2	1
343	к которому	1	1
344	физические и	1	1
345	не было	1	1
346	на которых	1	1
347	не допускает	1	1
348	мы знаем	2	1
349	в связи	1	1
350	так называемых	3	1
351	одна возможность	2	1
352	совершенно достаточно	1	1
353	областях в	1	1
354	некоторое время	2	1
355	может развиться	1	1
356	должно быть	1	1
357	с ее	1	1
358	аналогии с	1	1
359	для развития	2	1
360	указать на	1	1
361	при таком	3	1
362	она может	2	1
363	нельзя сказать	1	1
364	в отдельных	1	1
365	в третьем	2	1
366	но это	1	1
367	цель и	1	1
368	все-таки в	1	1
369	не быть	1	1
370	в свое	1	1
371	есть то	1	1
372	только одна	6	1
373	они относятся	1	1
374	можно назвать	2	1
375	все что	1	1
