N	2gram	Trubetskoy_1	Analitik
1	не только	10	22
2	тогда как	1	20
3	и в	26	18
4	как и	1	14
5	так и	6	14
6	в этом	15	14
7	и его	1	13
8	но и	9	13
9	том что	7	12
10	в качестве	3	12
11	и не	8	12
12	при этом	3	11
13	то есть	4	10
14	а в	4	10
15	как бы	12	10
16	что в	9	9
17	может быть	10	9
18	а не	5	9
19	в том	11	9
20	с его	2	8
21	в миропорядке	1	8
22	и даже	3	8
23	по отношению	1	7
24	как раз	1	7
25	в его	5	7
26	с другой	8	7
27	но не	8	7
28	отношению к	3	7
29	еще не	2	6
30	в этой	4	6
31	он не	4	6
32	в их	1	6
33	не в	2	6
34	к тому	6	6
35	для него	3	6
36	о том	6	6
37	в начале	2	6
38	того же	6	5
39	той же	1	5
40	мы имеем	2	5
41	в самом	4	5
42	лишь в	5	5
43	в слове	1	5
44	однако в	1	5
45	в мире	5	5
46	или иной	2	5
47	в сущности	1	5
48	что и	6	5
49	между тем	2	5
50	уже не	3	5
51	в конце	6	5
52	никогда не	5	5
53	в свою	2	5
54	прежде всего	2	5
55	не является	1	5
56	в результате	3	5
57	другой стороны	1	5
58	представляет собой	3	5
59	и на	2	4
60	а и	1	4
61	что он	4	4
62	в своем	3	4
63	и как	3	4
64	и к	5	4
65	таким образом	22	4
66	приводит к	2	4
67	состоит в	2	4
68	по себе	1	4
69	картина мира	1	4
70	в одном	3	4
71	ли не	1	4
72	не менее	3	4
73	свою очередь	1	4
74	можно сказать	3	4
75	крайней мере	5	4
76	себя в	1	4
77	не есть	1	4
78	во втором	1	4
79	далеко не	4	4
80	по крайней	5	4
81	о чем	1	4
82	в данном	1	4
83	все же	6	4
84	с новыми	1	3
85	его не	2	3
86	мы не	1	3
87	уже в	2	3
88	здесь не	1	3
89	если в	3	3
90	что они	1	3
91	в рамках	3	3
92	как в	1	3
93	с этим	1	3
94	что касается	1	3
95	полку игореве	1	3
96	из этих	10	3
97	с их	1	3
98	роль в	1	3
99	тому же	5	3
100	роли в	1	3
101	то же	4	3
102	его в	1	3
103	лишь на	1	3
104	и того	1	3
105	одного и	1	3
106	точки зрения	13	3
107	все это	6	3
108	до известной	1	3
109	в то	4	3
110	дело не	1	3
111	только не	2	3
112	ничего не	1	3
113	же время	2	3
114	той или	2	3
115	указывает на	1	3
116	с ее	1	3
117	в ее	1	3
118	данном случае	1	3
119	не должно	1	3
120	о полку	1	3
121	мысль о	2	3
122	путь к	3	3
123	именно в	2	3
124	было бы	1	3
125	дело с	1	3
126	по воле	1	3
127	этом отношении	2	3
128	еще и	1	3
129	не было	2	3
130	не всегда	2	3
131	к жизни	5	3
132	известной степени	1	3
133	миропорядка и	1	3
134	впервые в	1	3
135	к этому	3	3
136	отношения к	1	2
137	самом деле	1	2
138	мере в	1	2
139	в первом	1	2
140	есть не	1	2
141	в ней	1	2
142	во всех	2	2
143	ними в	1	2
144	со всеми	2	2
145	в общем	8	2
146	отличие от	1	2
147	это и	1	2
148	как к	1	2
149	когда он	3	2
150	могли бы	1	2
151	но в	7	2
152	бы и	1	2
153	все эти	6	2
154	своей ролью	1	2
155	в себе	6	2
156	не могла	2	2
157	так сказать	1	2
158	на его	1	2
159	что она	1	2
160	в нем	4	2
161	не как	2	2
162	о его	1	2
163	и по	4	2
164	входит в	1	2
165	это не	1	2
166	в жизни	1	2
167	в них	2	2
168	о которых	1	2
169	с тем	18	2
170	несмотря на	6	2
171	или из	1	2
172	с точки	6	2
173	в отличие	1	2
174	тем не	3	2
175	но они	1	2
176	даже в	1	2
177	чистом виде	1	2
178	вплоть до	2	2
179	без остатка	2	2
180	судя по	1	2
181	по своей	2	2
182	в момент	1	2
183	могут быть	1	2
184	ролью в	1	2
185	в себя	1	2
186	те же	2	2
187	не с	2	2
188	в новом	2	2
189	и здесь	2	2
190	или иным	1	2
191	и т.д	6	2
192	в глаза	1	2
193	любви к	1	2
194	в значительной	3	2
195	в глазах	2	2
196	тех пор	2	2
197	один из	2	2
198	но с	3	2
199	обе эти	1	2
200	только в	4	2
201	тем или	1	2
202	то в	1	2
203	который как	1	2
204	и ее	1	2
205	с одной	7	2
206	все они	1	2
207	для всех	2	2
208	всяком случае	6	2
209	не для	1	2
210	мы можем	2	2
211	тем что	1	2
212	это по	1	2
213	одной стороны	7	2
214	и прежде	1	2
215	в соответствии	1	2
216	слове о	1	2
217	одну из	1	2
218	на эту	1	2
219	там где	1	2
220	что мы	2	2
221	связь с	2	2
222	не может	4	2
223	вместе с	15	2
224	и потому	6	2
225	по своему	2	2
226	в той	1	2
227	когда мы	1	2
228	да и	1	2
229	этого слова	1	2
230	на пути	2	2
231	и для	5	2
232	и от	4	2
233	мира и	1	2
234	и все	2	2
235	не более	1	2
236	же в	1	2
237	как показывает	1	2
238	то что	7	2
239	сказать что	2	2
240	совершенно не	1	2
241	в свое	1	2
242	а также	2	2
243	во всяком	6	2
244	а между	1	1
245	как известно	1	1
246	речь идет	1	1
247	и развитие	1	1
248	таком случае	1	1
249	человека и	1	1
250	связана с	2	1
251	которого в	1	1
252	и есть	1	1
253	тем же	1	1
254	и до	1	1
255	знаем о	1	1
256	мы уже	1	1
257	и взаимное	1	1
258	ни у	2	1
259	начинается с	1	1
260	ввести в	1	1
261	этой роли	1	1
262	оно есть	1	1
263	мы и	1	1
264	к общему	1	1
265	в таком	3	1
266	между собой	1	1
267	он сам	1	1
268	всего этого	1	1
269	к богу	3	1
270	уже как	1	1
271	вступают в	1	1
272	отношение к	5	1
273	должны были	1	1
274	один и	1	1
275	которые могли	1	1
276	идет о	1	1
277	каждая из	3	1
278	одном из	1	1
279	себе не	1	1
280	от этого	1	1
281	и отчасти	1	1
282	жизни после	1	1
283	к чему	1	1
284	не можем	1	1
285	та же	1	1
286	и у	8	1
287	в ритмическом	1	1
288	так или	3	1
289	и тот	1	1
290	на то	2	1
291	вследствие этого	1	1
292	духовной культуры	3	1
293	не следует	1	1
294	время и	1	1
295	видел в	1	1
296	которой не	1	1
297	они в	2	1
298	с именем	2	1
299	чем у	1	1
