N	2gram	Propp_Morf_1	Komedia
1	и в	13	26
2	в г	1	17
3	и не	12	14
4	и его	1	12
5	к тому	4	12
6	так и	6	12
7	может быть	52	11
8	в том	6	11
9	в этом	14	10
10	но и	4	10
11	том что	4	9
12	если бы	2	9
13	что в	8	9
14	ясно что	5	8
15	было бы	3	8
16	и на	1	7
17	не только	4	7
18	что и	7	7
19	из них	3	7
20	еще не	3	6
21	о том	2	6
22	в доме	1	6
23	таким образом	21	6
24	в то	3	6
25	того чтобы	3	6
26	потому что	3	6
27	и здесь	5	6
28	наряду с	5	6
29	во время	6	6
30	то что	8	6
31	в которой	3	5
32	с его	2	5
33	что он	4	5
34	так что	1	5
35	независимо от	3	5
36	с этим	11	5
37	для того	2	5
38	а затем	4	5
39	ни в	1	5
40	на основании	1	5
41	с тем	2	5
42	в v	1	5
43	и с	1	5
44	больше чем	1	5
45	один из	5	5
46	действующих лиц	11	5
47	в качестве	5	5
48	к этому	3	5
49	более чем	1	4
50	хотя и	3	4
51	что это	1	4
52	в целом	3	4
53	из этих	1	4
54	это было	3	4
55	в них	1	4
56	как и	3	4
57	в этих	13	4
58	тому что	4	4
59	не менее	5	4
60	не по	2	4
61	как будто	2	4
62	как мы	6	4
63	в в	2	4
64	сразу же	2	4
65	можно было	2	4
66	еще в	1	4
67	его в	2	4
68	между тем	5	4
69	в его	1	4
70	только в	2	4
71	же в	2	4
72	в начале	3	4
73	так как	16	4
74	у него	1	4
75	на этот	1	4
76	прежде всего	9	4
77	в частности	2	4
78	как это	3	4
79	о его	1	4
80	все же	7	4
81	и для	2	4
82	одной из	1	4
83	точки зрения	2	4
84	например в	2	3
85	тех же	4	3
86	то же	7	3
87	надо было	1	3
88	вопрос о	7	3
89	это время	1	3
90	что его	2	3
91	во всех	4	3
92	но не	4	3
93	по отношению	4	3
94	как в	3	3
95	что касается	1	3
96	но в	2	3
97	в этой	2	3
98	но все	3	3
99	в каждом	1	3
100	могла бы	4	3
101	по всему	2	3
102	но если	7	3
103	ли можно	1	3
104	в обоих	2	3
105	не имеет	2	3
106	того как	2	3
107	к концу	1	3
108	связи с	10	3
109	но там	1	3
110	в поле	4	3
111	можно сомневаться	1	3
112	то время	3	3
113	в образе	4	3
114	из дому	2	3
115	к нему	3	3
116	после смерти	1	3
117	тех пор	1	3
118	дело с	1	3
119	себя в	1	3
120	для всех	1	3
121	ответ на	1	3
122	и их	2	3
123	никто не	3	3
124	друг друга	3	3
125	мы можем	2	3
126	тем что	4	3
127	даже не	3	3
128	нашего века	1	3
129	так называемой	1	3
130	о чем	1	3
131	в связи	9	3
132	из которых	3	3
133	в тех	6	3
134	отношению к	4	3
135	с этой	1	3
136	или в	4	3
137	для нас	2	3
138	а в	7	3
139	в своей	1	3
140	не может	14	3
141	и т	41	2
142	одним из	1	2
143	по отдельным	1	2
144	и есть	2	2
145	в первом	3	2
146	из его	2	2
147	и за	2	2
148	мы имеем	9	2
149	мы не	8	2
150	из самых	1	2
151	время как	3	2
152	говорить о	3	2
153	все известные	2	2
154	не вполне	1	2
155	то это	3	2
156	в виду	1	2
157	и был	1	2
158	он был	1	2
159	№ и	2	2
160	бы то	3	2
161	чем это	2	2
162	и другие	6	2
163	если в	5	2
164	отличие от	1	2
165	в одной	1	2
166	что именно	1	2
167	целый ряд	3	2
168	имеет в	1	2
169	сказать о	2	2
170	в нашем	3	2
171	ни одна	4	2
172	что она	2	2
173	три года	3	2
174	он не	3	2
175	была не	1	2
176	в силу	1	2
177	на этом	3	2
178	то ни	3	2
179	же не	1	2
180	об этом	4	2
181	в жены	2	2
182	это не	6	2
183	в это	1	2
184	как видно	1	2
185	не всегда	9	2
186	чем в	1	2
187	в один	3	2
188	когда в	1	2
189	не более	1	2
190	всяком случае	2	2
191	которые в	1	2
192	не в	3	2
193	однако в	2	2
194	вовсе не	4	2
195	даже в	1	2
196	на пути	4	2
197	начинает с	1	2
198	одна из	4	2
199	нет необходимости	6	2
200	в одном	1	2
201	эта ситуация	1	2
202	не является	3	2
203	с другом	1	2
204	сомневаться в	1	2
205	как не	1	2
206	с самого	1	2
207	и что	2	2
208	с собой	3	2
209	или на	3	2
210	на что	1	2
211	после того	1	2
212	и все	1	2
213	обоих случаях	2	2
214	в другой	1	2
215	вслед за	5	2
216	в лице	1	2
217	же можно	2	2
218	с ними	1	2
219	в какой	3	2
220	и ее	3	2
221	с одной	1	2
222	и у	1	2
223	одно из	1	2
224	у нее	1	2
225	отношение к	1	2
226	от того	3	2
227	в других	3	2
228	случайная встреча	1	2
229	со стороны	3	2
230	и к	4	2
231	до сих	1	2
232	с другой	8	2
233	одной стороны	1	2
234	а на	3	2
235	если не	1	2
236	для этой	3	2
237	так называемых	2	2
238	мы находим	1	2
239	по своему	2	2
240	в течение	1	2
241	в той	1	2
242	не удалось	1	2
243	одновременно с	1	2
244	как бы	3	2
245	друг с	1	2
246	сих пор	1	2
247	хотя бы	4	2
248	ни было	2	2
249	из этого	1	2
250	этим объясняется	1	2
251	в голову	1	2
252	во всяком	2	2
