N	3gram	Bakhtin_Pr_3	Problema
1	по отношению к	1	19
2	не может быть	1	11
3	с точки зрения	2	6
4	в отличие от	1	5
5	в его целом	1	5
6	и прежде всего	5	5
7	в большинстве случаев	4	5
8	с другой стороны	1	4
9	во всех его	1	4
10	в этом смысле	1	3
11	можно было бы	1	3
12	может быть только	1	3
13	в применении к	1	3
14	все то что	2	3
15	то же время	5	3
16	в том что	3	3
17	в то же	5	3
18	тем не менее	2	3
19	и в нем	1	3
20	можно сказать что	4	2
21	мы можем говорить	1	2
22	то же самое	1	2
23	но и в	1	2
24	и во всех	3	2
25	и не может	1	2
26	и др в	2	2
27	и в то	2	2
28	то есть его	1	2
29	мы имеем дело	1	2
30	так и в	2	2
31	мы можем сказать	1	2
32	и тем самым	1	2
33	той или иной	1	2
34	можем говорить о	1	2
35	в этом отношении	1	2
36	и может быть	1	1
37	а между тем	2	1
38	в ее целом	1	1
39	что иное как	1	1
40	мы в дальнейшем	1	1
41	хотя и не	1	1
42	следует отметить что	1	1
43	к себе самому	6	1
44	да и не	1	1
45	в этом произведении	2	1
46	также и в	1	1
47	но и во	1	1
48	не менее мы	1	1
49	здесь в большинстве	1	1
50	самим собою и	1	1
51	в нем и	1	1
52	до сих пор	5	1
53	и не к	1	1
54	со всеми другими	2	1
55	на самом же	1	1
56	в известной мере	2	1
57	или хотя бы	1	1
58	с самим собою	4	1
59	себе самому к	1	1
60	от него он	1	1
61	может быть и	2	1
62	что дело идет	1	1
63	умирает то есть	1	1
64	со всеми его	1	1
65	не что иное	1	1
66	как бы уже	1	1
67	но в то	1	1
68	человека из подполья	1	1
69	таким образом и	1	1
70	им и не	1	1
71	смысле этого слова	1	1
72	позиции по отношению	1	1
73	а также и	3	1
74	по сравнению с	4	1
75	по отношению ко	1	1
76	имеем дело с	1	1
77	в связи с	1	1
78	например в романе	1	1
79	весьма характерной для	1	1
80	в мире в	1	1
81	тем или иным	1	1
82	в следующей главе	1	1
83	мы будем называть	1	1
84	в творчестве достоевского	5	1
85	самом же деле	1	1
86	не чем иным	1	1
87	жизни таким образом	1	1
88	на основе этого	1	1
89	есть не что	1	1
90	в связи со	1	1
91	в нем нет	3	1
92	чем иным как	1	1
93	равно как и	1	1
94	человека и его	3	1
95	на протяжении всего	1	1
96	то есть в	2	1
97	можем сказать что	1	1
98	останавливаться не будем	1	1
99	к слову как	1	1
100	как мы уже	3	1
101	который как бы	1	1
102	к вопросу о	1	1
103	как и в	3	1
104	целом и в	1	1
105	отметить что в	1	1
106	вбирает в себя	1	1
107	они могут быть	1	1
