N	3gram	Tiupa_Hudo_1	Vladivir
1	о том что	1	7
2	в том что	7	7
3	в этом смысле	3	4
4	то же время	5	4
5	в то же	5	4
6	более или менее	5	3
7	что он не	1	3
8	и потому что	1	3
9	с другой стороны	5	3
10	не может быть	3	3
11	он не только	1	2
12	и в то	1	2
13	в то время	1	2
14	еще и потому	1	2
15	можно сказать что	3	2
16	тем не менее	3	2
17	для того чтобы	2	2
18	том что он	1	2
19	к тому же	1	2
20	чего бы то	1	1
21	что иное как	1	1
22	с ними и	1	1
23	мы имеем дело	2	1
24	в настоящее время	1	1
25	так и не	4	1
26	так и его	1	1
27	в таких случаях	1	1
28	бы то ни	1	1
29	только то что	1	1
30	другой стороны не	1	1
31	что даже в	1	1
32	одно и то	3	1
33	дело не в	1	1
34	субъект и объект	1	1
35	как раз в	1	1
36	человеческой жизни толстой	1	1
37	содержит в себе	1	1
38	то ни было	1	1
39	с этих позиций	1	1
40	с одной стороны	2	1
41	в связи с	1	1
42	и то же	3	1
43	не содержит в	1	1
44	а с другой	2	1
45	имеем дело с	1	1
46	так или иначе	3	1
47	все что может	1	1
48	заключать в себе	1	1
49	и в том	1	1
50	при этом в	1	1
51	а в том	1	1
52	есть не что	1	1
53	заключается в том	1	1
54	в свою очередь	2	1
55	это и есть	1	1
56	но он не	2	1
57	и теперь в	1	1
58	и тем самым	1	1
59	в известной степени	1	1
60	искусства и религии	1	1
61	его личности с	1	1
62	к тому что	2	1
63	не что иное	1	1
64	в сравнении с	1	1
