N	2gram	Tiupa_Disk_2	VLabPisa
1	таким образом	1	27
2	в этом	16	26
3	и в	16	25
4	не только	10	22
5	может быть	16	21
6	и не	15	19
7	не может	9	17
8	в его	3	15
9	в процессе	1	14
10	этом отношении	4	13
11	в том	8	13
12	прежде всего	7	13
13	в частности	12	12
14	как это	1	12
15	все это	2	12
16	в силу	1	11
17	с другой	5	11
18	из них	3	11
19	в качестве	16	10
20	не могут	1	10
21	о том	4	10
22	то же	6	9
23	что в	5	9
24	об этом	1	9
25	для него	5	9
26	но и	11	9
27	и др	1	9
28	к этому	4	9
29	в своем	5	8
30	ни один	1	8
31	все эти	3	8
32	по словам	2	8
33	не следует	3	8
34	другой стороны	2	8
35	могут быть	3	8
36	в году	1	7
37	во всех	1	7
38	по отношению	4	7
39	из этих	3	7
40	как и	16	7
41	том что	10	7
42	произведения в	1	7
43	в конечном	1	7
44	не было	3	7
45	а не	14	7
46	вместе с	2	7
47	же в	1	7
48	отношению к	4	7
49	художественного произведения	1	6
50	это и	1	6
51	в себе	19	6
52	в нем	7	6
53	это не	3	6
54	их в	2	6
55	том же	1	6
56	и его	3	6
57	в то	5	6
58	так и	9	6
59	между тем	2	6
60	то что	5	6
61	одним из	1	5
62	и есть	1	5
63	конечном счете	1	5
64	все же	6	5
65	в пределах	4	5
66	не в	3	5
67	же время	5	5
68	приводит к	3	5
69	произведения как	2	5
70	один из	1	5
71	действующих лиц	1	5
72	как бы	4	5
73	не является	4	5
74	в результате	2	5
75	сказать что	1	5
76	только в	3	5
77	в искусстве	1	5
78	творческой практике	1	4
79	с его	6	4
80	в этой	4	4
81	вот как	1	4
82	перед нами	3	4
83	когда он	1	4
84	в самом	1	4
85	в целом	2	4
86	в них	3	4
87	даже в	1	4
88	одна из	1	4
89	никогда не	2	4
90	к тому	1	4
91	утверждать что	1	4
92	должен быть	1	4
93	в ее	1	4
94	в творческой	1	4
95	можно сказать	3	4
96	что он	2	4
97	в одном	4	4
98	в романе	1	4
99	равно как	1	4
100	в своей	6	4
101	например в	3	3
102	сил и	1	3
103	в котором	3	3
104	др в	1	3
105	его не	1	3
106	в которых	1	3
107	своем творчестве	1	3
108	и как	3	3
109	в противоположность	5	3
110	его в	3	3
111	далеко не	2	3
112	как целого	1	3
113	точки зрения	4	3
114	и ее	3	3
115	одном из	3	3
116	а вот	1	3
117	как о	1	3
118	со своим	2	3
119	сводится к	2	3
120	не столь	2	3
121	она не	1	3
122	никак не	1	3
123	в значительной	1	3
124	что и	2	3
125	и мир	1	3
126	того что	1	3
127	является не	2	3
128	и их	1	3
129	момент в	2	3
130	именно в	2	3
