N	3gram	Nazirov_Tr_1	Komedia
1	в том что	2	5
2	о том что	2	4
3	за то что	1	4
4	то же время	5	3
5	в то же	5	3
6	в связи с	1	3
7	и т п	1	2
8	в той же	1	2
9	к тому что	1	2
10	в обоих случаях	1	2
11	после того как	1	2
12	в отличие от	2	2
13	то что он	1	2
14	во всяком случае	1	2
15	с такой силой	1	1
16	в чем же	1	1
17	с самого начала	1	1
18	его дочь и	1	1
19	так и в	3	1
20	по сравнению с	1	1
21	но все же	2	1
22	вместе с ними	1	1
23	же время он	1	1
24	что он не	1	1
25	имеет в виду	1	1
26	приходит в голову	1	1
27	отцом и сыном	1	1
28	между отцом и	1	1
29	вместо того чтобы	1	1
30	в этой связи	1	1
31	один из первых	1	1
32	и в самом	2	1
33	обстоит дело с	1	1
34	в самом деле	1	1
35	в первом же	1	1
36	точно так же	2	1
37	друг перед другом	1	1
38	тем не менее	1	1
39	это было в	1	1
40	не может быть	1	1
