N	3gram	Berdyaev_M_1	EvropaiC
1	в том что	1	16
2	до сих пор	2	12
3	по отношению к	2	10
4	для того чтобы	2	6
5	в самом деле	1	5
6	по сравнению с	1	5
7	лишь в том	1	5
8	том случае если	1	4
9	в том случае	1	4
10	может быть и	1	4
11	не может быть	17	4
12	о том что	1	4
13	в конце концов	2	4
14	не может не	2	3
15	как и все	1	2
16	он не может	2	2
17	заключает в себе	3	2
18	вместе с тем	5	2
19	чтобы все эти	1	2
20	друг к другу	1	2
21	во всяком случае	1	2
22	во всех этих	1	2
23	между этими двумя	1	2
24	ко всему этому	1	2
25	в вопросе о	1	2
26	и в том	1	2
27	что до сих	1	2
28	и в конце	2	1
29	нет и не	1	1
30	никогда не было	1	1
31	или лучше сказать	1	1
32	психологической точки зрения	1	1
33	а не в	4	1
34	то время как	2	1
35	никто не может	1	1
36	они не могут	1	1
37	и не может	2	1
38	в зависимости от	1	1
39	между тем как	1	1
40	не знает что	1	1
41	в себе и	1	1
42	и различие между	1	1
43	в высшей степени	2	1
44	с психологической точки	1	1
45	лишь те которые	1	1
46	не в том	1	1
47	что они не	1	1
48	в нем не	2	1
49	каждый раз когда	1	1
50	потому не может	1	1
51	но и с	1	1
52	одним из самых	1	1
53	нет в самом	1	1
54	ставит его в	1	1
55	в то время	2	1
56	есть одно из	1	1
57	есть высшее благо	1	1
58	должна быть признана	1	1
59	от нее и	1	1
60	так же мало	1	1
61	самого себя и	1	1
62	и в нем	3	1
63	во многих отношениях	1	1
64	все его миросозерцание	1	1
