N	3gram	Losev_Vesc_1	Dialekti
1	и т д	19	19
2	с точки зрения	3	12
3	это значит что	19	9
4	сама по себе	3	8
5	в том что	4	7
6	не есть ни	3	6
7	сам по себе	3	6
8	внутреннего и внешнего	2	6
9	само по себе	1	5
10	ни с какой	1	4
11	т е прежде	1	4
12	с какой стороны	1	4
13	е прежде всего	1	4
14	можно было бы	1	4
15	по крайней мере	4	4
16	одно и то	4	4
17	так как она	1	4
18	и то же	4	4
19	с другой стороны	2	4
20	той или другой	2	4
21	я утверждаю что	2	4
22	ничего не говорит	1	4
23	на то что	2	4
24	в то же	1	4
25	как она есть	3	3
26	только потому что	1	3
27	более или менее	1	3
28	какой стороны не	1	3
29	да и то	1	3
30	только то что	2	3
31	в нем нет	1	3
32	не значит что	1	3
33	в конце концов	2	3
34	я не буду	1	3
35	не может быть	6	3
36	содержит в себе	4	3
37	значит что в	1	3
38	можно сказать что	3	3
39	но это –	3	3
40	что это –	2	2
41	т д и	5	2
42	я мог бы	4	2
43	то что я	2	2
44	было бы и	3	2
45	мы говорим что	3	2
46	то это значит	2	2
47	содержат в себе	1	2
48	одной стороны и	1	2
49	то как же	1	2
50	до сих пор	1	2
51	и то и	1	2
52	на что не	1	2
53	если она не	1	2
54	в этом отношении	1	2
55	тех или других	4	2
56	или хотя бы	1	2
57	а потом уже	1	2
58	нет ровно ничего	1	2
59	то и другое	4	2
60	то в чем	1	2
61	и в частности	1	2
62	значит ли это	4	2
63	не просто как	1	2
64	с одной стороны	3	2
65	по сравнению с	6	2
66	это – совершенно	1	2
67	ни на что	1	2
68	и – мы	2	2
69	во всяком случае	2	2
70	случае не есть	1	2
71	ничто не мешает	2	2
72	что не есть	3	2
73	по себе а	1	2
74	д и т	5	2
75	это и есть	1	2
76	о том что	4	2
77	ни о чем	1	2
78	с этой стороны	1	2
79	даже больше того	4	2
80	и даже не	3	2
81	ли это что	3	2
82	к тому что	2	2
83	один из видов	1	2
84	и с другой	2	2
85	но он –	1	1
86	но и все	1	1
87	не различаются между	2	1
88	крайней мере в	1	1
89	предохранения человека от	1	1
90	и есть то	2	1
91	по смыслу своему	2	1
92	есть нечто совершенно	1	1
93	общего ни с	1	1
94	уже не есть	1	1
95	это совершенно неверно	1	1
96	в той или	2	1
97	вещи что же	1	1
98	в данный момент	1	1
99	что значит что	3	1
100	равным образом и	1	1
101	в чем же	3	1
102	заключается не в	1	1
103	мы имеем дело	2	1
104	все это –	2	1
105	дело в том	2	1
106	ясно что смысл	1	1
107	то время как	1	1
108	что это значит?	2	1
109	это было бы	1	1
110	то ясно что	1	1
111	в самом деле	4	1
112	и в особенности	1	1
113	сказать что почти	1	1
114	но даже и	2	1
115	так или иначе	4	1
116	не больше как	1	1
117	так что в	3	1
118	есть сама вещь	3	1
119	т е не	2	1
120	это я должен	1	1
121	она уже не	1	1
122	того или другого	1	1
123	но ясно что	1	1
124	и значит что	1	1
125	и что они	1	1
126	и с чем	1	1
127	и тому же	1	1
128	что нужно для	2	1
129	дыра даже не	1	1
130	– не реален	1	1
131	д все это	1	1
132	это я мог	1	1
133	что она есть	2	1
134	как раз и	1	1
135	и больше ничего	8	1
136	у него и	1	1
137	и еще более	1	1
138	на это я	1	1
139	они вовсе не	1	1
140	сами по себе	3	1
141	ни в коем	1	1
142	и есть тут	1	1
143	можно говорить о	2	1
144	есть то что	4	1
145	не есть нечто	1	1
146	на самом же	1	1
147	из того что	2	1
148	ничего нового к	1	1
149	и чем выражена	1	1
150	но только с	1	1
151	и это есть	1	1
152	что все это	1	1
153	в ней не	1	1
154	стороны и с	1	1
155	и ничего не	1	1
156	она может быть	2	1
157	это и значит	2	1
158	но и к	1	1
159	от атмосферных явлений	1	1
160	и не в	1	1
161	и тем не	1	1
162	это я делаю	1	1
163	в коем случае	1	1
164	значит что мы	5	1
165	я и не	1	1
166	не есть только	2	1
167	ясно что это	1	1
168	что почти все	1	1
169	нечто внутреннее и	1	1
170	содержащая в себе	1	1
171	не потому что	4	1
172	в том чтобы	1	1
173	с вещью не	1	1
174	том или другом	1	1
175	есть не больше	1	1
176	тут не с	1	1
177	вовсе не есть	6	1
178	в то время	1	1
179	не мешает чтобы	1	1
180	потому что сначала	1	1
181	с вещью но	1	1
182	и ни с	1	1
183	же это и	1	1
184	до полной неразличимости	1	1
185	отвлеченной идеей но	1	1
186	того что она	2	1
187	и – вы	1	1
188	значило бы что	2	1
189	даже вообще не	1	1
190	с ним и	1	1
191	это – такое	1	1
192	не в том	1	1
193	еще ничего не	1	1
194	что такое этот	1	1
195	его на то	1	1
196	это не значит	1	1
197	т д все	1	1
198	ни даже просто	1	1
199	т д на	1	1
200	человека от атмосферных	1	1
201	это значило бы	2	1
202	– как можно	2	1
203	в новое время	1	1
204	когда мы говорим	1	1
205	но так как	1	1
206	и пр –	1	1
207	это не есть	1	1
208	самом же деле	1	1
209	что она уже	3	1
210	хотя бы даже	1	1
211	как отвлеченный и	1	1
212	а в том	1	1
213	существенного и несущественного	1	1
214	есть не что	5	1
215	самим по себе	1	1
216	на идею и	1	1
217	никто никогда не	1	1
218	коем случае не	1	1
219	черная дыра даже	1	1
220	вещи и –	1	1
221	то что не	2	1
222	различаются между собою	2	1
223	хотя бы в	2	1
224	отождествляется с ним	1	1
225	т д если	1	1
226	что это есть	3	1
227	к одному и	1	1
228	что иное как	7	1
229	существенное от несущественного	1	1
230	указаний ни на	1	1
231	вещи не есть	3	1
232	внутреннее и нечто	1	1
233	мог бы высказать	1	1
234	то или другое	1	1
235	прежде всего некая	2	1
236	ней не может	1	1
237	и что она	1	1
238	есть прежде всего	2	1
239	имеется в виду	1	1
240	в то или	1	1
241	хотя это и	1	1
242	не что иное	7	1
243	было так то	1	1
244	мы замечаем что	1	1
245	тех или иных	1	1
246	какое же это	1	1
247	тем не менее	3	1
248	друг с другом	1	1
249	что смысл вещи	1	1
250	для того чтобы	2	1
251	никаких указаний ни	1	1
252	в дальнейшем но	1	1
253	и нечто внешнее	1	1
254	по себе без	2	1
255	она не может	2	1
256	одному и тому	1	1
257	то же самое	1	1
258	как она может	1	1
259	никак не различаются	1	1
260	это – уже	1	1
261	не есть просто	4	1
262	и есть только	1	1
