N	2gram	Bakhtin_KF_1	Literetu
1	и не	26	22
2	в мире	6	16
3	и в	24	16
4	при этом	4	15
5	в этом	14	14
6	не только	5	14
7	но и	9	14
8	в том	6	12
9	может быть	45	12
10	а не	17	12
11	то что	7	12
12	я и	2	10
13	не в	12	10
14	то же	5	9
15	так и	2	9
16	в то	3	9
17	того что	3	9
18	в этой	2	8
19	в жизни	2	8
20	том что	4	8
21	не может	27	8
22	к себе	2	8
23	как бы	9	8
24	в своей	10	7
25	тем самым	4	7
26	же время	2	7
27	только в	16	7
28	себя в	8	7
29	со стороны	7	7
30	эстетического субъекта	1	7
31	точки зрения	12	7
32	я в	1	7
33	еще не	4	6
34	с его	1	6
35	в себе	21	6
36	в другом	3	6
37	о том	3	6
38	и его	17	6
39	в его	40	6
40	и т.п	1	6
41	к тому	1	6
42	причастности к	1	6
43	субъекта и	1	5
44	как в	2	5
45	в целом	10	5
46	то есть	1	5
47	лишь в	8	5
48	это не	10	5
49	соответствии с	2	5
50	как и	5	5
51	что я	5	5
52	в основе	5	5
53	в ее	16	5
54	что он	2	5
55	в качестве	2	5
56	именно в	5	5
57	а именно	1	5
58	лирический герой	1	5
59	вместе с	1	5
60	а в	4	5
61	но не	12	4
62	по отношению	26	4
63	хотя и	1	4
64	входит в	3	4
65	должно быть	6	4
66	место в	5	4
67	никогда не	5	4
68	в жизнь	1	4
69	одно из	1	4
70	в одном	4	4
71	до конца	3	4
72	в данном	2	4
73	и для	9	4
74	я как	1	4
75	жизни в	5	4
76	отношению к	22	4
77	отношения к	1	3
78	не становится	1	3
79	самом деле	3	3
80	для которого	3	3
81	едва ли	2	3
82	той же	1	3
83	с ее	2	3
84	но уже	1	3
85	отнюдь не	6	3
86	и как	2	3
87	и наконец	1	3
88	и к	1	3
89	но в	5	3
90	бы и	3	3
91	на его	1	3
92	а затем	1	3
93	и тем	3	3
94	с точки	9	3
95	только для	1	3
96	себе самому	1	3
97	по своей	1	3
98	потому что	2	3
99	в области	2	3
100	прежде всего	2	3
101	между тем	4	3
102	живой жизни	1	3
103	ни к	2	3
104	совершенно не	6	3
105	уже не	7	3
106	в единстве	7	3
107	в самом	1	3
108	в соответствии	2	3
109	и жизни	4	3
110	мира в	6	3
111	как это	1	3
112	там где	5	3
113	я с	1	3
114	в третьем	1	3
115	жизни и	8	3
116	а я	1	3
117	того же	1	2
118	в первом	1	2
119	вопрос о	2	2
120	так чтобы	1	2
121	я не	6	2
122	жизни как	5	2
123	и на	3	2
124	бы то	2	2
125	не могу	3	2
126	во всех	11	2
127	сказать и	1	2
128	отношение к	5	2
129	я только	1	2
130	все же	5	2
131	когда он	1	2
132	не знает	5	2
133	жизнь как	6	2
134	на то	1	2
135	вследствие этого	2	2
136	действительную жизнь	1	2
137	все они	1	2
138	в нем	28	2
139	ответственность за	2	2
140	в первой	1	2
141	не как	4	2
142	то ни	2	2
