N	3gram	Ircho_Kome_1	DiskursI
1	в том что	9	13
2	по отношению к	3	9
3	с одной стороны	3	9
4	о том что	3	5
5	в отличие от	1	4
6	то же время	4	4
7	к тому же	5	4
8	но при этом	1	3
9	с другой стороны	5	3
10	в то же	4	3
11	что же касается	1	2
12	том что в	1	2
13	не говоря уже	2	2
14	подобно тому как	1	2
15	в том числе	1	2
16	в соответствии с	1	2
17	то же самое	2	2
18	и не только	1	2
19	говоря уже о	2	2
20	на мой взгляд	1	2
21	в значительной степени	1	2
22	большей или меньшей	1	2
23	в данном случае	1	2
24	не только в	1	2
25	по своему происхождению	1	2
26	состоит в том	1	2
27	едва ли не	3	2
28	более или менее	1	2
29	и тому же	1	1
30	как одного из	1	1
31	одной из сторон	1	1
32	и даже не	1	1
33	лицо к которому	1	1
34	до сих пор	2	1
35	сам по себе	1	1
36	что он не	1	1
37	в первую очередь	2	1
38	тех случаях когда	1	1
39	следует упускать из	1	1
40	именно здесь в	1	1
41	вместе с тем	1	1
42	как мы видели	1	1
43	не заметить что	1	1
44	и в том	1	1
45	именно в этой	1	1
46	как будто бы	1	1
47	и на его	1	1
48	каждый из них	2	1
49	даже не только	1	1
50	том что он	4	1
51	во всяком случае	2	1
52	в новое время	2	1
53	до наших дней	1	1
54	в тех случаях	1	1
55	в этом отношении	3	1
56	представляет его себе	1	1
57	дошли до нас	1	1
58	к этому времени	1	1
59	с самого начала	1	1
60	и представляет его	1	1
61	и вернуться к	1	1
62	к одному и	1	1
63	речь идет о	3	1
64	и один из	1	1
65	на то что	2	1
66	может и не	1	1
67	по аналогии с	1	1
68	к одной из	1	1
69	в другом случае	1	1
70	и прежде всего	1	1
71	том что на	1	1
72	тем не менее	1	1
73	не следует упускать	1	1
74	в большинстве случаев	1	1
75	может быть в	1	1
76	как и в	2	1
77	одному и тому	1	1
