N	2gram	Voloshinov_2	KulturaY
1	потому что	1	25
2	и в	19	23
3	не только	13	20
4	в том	7	19
5	в этом	15	18
6	и не	19	16
7	было бы	4	15
8	так как	3	15
9	может быть	28	15
10	ни к	1	15
11	точки зрения	17	14
12	все эти	3	12
13	если бы	11	12
14	у нас	3	12
15	в самом	6	12
16	но в	7	11
17	том что	10	11
18	того чтобы	6	11
19	русском языке	4	10
20	по себе	3	10
21	в русском	4	10
22	в языке	7	10
23	а не	9	10
24	что в	2	10
25	самом деле	9	9
26	вопрос о	2	9
27	в сущности	14	9
28	хотя бы	6	9
29	то что	4	9
30	вовсе не	11	9
31	для того	6	9
32	не может	18	9
33	с точки	13	8
34	не в	10	8
35	языка и	15	8
36	и что	1	8
37	в качестве	3	8
38	уже не	1	8
39	прежде всего	7	8
40	с другой	3	8
41	и пр	25	8
42	что это	2	7
43	все же	5	7
44	в нашем	2	7
45	в силу	1	7
46	и с	2	7
47	не менее	1	7
48	но и	10	7
49	с помощью	6	7
50	другой стороны	1	7
51	то же	16	6
52	и на	5	6
53	но не	2	6
54	в этой	3	6
55	да и	3	6
56	это не	4	6
57	тем не	1	6
58	по крайней	2	6
59	речи в	10	6
60	между тем	6	6
61	крайней мере	2	6
62	вопроса о	1	6
63	слова в	8	6
64	что не	2	6
65	в речи	2	6
66	и то	3	5
67	также и	1	5
68	зависимости от	2	5
69	еще не	3	5
70	не следует	2	5
71	должна быть	4	5
72	и вот	1	5
73	что все	1	5
74	лишь в	14	5
75	и тем	4	5
76	несмотря на	1	5
77	и здесь	5	5
78	не могут	1	5
79	ясно что	1	5
80	приводит к	2	5
81	в его	5	5
82	тот же	1	5
83	что он	4	5
84	только в	8	5
85	должен быть	2	5
86	речь в	4	5
87	всяком случае	2	5
88	само по	1	5
89	там где	2	5
90	вместе с	2	5
91	как это	1	5
92	что же	1	5
93	этого слова	5	5
94	слова и	6	5
95	все это	1	5
96	таким образом	14	5
97	речи и	13	5
98	во всяком	3	5
99	в зависимости	2	4
100	говорить о	1	4
101	в данном	5	4
102	со стороны	1	4
103	отнюдь не	8	4
104	однако не	1	4
105	перед нами	3	4
106	хотя и	1	4
107	если мы	6	4
108	на то	4	4
109	широком смысле	1	4
110	в нем	11	4
111	в узком	2	4
112	так и	10	4
113	но все	1	4
114	на этой	5	4
115	речевого процесса	1	4
116	должно быть	3	4
117	в то	8	4
118	но только	1	4
119	не имеет	3	4
120	ничего не	4	4
121	к тому	6	4
122	но также	1	4
123	и о	2	4
124	в пределах	10	4
125	от того	1	4
126	или в	2	4
127	могут быть	3	4
128	можно сказать	1	4
129	это слово	1	4
130	в нашей	1	4
131	мы знаем	2	4
132	ни в	6	4
133	в них	1	4
134	в особенности	2	4
