N	2gram	Tiupa_Teor_1	Otkroven
1	у него	1	22
2	и в	18	19
3	но и	9	13
4	и не	13	13
5	в этом	8	12
6	не в	7	11
7	не только	16	11
8	может быть	17	11
9	а не	9	11
10	человека и	1	10
11	вопрос о	1	10
12	в нем	4	10
13	в самой	2	9
14	прежде всего	2	9
15	не было	1	9
16	никогда не	4	9
17	потому что	3	9
18	ивана карамазова	1	7
19	в его	6	7
20	он не	3	7
21	лишь в	6	7
22	но он	3	7
23	как и	4	6
24	все это	2	6
25	отношение к	5	5
26	в том	16	5
27	в самом	4	5
28	в этой	3	5
29	для него	2	5
30	о его	1	5
31	а в	13	5
32	то что	3	5
33	с его	5	4
34	все эти	2	4
35	на земле	1	4
36	что не	1	4
37	человеческих отношений	1	4
38	не может	4	4
39	того чтобы	1	4
40	и его	8	4
41	что в	9	4
42	только и	1	4
43	различие между	1	3
44	быть может	1	3
45	о том	1	3
46	еще не	4	3
47	к нему	1	3
48	было бы	1	3
49	того что	4	3
50	что он	1	3
51	и ее	3	3
52	в себе	9	3
53	человеческого духа	1	3
54	и вот	3	3
55	не могут	2	3
56	для того	1	3
57	это было	2	3
58	это не	2	3
59	только одно	1	3
60	никто не	2	3
61	могут быть	4	3
62	как бы	5	3
63	в русской	6	3
64	и от	1	3
65	в этих	3	3
66	в своих	1	3
67	все что	1	3
68	из всего	1	2
69	и то	2	2
70	в ее	5	2
71	этого мира	1	2
72	так и	10	2
73	и о	4	2
74	по себе	1	2
75	их не	1	2
76	и на	1	2
77	совсем не	1	2
78	не все	3	2
79	что и	2	2
80	что они	1	2
81	как к	2	2
82	в своем	4	2
83	и к	3	2
84	и потому	2	2
85	при чтении	2	2
86	должен был	1	2
87	добро и	1	2
88	в которой	2	2
89	что достоевский	1	2
90	он в	1	2
91	так что	1	2
92	в единстве	1	2
93	с чем	1	2
94	в душе	8	2
95	что для	1	2
96	ведь это	1	2
97	так как	1	2
98	этом мире	2	2
99	тем что	1	2
100	момент в	1	2
101	в другом	3	2
102	его в	2	2
103	сказать что	3	2
104	с тем	1	2
105	личности и	4	2
106	должно быть	1	2
107	том что	9	2
108	человека к	3	2
109	не могли	1	2
110	свобода и	1	2
111	своей жизни	2	2
112	с которой	1	2
113	и для	2	2
114	ничто не	1	2
115	жизни в	2	2
116	в своей	6	2
117	что все	1	2
118	свободы и	1	2
119	хотя и	3	2
120	ее в	2	2
121	но в	9	2
122	о судьбе	1	1
123	и это	2	1
124	кто бы	1	1
125	отношения к	2	1
126	также и	1	1
127	например в	1	1
128	и открывает	1	1
129	мире это	1	1
130	чтобы не	1	1
131	связана с	1	1
132	в виду	5	1
133	русской природы	1	1
134	тем же	1	1
135	между двумя	3	1
136	к другому	1	1
137	и до	1	1
138	жизни ее	1	1
139	и больше	2	1
140	можно было	1	1
141	к чему	2	1
142	не с	3	1
143	есть не	1	1
144	собой в	1	1
145	ту же	1	1
146	если бы	3	1
147	и делают	1	1
148	все и	1	1
149	в сущности	1	1
150	это какое-то	1	1
151	не вполне	2	1
152	жизни как	4	1
153	к преступлению	1	1
154	на примере	1	1
155	и что	3	1
156	в глаза	2	1
157	после того	1	1
158	это была	1	1
159	во внешнем	1	1
160	каждом из	1	1
161	одним словом	1	1
162	проникновение в	1	1
163	в которую	1	1
164	иных случаях	1	1
165	но не	9	1
166	лишь путем	1	1
167	нуждается в	1	1
168	в форме	2	1
169	чем и	1	1
170	у одного	2	1
171	и я	1	1
172	человека как	1	1
173	отношение человека	1	1
174	в центре	1	1
175	в том-то	1	1
176	в одной	1	1
177	как в	5	1
178	и мир	1	1
179	человеческая личность	1	1
180	в частности	16	1
181	один из	2	1
182	сознания в	1	1
183	и как	2	1
184	дается в	1	1
185	речь о	1	1
186	с ними	1	1
187	природой и	1	1
188	духа и	1	1
189	самом начале	2	1
190	силе и	1	1
191	то в	2	1
192	который в	2	1
193	из жизни	1	1
194	что это	1	1
195	между этими	1	1
196	представляет собой	9	1
197	есть для	1	1
198	за это	1	1
199	человека с	2	1
200	с их	2	1
201	уже не	4	1
202	говорят о	1	1
203	ее как	1	1
204	на то	1	1
205	бы ни	1	1
206	что она	2	1
207	свободу и	1	1
208	речи и	2	1
209	из них	1	1
210	что сама	2	1
211	чего бы	1	1
212	к каким	1	1
213	ключ к	2	1
214	он должен	2	1
215	к одному	1	1
216	в силу	1	1
217	в одном	2	1
218	вовсе не	3	1
219	и сам	1	1
220	у нее	1	1
221	против собственной	1	1
222	на не	1	1
223	лишь один	2	1
224	в каждом	1	1
225	лишь для	1	1
226	ни был	2	1
227	от свободы	2	1
228	том-то и	1	1
229	границы и	1	1
230	том случае	1	1
231	и даже	2	1
232	и трагического	1	1
233	со стороны	2	1
234	для художника	1	1
235	самим собой	3	1
236	широк человек	1	1
237	как у	1	1
238	заключается в	2	1
239	он выступает	1	1
240	делает в	1	1
241	душе в	1	1
242	а именно	2	1
243	он ни	1	1
244	не совпадает	1	1
245	с той	1	1
246	действующих лиц	1	1
247	было и	1	1
248	во внешней	1	1
249	в жизни	2	1
250	в это	1	1
251	говорит о	1	1
252	во внутренней	2	1
253	в них	2	1
254	этого слова	3	1
255	она и	1	1
256	а с	3	1
257	и завершает	1	1
258	всю жизнь	1	1
259	о чем	1	1
260	ведет к	1	1
261	в мире	19	1
262	открытие и	1	1
263	над его	1	1
264	мира в	1	1
265	в одно	2	1
266	и ему	1	1
267	стремился к	1	1
268	места в	1	1
269	художественного творчества	1	1
270	и без	1	1
271	как это	8	1
272	в иных	1	1
273	этого типа	1	1
274	любовь и	1	1
275	в мир	1	1
276	и более	1	1
277	в конце	2	1
278	открывается в	1	1
279	разговор с	1	1
280	красота есть	1	1
281	в отношении	3	1
282	и здесь	2	1
283	но у	1	1
284	отличается от	2	1
285	она не	1	1
286	и зло	1	1
287	дело в	2	1
288	ближе к	1	1
289	не по	1	1
290	карамазова в	1	1
291	виду не	3	1
292	не случайно	5	1
293	в уме	1	1
294	не существует	1	1
295	и личной	1	1
296	может служить	2	1
297	и трагическое	1	1
298	жизни не	1	1
299	его природы	1	1
300	особого рода	2	1
301	бы в	1	1
302	говорит в	2	1
303	в русском	1	1
304	по своей	3	1
305	ни к	3	1
306	внутренней жизни	1	1
307	исчезнет в	1	1
308	заключает в	1	1
309	отношении к	2	1
310	его лишь	1	1
311	как будто	2	1
312	личность и	1	1
313	перед ним	1	1
314	у нас	2	1
315	была бы	3	1
316	от всех	1	1
317	совершенно не	1	1
318	к его	2	1
319	жизни а	1	1
320	и заключается	1	1
321	особенно в	1	1
322	и состоит	1	1
323	его с	1	1
324	всего что	1	1
325	указывает на	1	1
326	случае если	1	1
327	быть назван	1	1
