N	2gram	Berdyaev_M_2	OGranits
1	и в	46	13
2	и его	5	12
3	прежде всего	12	9
4	может быть	21	8
5	не может	15	8
6	и не	18	8
7	в его	5	7
8	точки зрения	2	7
9	только в	3	6
10	как бы	8	6
11	не только	18	6
12	то что	5	6
13	мы должны	1	6
14	с точки	1	5
15	хотя бы	7	5
16	и эта	2	5
17	мы не	1	4
18	но в	10	4
19	вопроса о	4	4
20	то же	5	4
21	лишь в	2	4
22	в сознании	1	4
23	в своей	5	4
24	было бы	1	4
25	все это	1	4
26	только и	4	4
27	в каждом	3	4
28	связана с	7	3
29	и то	1	3
30	в ее	1	3
31	самом деле	1	3
32	в пределах	1	3
33	так и	4	3
34	говорить о	1	3
35	по отношению	2	3
36	за пределы	1	3
37	с этим	1	3
38	в которой	2	3
39	ни один	1	3
40	в себе	10	3
41	к одному	1	3
42	так как	8	3
43	но и	15	3
44	как и	13	3
45	и уже	1	3
46	что же	2	3
47	не в	9	3
48	да и	2	3
49	есть прежде	5	3
50	но для	2	3
51	и для	7	3
52	никогда не	18	3
53	и все	5	3
54	превращается в	2	3
55	отношению к	2	3
56	что в	4	3
57	смысле слова	3	2
58	для себя	1	2
59	роль в	1	2
60	те же	5	2
61	есть не	5	2
62	мог бы	1	2
63	если бы	3	2
64	что иное	3	2
65	иное как	3	2
66	не что	3	2
67	и должно	3	2
68	для исследования	1	2
69	в ней	11	2
70	ее в	2	2
71	а также	1	2
72	в чем	3	2
73	между тем	2	2
74	что они	3	2
75	вслед за	1	2
76	наконец в	1	2
77	основная мысль	1	2
78	его на	4	2
79	как в	7	2
80	в этом	20	2
81	но так	1	2
82	в том	3	2
83	мы видим	2	2
84	тот же	2	2
85	в действительности	2	2
86	от этого	2	2
87	в целом	1	2
88	и тем	1	2
89	все эти	1	2
90	думать что	4	2
91	уже в	2	2
92	в нем	22	2
93	для него	18	2
94	в другом	1	2
95	отношений между	1	2
96	тем что	3	2
97	в них	3	2
98	с другой	1	2
99	в самом	5	2
100	входит в	1	2
101	а не	13	2
102	не мог	3	2
103	том что	4	2
104	от своего	1	2
105	и ее	1	2
106	так же	6	2
107	в отношении	5	2
108	но такое	1	2
109	своего рода	1	2
110	с этой	1	2
111	не имеет	4	2
112	сознания и	2	2
113	от всех	1	2
114	бы в	2	2
115	во всем	5	2
116	а в	2	2
117	еще в	2	2
118	нет ничего	3	2
119	в материал	1	2
120	и к	7	2
121	в своих	3	2
122	к тому	5	2
123	и это	5	1
124	также и	4	1
125	же как	3	1
126	человека и	7	1
127	того же	1	1
128	только потому	1	1
129	уже к	1	1
130	это и	3	1
131	и есть	8	1
132	обнаруживают в	1	1
133	или иная	1	1
134	не имеют	2	1
135	ведь и	1	1
136	одно несомненно	1	1
137	в образе	3	1
138	можно было	2	1
139	в борьбе	1	1
140	когда в	1	1
141	к тем	1	1
142	других представителей	1	1
143	но у	1	1
144	вопрос о	6	1
145	эта душа	1	1
146	быть может	2	1
147	для этого	4	1
148	по себе	2	1
149	это обычно	1	1
150	в решении	1	1
151	как то	2	1
152	и над	1	1
153	на себя	1	1
154	и который	1	1
155	в мире	7	1
156	и он	11	1
157	аналогия между	1	1
158	революции в	2	1
159	и что	2	1
160	не могу	6	1
161	тем как	1	1
162	жизни он	3	1
163	к нему	2	1
164	на самом	1	1
165	совсем не	5	1
166	то он	2	1
167	представляется не	1	1
168	переходит в	8	1
169	мысль что	4	1
170	сознания не	1	1
171	цели которая	1	1
172	отношение к	8	1
173	нет и	1	1
174	и достоевский	8	1
175	в свои	1	1
176	на то	1	1
177	является представителем	1	1
178	в своем	8	1
179	по своей	3	1
180	один из	5	1
181	выпадают из	1	1
182	и как	1	1
183	его к	1	1
184	что он	7	1
185	чем его	1	1
186	в значительной	1	1
187	со всеми	1	1
188	в этой	7	1
189	и тот	2	1
190	и у	1	1
191	жизнь как	1	1
192	если он	2	1
193	себя и	3	1
194	и если	2	1
195	и чисто	1	1
196	и творческого	1	1
197	что она	5	1
198	не из	1	1
199	и других	2	1
200	на эту	1	1
201	его и	1	1
202	его внутреннее	1	1
203	не будут	2	1
204	и социальной	1	1
205	никто не	1	1
206	сознания но	1	1
207	он весь	1	1
208	в конце	5	1
209	но что	1	1
210	только с	3	1
211	подобно тому	2	1
212	и никогда	3	1
213	эта аналогия	1	1
214	на этом	2	1
215	людей и	3	1
216	ее на	1	1
217	для того	5	1
218	в вечности	1	1
219	же не	1	1
220	борьбы и	1	1
221	и характер	1	1
222	что такой	1	1
223	к другому	3	1
224	на все	3	1
225	и здесь	6	1
226	его в	3	1
227	как к	2	1
228	к которому	3	1
229	в природе	1	1
230	лежит в	1	1
231	больше и	1	1
232	к более	1	1
233	для них	1	1
234	из нее	1	1
235	не было	11	1
236	она и	1	1
237	которые не	1	1
238	все равно	3	1
239	как свое	1	1
240	у других	1	1
241	дойти до	1	1
242	не всегда	2	1
243	которой он	1	1
244	все время	2	1
245	для человека	3	1
246	должно быть	2	1
247	него не	1	1
248	менее всего	3	1
249	разных местах	1	1
250	и тогда	3	1
251	которую он	1	1
252	движение в	1	1
253	связь с	1	1
254	но если	1	1
255	себе в	2	1
256	этого необходимо	3	1
257	как все	1	1
258	в такой	3	1
259	свои права	1	1
260	что всякий	3	1
261	перейти в	2	1
262	себе а	1	1
263	в которых	1	1
264	такой степени	2	1
265	она есть	2	1
266	к этому	1	1
267	такого рода	2	1
268	тому как	2	1
269	и вот	5	1
270	и там	6	1
271	вне этой	1	1
272	были высказаны	1	1
273	в эпоху	1	1
274	такие явления	1	1
275	и более	1	1
276	их в	1	1
277	этого слова	1	1
278	что такое	1	1
279	же такое	1	1
280	тому что	4	1
281	быть и	2	1
282	воплотиться в	1	1
283	до конца	4	1
