N	3gram	Kanaev_Sov_1	Literetu
1	в том что	1	11
2	в отличие от	2	5
3	то же время	1	5
4	в то же	1	5
5	в данном случае	1	4
6	в связи с	1	4
7	в конечном счете	1	4
8	по аналогии с	1	3
9	и прежде всего	1	3
10	дело в том	1	2
11	по отношению к	1	2
12	с точки зрения	5	2
13	все же в	1	2
14	с одной стороны	1	2
15	во всяком случае	2	2
16	тем не менее	2	2
17	на самом деле	1	1
18	как и во	1	1
19	в обратном порядке	1	1
20	следующим образом если	1	1
21	в зависимости от	4	1
22	бы то ни	1	1
23	можно было бы	1	1
24	тот или иной	1	1
25	по крайней мере	1	1
26	не подлежит сомнению	2	1
27	а не только	1	1
28	и во всей	1	1
29	в самом деле	1	1
30	как бы два	1	1
31	и в этом	1	1
32	какой бы то	1	1
33	все более и	1	1
34	не может быть	4	1
35	именно в том	1	1
36	каждого из них	2	1
37	на какой бы	1	1
38	точки зрения для	1	1
39	в свою очередь	2	1
40	до сих пор	1	1
41	с самого начала	3	1
42	более и более	1	1
43	но все же	1	1
44	то ни было	1	1
45	той же природы	1	1
