N	3gram	Voloshinov_1	Sovremen
1	в зависимости от	2	3
2	мы не можем	1	3
3	через некоторое время	1	2
4	что же это	1	2
5	с помощью которых	1	2
6	же это за	1	2
7	и той же	1	1
8	предыдущей главе мы	1	1
9	в этом случае	1	1
10	как видит читатель	1	1
11	из этих двух	1	1
12	и у нас	1	1
13	с помощью которой	1	1
14	в отличие от	1	1
15	друг на друга	1	1
16	переводе с греческого	1	1
17	теперь мы должны	3	1
18	дело в том	1	1
19	одной и той	1	1
20	на другую и	1	1
21	в то же	5	1
22	в этом периоде	1	1
23	на этот вопрос	1	1
24	они не могут	1	1
25	не дает нам	1	1
26	в предыдущей главе	1	1
27	с одной стороны	1	1
28	она не может	1	1
29	его таким образом	1	1
30	дословном переводе с	1	1
31	совершенно независимо от	1	1
32	в дословном переводе	1	1
33	это как бы	2	1
34	себе цель энтелехия	1	1
35	помощью которых он	1	1
36	и тот же	2	1
37	в том что	4	1
38	в свою очередь	1	1
39	то же время	5	1
40	мы видели что	1	1
41	первый период развития	2	1
42	один и тот	2	1
43	в первый период	4	1
44	не может быть	3	1
