N	2gram	Medvedev_B_1	Komedia
1	и в	1	26
2	и не	2	14
3	так и	1	12
4	что в	1	9
5	было бы	1	8
6	и на	1	7
7	не только	1	7
8	еще не	1	6
9	таким образом	1	6
10	больше чем	2	5
11	как будто	1	4
12	можно было	2	4
13	прежде всего	1	4
14	все же	1	4
15	одной из	1	4
16	вопрос о	1	3
17	в ней	2	3
18	не было	1	3
19	все это	2	3
20	в своей	1	3
21	также что	1	2
22	по отдельным	1	2
23	говорить о	1	2
24	не вполне	1	2
25	меньше чем	1	2
26	отнюдь не	1	2
27	не следует	1	2
28	же не	1	2
29	об этом	1	2
30	всяком случае	1	2
31	всего в	1	2
32	и во	1	2
33	и ее	1	2
34	с другой	1	2
35	чем на	1	2
36	во всяком	1	2
37	и нет	1	1
38	остановиться на	1	1
39	видеть в	2	1
40	и более	1	1
41	его не	1	1
42	и меньше	1	1
43	значение слова	1	1
44	более что	1	1
45	в области	1	1
46	представляется нам	1	1
47	в пределах	1	1
48	в эпоху	1	1
49	никак не	1	1
50	говорить об	1	1
51	следовало бы	1	1
52	не все	1	1
53	не о	1	1
54	иначе не	1	1
55	не укладывается	1	1
56	у нас	3	1
57	до конца	1	1
58	а не	1	1
59	другой стороны	1	1
60	тем более	1	1
61	будто бы	1	1
62	между ними	1	1
63	забывать что	1	1
