N	3gram	Nazirov_Tv_2	VerxiiNi
1	во всяком случае	2	6
2	в том числе	1	5
3	до сих пор	3	5
4	по крайней мере	2	5
5	а с другой	1	5
6	о том что	2	4
7	том числе и	1	4
8	к тому же	1	4
9	точно так же	1	3
10	так же как	2	3
11	в связи с	1	3
12	в том что	2	3
13	и потому что	1	2
14	сих пор еще	1	2
15	то или иное	1	2
16	не только для	1	2
17	после его смерти	1	2
18	то же время	7	2
19	ничего общего с	1	2
20	с самого начала	1	2
21	той или иной	1	2
22	в то же	7	2
23	и в этом	1	2
24	влечет за собой	2	2
25	это связано с	1	1
26	с первого взгляда	1	1
27	по отношению к	3	1
28	в самом деле	2	1
29	можно говорить лишь	1	1
30	в соответствии с	4	1
31	о том как	1	1
32	в таком случае	2	1
33	но и потому	1	1
34	и в то	2	1
35	сами по себе	1	1
36	потому что сама	1	1
37	в первую очередь	1	1
38	несмотря на его	1	1
39	жизни то есть	1	1
40	в этот период	1	1
41	не похоже на	1	1
42	и через нее	1	1
43	уже говорили о	1	1
44	но в то	1	1
45	но при этом	1	1
46	в отличие от	2	1
47	потому что в	1	1
48	мы уже говорили	1	1
49	с другой стороны	2	1
50	только то что	1	1
51	не может быть	3	1
52	может и не	1	1
53	в то время	1	1
54	так и в	2	1
55	нет ничего кроме	1	1
56	в свою очередь	1	1
57	это и есть	1	1
58	в одном из	2	1
59	и никогда не	1	1
60	и превращается в	1	1
61	может быть в	1	1
62	именно потому что	1	1
