N	3gram	Tiupa_Disk_2	Marksizm
1	с точки зрения	2	20
2	не может быть	3	13
3	в самом деле	1	9
4	и не может	2	9
5	бы то ни	1	8
6	то ни было	1	8
7	и того же	2	5
8	одного и того	2	5
9	в отличие от	12	5
10	с другой стороны	1	5
11	с самого начала	1	4
12	в этом случае	2	3
13	в этом отношении	4	3
14	отнюдь не является	1	3
15	то же время	5	3
16	и т.п в	1	3
17	можно сказать что	1	3
18	в большинстве случаев	1	3
19	в то же	4	3
20	в том что	6	3
21	и той же	1	2
22	но при этом	2	2
23	в том числе	1	2
24	том числе и	1	2
25	во всяком случае	1	2
26	не могут быть	1	2
27	одной и той	1	2
28	по отношению к	4	2
29	и прежде всего	2	2
30	тем не менее	1	2
31	в пределах одного	1	2
32	при этом даже	1	1
33	прежде всего в	1	1
34	равно как и	1	1
35	подобно тому как	2	1
36	что же касается	2	1
37	значение не только	1	1
38	до известной степени	1	1
39	и т.п но	1	1
40	в наше время	2	1
41	по аналогии с	1	1
42	свет и на	1	1
43	в основе своей	2	1
44	так и с	1	1
45	в частности как	1	1
46	в предыдущей главе	1	1
47	для данного высказывания	1	1
48	в значительной степени	1	1
49	и не дает	1	1
50	из виду что	1	1
51	с одной стороны	4	1
52	и в большинстве	1	1
53	во втором случае	1	1
54	и как бы	2	1
55	по природе своей	2	1
56	принципиальное различие между	1	1
57	так и в	3	1
58	пролить свет и	1	1
59	еще на стадии	1	1
60	друг от друга	1	1
61	здесь в этом	1	1
62	в применении к	1	1
63	той или иной	3	1
