N	2gram	Kanaev_Sov_1	KFilosof
1	может быть	12	43
2	в его	2	39
3	в нем	3	31
4	не может	17	27
5	и не	6	26
6	по отношению	1	25
7	и в	7	22
8	в себе	3	21
9	отношению к	1	21
10	и его	1	17
11	а не	3	17
12	только в	1	16
13	в этом	7	13
14	точки зрения	12	13
15	и это	1	12
16	но не	1	12
17	ни в	1	12
18	все эти	5	11
19	не в	3	11
20	к нему	1	11
21	во всех	1	10
22	в своем	1	10
23	это не	4	10
24	с точки	5	10
25	все это	3	10
26	и есть	2	9
27	в целом	4	9
28	как бы	4	9
29	и для	1	9
30	и все	3	9
31	было бы	3	8
32	если бы	1	8
33	не было	1	8
34	жизни и	4	8
35	должен быть	1	7
36	конечно не	1	7
37	вовсе не	1	7
38	быть только	1	7
39	отнюдь не	3	6
40	за вычетом	1	6
41	он не	1	6
42	в мире	1	6
43	теоретического познания	1	6
44	и только	1	6
45	и действительно	1	6
46	совершенно не	2	6
47	уже не	2	6
48	и их	1	6
49	но это	1	6
50	в том	4	6
51	мы имеем	1	5
52	жизни как	1	5
53	но как	1	5
54	все же	3	5
55	но в	3	5
56	не только	4	5
57	но ведь	1	5
58	то же	3	5
59	но все	2	5
60	его в	1	5
61	как и	6	5
62	должно быть	1	5
63	от его	1	5
64	но эта	1	5
65	не имеет	1	5
66	никогда не	1	5
67	с ним	1	5
68	именно в	1	5
69	там где	1	5
70	жизни в	1	5
71	не знает	1	5
72	как его	1	4
73	быть в	1	4
74	мира но	1	4
75	при этом	3	4
76	и т.д	3	4
77	времени и	2	4
78	во всей	1	4
79	ни было	1	4
80	в одном	3	4
81	том что	1	4
82	для нас	3	4
83	а в	4	4
84	что в	2	4
85	в своих	1	4
86	самом деле	2	3
87	на самом	1	3
88	мы не	9	3
89	что это	2	3
90	в ней	1	3
91	может дать	2	3
92	еще не	3	3
93	но конечно	1	3
94	нет и	4	3
95	независимо от	1	3
96	к чему	2	3
97	в корне	1	3
98	в каждом	8	3
99	в другом	1	3
100	этом смысле	1	3
101	нет в	1	3
102	рядом с	1	3
103	не менее	2	3
104	на язык	1	3
105	ничего не	6	3
106	могут быть	2	3
107	ясно что	3	3
108	здесь нет	1	3
109	с человеком	1	3
110	о том	1	3
111	ним и	1	3
112	быть и	2	3
113	не дает	2	3
114	и пр	2	3
115	а все	3	3
116	и ни	1	3
117	не быть	1	3
118	но можно	1	3
119	в свою	2	3
120	в то	1	3
121	он может	3	2
122	это и	1	2
123	поскольку она	1	2
124	вопрос о	4	2
125	имеют место	1	2
126	с его	1	2
127	совсем не	1	2
128	в данном	1	2
129	один и	1	2
130	та же	1	2
131	перестал быть	1	2
132	ни одна	2	2
133	в этой	3	2
134	нами в	1	2
135	и тот	1	2
136	вследствие этого	1	2
137	в виде	2	2
138	то ни	2	2
139	не будет	1	2
140	и может	1	2
141	конечно в	2	2
142	и мы	3	2
143	весь мир	1	2
144	и само	1	2
145	жизни но	1	2
146	тем не	2	2
147	по себе	1	2
148	раз и	1	2
149	что эта	1	2
150	дело в	1	2
151	в процессе	1	2
152	вытекает из	1	2
153	же время	1	2
154	в области	3	2
155	и именно	2	2
156	его с	1	2
157	той или	1	2
158	ничего общего	1	2
159	говорить о	2	2
160	это только	1	2
161	другое дело	1	2
162	может не	3	2
163	и та	1	2
164	бы то	1	2
165	или как	1	2
166	вся эта	1	2
167	его осуществления	1	2
168	в ту	1	2
169	может иметь	2	2
170	общего не	1	2
171	тот же	2	2
172	и отчетливо	1	2
173	со всеми	2	2
174	мы получим	3	2
175	а это	1	2
176	не из	1	2
177	его и	1	2
178	и навсегда	1	2
179	принципиально не	2	2
180	или иной	2	2
181	ли это	1	2
182	будет ли	1	2
183	прежде всего	5	2
184	и потому	3	2
185	единства в	1	2
186	при условии	1	2
187	но для	1	2
188	которой он	2	2
189	это уже	1	2
190	человек и	1	2
191	еще более	2	2
192	и эта	1	2
193	к этому	1	2
194	жизнь человека	1	1
195	человека и	1	1
196	функции в	1	1
197	целого и	1	1
198	тем же	2	1
199	здесь и	1	1
200	мире можно	1	1
201	и до	1	1
202	не имеют	1	1
203	между ним	1	1
204	в зависимости	4	1
205	мы уже	1	1
206	той же	2	1
207	их и	1	1
208	из всех	1	1
209	нуждаются в	1	1
210	смысле можно	1	1
211	это что	1	1
212	что уже	1	1
213	именно к	1	1
214	нечего делать	1	1
215	эта функция	1	1
216	физических и	2	1
217	и иначе	1	1
218	в нашем	2	1
219	различия между	1	1
220	мы будем	1	1
221	нельзя говорить	1	1
222	и будет	2	1
223	жизни принципиально	1	1
224	с этим	2	1
225	хотя и	1	1
226	и наконец	5	1
227	и к	3	1
228	в действительности	1	1
229	и свою	1	1
230	в этот	1	1
231	в первом	3	1
232	за собой	1	1
233	в самом	2	1
234	в которой	2	1
235	в известном	1	1
236	перевести его	1	1
237	этот процесс	1	1
238	на его	2	1
239	что она	3	1
240	по самому	1	1
241	жизни вообще	1	1
242	о принципиальной	2	1
243	их в	4	1
244	и по	2	1
245	на этом	2	1
246	стремится быть	1	1
247	т.е от	1	1
248	мы отрываем	1	1
249	а затем	1	1
250	этом ее	1	1
251	том случае	1	1
252	имеет с	1	1
253	может стать	1	1
254	форму и	1	1
255	должен был	1	1
256	ведь если	1	1
257	не изолирован	1	1
258	все равно	1	1
259	этого не	1	1
260	одна и	1	1
261	несмотря на	1	1
262	стать действительностью	1	1
263	чем в	1	1
264	такой же	2	1
265	элемента в	1	1
266	в один	2	1
267	оперировать с	1	1
268	заключать в	1	1
269	он должен	2	1
270	всяком случае	2	1
271	она в	1	1
272	является только	1	1
273	не будем	2	1
274	быть таким	1	1
275	бы два	1	1
276	играть в	1	1
277	она не	1	1
278	для каждого	1	1
279	мысли в	1	1
280	одна из	3	1
281	но только	1	1
282	только не	1	1
283	все свои	1	1
284	жизни не	1	1
285	и ответственности	1	1
286	самому своему	1	1
287	не вытекает	1	1
288	не является	1	1
289	ни о	1	1
290	в живой	1	1
291	которых он	1	1
292	и должно	1	1
293	зависимости от	4	1
294	отличается от	3	1
295	другая или	1	1
296	данной области	1	1
297	правда не	1	1
298	оно может	1	1
299	своего развития	1	1
300	если мы	4	1
301	с ее	1	1
302	что все	2	1
303	свою очередь	2	1
304	и от	1	1
305	но мы	3	1
306	приводит к	2	1
307	можно говорить	1	1
308	жизни т.е	1	1
309	который знает	1	1
310	осуществляется в	1	1
311	поэтому в	1	1
312	в настоящее	2	1
313	и даже	2	1
314	и начало	1	1
315	каждый раз	6	1
316	только так	2	1
317	настоящее время	2	1
318	она всегда	1	1
319	и во	2	1
320	в конечном	1	1
321	одном случае	1	1
322	во втором	1	1
323	подлежит сомнению	2	1
324	приводит и	1	1
325	вообще и	1	1
326	человека как	1	1
327	и другую	1	1
328	ровно ничего	1	1
329	значит что	1	1
330	известном смысле	1	1
331	один из	1	1
332	или нет	1	1
333	мы видим	2	1
334	одной из	1	1
335	в какой	1	1
336	следовательно у	1	1
337	всего мы	1	1
338	не можем	7	1
339	в большинстве	1	1
340	только на	1	1
341	и чисто	1	1
342	в данной	1	1
343	конечном счете	1	1
344	только к	1	1
345	только одно	1	1
346	себе в	1	1
347	стать в	1	1
348	ведь это	3	1
349	говорить об	2	1
350	случае когда	1	1
351	так как	4	1
352	мы можем	6	1
353	много и	1	1
354	но уже	1	1
355	просто не	1	1
356	живой жизни	1	1
357	она и	1	1
358	говорим о	2	1
359	и т.п	1	1
360	и из	1	1
361	как слишком	1	1
362	на ее	1	1
363	здесь в	1	1
364	в живом	2	1
365	имеет только	1	1
366	нет единства	1	1
367	действия в	1	1
368	не способна	1	1
369	вместе с	4	1
370	мы говорим	1	1
371	в духе	1	1
372	из которых	2	1
373	когда мы	3	1
374	это значит	1	1
375	приводит только	1	1
376	влечет за	1	1
377	же самое	2	1
378	и пространства	2	1
379	при таком	3	1
380	она может	2	1
381	не подлежит	3	1
382	уже чисто	1	1
383	или в	1	1
384	но отнюдь	1	1
385	в эту	1	1
386	в третьем	2	1
387	не более	1	1
388	мы должны	4	1
389	все они	1	1
390	же в	1	1
391	могли быть	1	1
392	состав и	1	1
393	отвлекается от	1	1
394	пространственная и	1	1
395	между ними	1	1
396	поэтому мы	3	1
397	равно как	1	1
398	того же	1	1
399	самое что	1	1
400	что необходимо	1	1
401	за действительно	1	1
402	во всяком	2	1
403	все что	1	1
404	они не	1	1
