N	3gram	Potebnia_M_4	Tvorches
1	в то же	3	13
2	то же время	3	12
3	в том что	7	6
4	о том что	5	5
5	что все это	1	3
6	с самого начала	1	3
7	дело в том	1	3
8	на самом деле	3	2
9	точно так же	1	2
10	там же с	2	2
11	можно сказать что	4	2
12	и та же	1	2
13	то есть не	1	2
14	в данном случае	2	2
15	и т п	4	2
16	тем не менее	4	2
17	по крайней мере	5	2
18	не то что	3	1
19	заключается в том	1	1
20	с одной стороны	1	1
21	потому что никто	1	1
22	в ту же	1	1
23	если так можно	1	1
24	оно могло бы	1	1
25	но когда я	1	1
26	в его понимании	1	1
27	что может быть	1	1
28	в связи с	1	1
29	по мере приближения	1	1
30	как и в	1	1
31	в том же	2	1
32	в котором нет	1	1
33	заключает в себе	8	1
34	потому что не	1	1
35	равно как и	2	1
36	с другой стороны	1	1
37	могут быть названы	1	1
38	до сих пор	4	1
39	а может быть	1	1
40	я смотрю на	1	1
41	дело не в	1	1
42	к тому что	1	1
43	и того же	1	1
44	как один из	1	1
45	то же самое	4	1
46	и как бы	2	1
47	бы и в	1	1
48	на первый взгляд	1	1
49	и т д	3	1
50	по отношению к	8	1
51	хотя бы и	2	1
52	и если так	1	1
53	всем и каждому	1	1
54	в настоящее время	1	1
55	не что иное	2	1
56	то что в	2	1
57	с той же	1	1
58	может быть назван	3	1
59	так можно выразиться	1	1
60	не могут быть	2	1
61	в себе всю	1	1
62	одного и того	1	1
63	что иное как	2	1
64	вместе с тем	3	1
65	когда человек не	1	1
66	в ребенке в	1	1
67	только на словах	1	1
68	есть лишь один	1	1
69	но при этом	1	1
70	одна и та	1	1
71	мере приближения к	1	1
72	сами по себе	2	1
73	не в его	1	1
74	бы он ни	1	1
75	и в самом	1	1
76	все более и	2	1
77	таким образом уже	1	1
78	это не значит	2	1
79	в свою очередь	1	1
80	то и другое	2	1
81	что же касается	1	1
82	хотя и не	1	1
83	более и более	2	1
84	человека и все	1	1
