N	4gram	Tiupa_Narr_2	Literetu
1	в то же время	3	7
2	с одной стороны и	1	2
3	взаимодействия трех говорящего автора	1	1
4	особое место в этой	1	1
5	едва ли не наиболее	1	1
6	о чем говорят героя	1	1
7	выражение и продукт социального	1	1
8	того о ком или	1	1
9	не что иное как	1	1
10	с этой точки зрения	1	1
11	к жизни в целом	1	1
12	состоит в том что	4	1
13	только по отношению к	1	1
14	ком или о чем	1	1
15	есть выражение и продукт	1	1
16	в той или иной	1	1
17	и продукт социального взаимодействия	1	1
18	как раз в том	1	1
19	социального взаимодействия трех говорящего	1	1
20	начинается с того что	1	1
21	о ком или о	1	1
22	или о чем говорят	1	1
23	себя в другом и	1	1
24	слово есть выражение и	1	1
25	и того о ком	1	1
26	читателя и того о	1	1
27	продукт социального взаимодействия трех	1	1
