N	3gram	Losev_Prob_5	Problema
1	по отношению к	2	19
2	не может быть	2	11
3	с точки зрения	8	6
4	между тем как	1	5
5	в большинстве случаев	1	5
6	не входит в	1	4
7	в данном случае	2	4
8	с другой стороны	5	4
9	на самом деле	1	3
10	художественного творчества и	1	3
11	в самом деле	1	3
12	в этом смысле	3	3
13	бы то ни	2	3
14	можно было бы	1	3
15	может быть только	3	3
16	далеко не всегда	3	3
17	с одной стороны	3	3
18	как мы увидим	1	3
19	то же время	1	3
20	в том что	8	3
21	в то же	1	3
22	тем не менее	5	3
23	в чем не	1	2
24	можно сказать что	3	2
25	но и в	2	2
26	ни в чем	1	2
27	то или иное	1	2
28	и в частности	3	2
29	то ни было	1	2
30	другой же стороны	1	2
31	не только в	1	2
32	смысле мы можем	1	2
33	так и в	1	2
34	той или иной	1	2
35	для того чтобы	2	2
36	с другой же	1	2
37	в этом отношении	1	2
38	также и на	1	1
39	сказали бы что	1	1
40	что иное как	3	1
41	хотя и не	1	1
42	в других областях	1	1
43	то есть как	1	1
44	бы не чем	1	1
45	в дальнейшем и	1	1
46	а вовсе не	1	1
47	не говоря уже	1	1
48	в этом произведении	1	1
49	в настоящее время	3	1
50	также и в	2	1
51	не раз и	1	1
52	в частности для	1	1
53	все что угодно	1	1
54	о том как	1	1
55	имеется в виду	1	1
56	в нем и	1	1
57	во что бы	1	1
58	до сих пор	2	1
59	говоря уже о	1	1
60	была бы не	1	1
61	по аналогии с	1	1
62	ни в какой	1	1
63	но никогда не	1	1
64	на то что	2	1
65	отнюдь не к	1	1
66	несмотря на то	1	1
67	и не в	2	1
68	в новом свете	1	1
69	что бы то	1	1
70	то время как	3	1
71	не что иное	3	1
72	не в его	1	1
73	но в то	1	1
74	и в его	1	1
75	а также и	1	1
76	то ни стало	1	1
77	и в этом	1	1
78	который мог бы	1	1
79	и как бы	1	1
80	в связи с	7	1
81	а в других	1	1
82	в нем не	1	1
83	в том смысле	1	1
84	нем не только	1	1
85	и в том	1	1
86	не чем иным	2	1
87	то есть только	1	1
88	что и здесь	1	1
89	не чуждо и	1	1
90	чем иным как	2	1
91	равно как и	2	1
92	смысле слова но	1	1
93	том смысле что	1	1
94	в то время	3	1
95	это и есть	1	1
96	и т д	1	1
97	то есть в	1	1
98	хотя бы в	1	1
99	вопрос о том	1	1
100	не больше как	1	1
101	который как бы	1	1
102	в созерцании и	1	1
103	дело в том	2	1
104	разрешение вопроса о	1	1
