N	4gram	Potebnia_M_1	Problema
1	или по крайней мере	1	4
2	д и т д	1	4
3	не что иное как	2	4
4	бы то ни было	1	3
5	в том смысле что	1	3
6	дело в том что	2	2
7	но с другой стороны	2	2
8	заключается в том что	1	2
9	сказать что и в	1	1
10	одного и того же	2	1
11	и то и другое	1	1
12	еще и потому что	1	1
13	до того что не	1	1
14	и т д в	1	1
15	мы в то же	1	1
16	во всяком случае не	1	1
17	с этой точки зрения	1	1
18	тем не менее в	1	1
19	во что бы то	1	1
20	и как бы ни	1	1
21	что бы то ни	1	1
22	бы то ни стало	1	1
