N	3gram	Tiupa_Narr_1	Morfolog
1	в связи с	2	8
2	не может быть	5	8
3	подобно тому как	2	5
4	по отношению к	6	4
5	с точки зрения	2	4
6	а также и	1	4
7	с другой стороны	4	4
8	тем не менее	3	4
9	далеко не все	1	3
10	как мы увидим	1	3
11	в первом случае	2	3
12	независимо от того	1	3
13	на самом деле	1	3
14	но все же	4	3
15	как и в	1	3
16	состоит в том	3	2
17	более или менее	2	2
18	с этого момента	1	2
19	точно так же	2	2
20	может быть и	1	2
21	с одной стороны	7	2
22	на первый взгляд	2	2
23	в том что	8	2
24	однако далеко не	1	1
25	том что он	1	1
26	она может быть	1	1
27	что иное как	2	1
28	герой волшебной сказки	1	1
29	в полном объеме	1	1
30	это дает нам	1	1
31	до сих пор	1	1
32	в таком случае	2	1
33	к другому что	1	1
34	бы то ни	3	1
35	и небо и	1	1
36	но это не	1	1
37	можно было бы	2	1
38	одна за другой	1	1
39	героя к месту	1	1
40	лишь постольку поскольку	1	1
41	не то что	2	1
42	он идет по	1	1
43	в том или	2	1
44	к нему в	1	1
45	в данном случае	4	1
46	один из них	1	1
47	в первый раз	1	1
48	не входит в	1	1
49	иметь в виду	1	1
50	то что он	1	1
51	она все же	1	1
52	что они хотят	1	1
53	что несмотря на	1	1
54	есть не что	1	1
55	то же время	3	1
56	и как будто	1	1
57	далеко не всегда	1	1
58	о том что	6	1
59	он не может	1	1
60	той или иной	4	1
61	можно сказать что	4	1
62	может быть зафиксирована	1	1
63	если же в	1	1
64	в то же	3	1
65	из этих двух	1	1
66	не что иное	2	1
67	во второй раз	1	1
68	друг с другом	1	1
69	будет сказано ниже	1	1
70	то что они	1	1
71	здесь как и	1	1
