N	2gram	Vinokur_St_3	BTomashe
1	у нас	4	3
2	и не	10	2
3	все это	8	2
4	в ней	4	2
5	видеть в	1	2
6	можно было	1	2
7	крайней мере	4	1
8	первый опыт	1	1
9	более что	2	1
10	за пределы	1	1
11	не укладывается	1	1
12	тем более	3	1
13	остановиться на	1	1
14	свободный стих	1	1
15	говорить о	3	1
16	об этом	5	1
17	и в	25	1
18	и о	1	1
19	в речи	4	1
20	замечания о	2	1
21	к ней	4	1
22	что все	3	1
23	не признать	1	1
24	по отдельным	1	1
25	с другой	5	1
26	в своей	4	1
27	на самом	1	1
28	вольный стих	6	1
29	это повторяется	1	1
30	точно и	1	1
31	и нет	1	1
32	было бы	7	1
33	все же	4	1
34	всяком случае	4	1
35	по этим	1	1
36	а о	1	1
37	кроме того	3	1
38	было и	1	1
39	еще не	2	1
40	и на	6	1
41	в пределах	1	1
42	одной из	2	1
43	должна быть	1	1
44	в значительной	1	1
45	прежде всего	10	1
46	в данном	1	1
47	и во	2	1
48	так и	5	1
49	не было	4	1
50	то как	1	1
51	в книге	1	1
52	его не	2	1
53	переходя к	1	1
54	не о	1	1
55	всего в	4	1
56	до конца	3	1
57	нельзя не	3	1
58	а не	5	1
59	что в	19	1
60	в области	6	1
61	другой стороны	5	1
62	стих и	1	1
63	творчества и	1	1
64	также не	1	1
65	говорить об	1	1
66	и ее	2	1
67	не все	1	1
68	по крайней	4	1
69	таким образом	10	1
70	вопрос о	1	1
71	и более	3	1
72	не только	12	1
73	и исторической	1	1
74	во всяком	4	1
75	в эпоху	1	1
