N	3gram	Berdyaev_O_1	Hudozhes
1	в том что	1	5
2	так и не	1	4
3	в этом мире	2	2
4	для того чтобы	3	2
5	и прежде всего	1	2
6	добро и зло	1	1
7	а в его	1	1
8	может быть назван	1	1
9	в виду не	1	1
10	прежде всего в	1	1
11	это было бы	2	1
12	ивана карамазова в	1	1
13	может быть осуществлено	1	1
14	и состоит чтобы	1	1
15	не было и	1	1
16	том случае если	1	1
17	преступлении и наказании	3	1
18	в иных случаях	1	1
19	отношение человека к	1	1
20	заключает в себе	1	1
21	он ни был	1	1
22	в том случае	1	1
23	в самом начале	1	1
24	и не быть	1	1
25	не могут быть	2	1
26	так и против	1	1
27	как бы в	1	1
28	и в том	1	1
29	ни к каким	1	1
30	в преступлении и	3	1
31	о том что	1	1
32	и в самом	1	1
33	он еще не	1	1
34	он не только	1	1
35	не может быть	2	1
36	к нему как	1	1
37	как и в	1	1
