1	по отношению к	4	7
2	в соответствии с	2	6
3	в данном случае	5	6
4	с одной стороны	4	5
5	в свою очередь	1	4
6	о том что	6	4
7	к тому же	4	4
8	в этом отношении	3	4
9	в то же	2	4
10	тем не менее	3	3
11	не может быть	1	3
12	в том что	6	3
13	то же время	2	3
14	мы имеем дело	3	3
15	присутствия в мире	2	2
16	но и в	1	2
17	в нашем случае	1	2
18	не только в	2	2
19	имеем дело с	1	2
20	семантических единиц текста	1	2
21	едва ли не	2	2
22	как правило не	2	2
23	в отличие от	2	2
24	с установкой на	1	2
25	иначе говоря это	1	2
26	и представляет собой	1	2
27	собой своего рода	1	2
28	можно было бы	2	2
29	более или менее	1	2
30	и максима максимыча	1	2
31	в частности в	2	2
32	той или иной	3	2
33	состоит в том	4	2
34	в этом ряду	1	2
35	а не все	1	2
36	и тем самым	2	2
37	в этих случаях	1	2
38	подобно тому как	3	2
39	не все что	1	2
40	как и в	3	2
41	событие самого рассказывания	1	2
42	поименованное в тексте	1	2
43	кадры читательского восприятия	1	1
44	одного из вероятных	1	1
45	своего рода ключ	1	1
46	еще не гарантирует	1	1
47	читательского восприятия в	1	1
48	создается местоположением семантических	1	1
49	фразы устанавливает задаваемый	1	1
50	его уединенного сознания	1	1
51	такова что крупный	1	1
52	в противном случае	1	1
53	с оглядкой на	1	1
54	в целом как	1	1
55	жизни но и	1	1
56	ни одна из	1	1
57	и в пределах	1	1
58	содержит в себе	3	1
59	может или пожелает	1	1
60	и рецептивного сознаний	1	1
61	в кадры повествования	1	1
62	что иное как	1	1
63	при встрече с	1	1
64	местоположением семантических единиц	1	1
65	текста в начале	1	1
66	в начале и	1	1
67	начале и особенно	1	1
68	сказать и о	1	1
69	или движется один	1	1
70	поле зрения читателя	2	1
71	что может или	1	1
72	в поле зрения	2	1
73	в ходе чтения	1	1
74	времени в поле	1	1
75	самое следует сказать	1	1
76	в этом смысле	2	1
77	внутреннего зрения или	1	1
78	представляет собой своего	1	1
79	тексте а не	1	1
80	с той или	2	1
81	не тот кто	1	1
82	пожелает представить себе	1	1
83	но и не	1	1
84	автором в кадры	1	1
85	или менее насыщенный	1	1
86	в кадры читательского	1	1
87	тогда как в	2	1
88	ракурс видения в	1	1
89	лишь поименованное в	1	1
90	в этом месте	1	1
91	потому что я	1	1
92	пространственных и временных	1	1
93	слова в соответствии	1	1
94	отрезок времени в	1	1
95	возможностей речи такова	1	1
96	обратим внимание на	1	1
97	находится или движется	1	1
98	в каждый малый	1	1
99	частности специфика кадропорождающих	1	1
100	во времени и	1	1
101	и временных примет	1	1
102	движется один отдельный	1	1
103	в связи с	1	1
104	имеет место в	1	1
105	речь идет о	1	1
106	один отдельный кадр	1	1
107	кадропорождающих возможностей речи	1	1
108	или пожелает представить	1	1
109	как раз не	1	1
110	имеет в своем	1	1
111	но если бы	1	1
112	по природе своей	2	1
113	без меня не	1	1
114	последовательно вводятся автором	1	1
115	в этой системе	2	1
116	в пределах кадрового	1	1
117	а не только	2	1
118	отнюдь не является	1	1
119	в частности специфика	1	1
120	тривиальная в общеязыковом	1	1
121	опыта присутствия в	1	1
122	в значительной степени	2	1
123	появляется и в	1	1
124	примет в осмысленном	1	1
125	устанавливает задаваемый читателю	1	1
126	и т.п и	1	1
127	в общеязыковом отношении	1	1
128	читателю ракурс видения	1	1
129	впрочем максим максимыч	1	1
130	и особенно в	1	1
131	так и не	4	1
132	что крупный план	1	1
133	том или ином	2	1
134	как бы не	1	1
135	найти удобного случая	1	1
136	место слияние пространственных	1	1
137	специфика кадропорождающих возможностей	1	1
138	одна из них	1	1
139	и тот же	1	1
140	самая тривиальная в	1	1
141	как будто он	1	1
142	в этом случае	4	1
143	имеет место слияние	1	1
144	повествователя рассказчика хроникера	2	1
145	а не с	1	1
146	такого кадра входит	1	1
147	всего лишь одной	2	1
148	человека в мире	1	1
149	текста в целом	1	1
150	достаточно очевидным образом	1	1
151	в тексте а	1	1
152	как уже говорилось	2	1
153	не мог найти	1	1
154	то же самое	1	1
155	на этот раз	1	1
156	текста а не	2	1
157	да к тому	2	1
158	меня не мог	1	1
159	безымянных офицеров и	1	1
160	отдельный кадр повествования	1	1
161	до известной степени	1	1
162	жизнью и смертью	1	1
163	насыщенный деталями кадр	1	1
164	кадра входит лишь	1	1
165	если бы он	1	1
166	не что иное	1	1
167	он не тот	1	1
168	в ответ на	2	1
169	счастливы в игре	3	1
170	картины мира в	1	1
171	зрения читателя находится	1	1
172	малый отрезок времени	1	1
173	он без меня	1	1
174	единства фразы устанавливает	1	1
175	к тому или	1	1
176	свою очередь членится	1	1
177	задаваемый читателю ракурс	1	1
178	данном случае это	1	1
179	расположение деталей в	1	1
180	кадр внутреннего зрения	1	1
181	герой нашего времени	1	1
182	как о событии	1	1
183	можно сказать что	1	1
184	вводятся автором в	1	1
185	состав такого кадра	1	1
186	сами по себе	1	1
187	в рамках одного	1	1
188	в таком случае	2	1
189	особенно в конце	1	1
190	если говорить о	2	1
191	в данном контексте	1	1
192	на уровне сюжета	1	1
193	а в том	1	1
194	объекта и адресата	2	1
195	и в этом	4	1
196	представляет собой систему	1	1
197	то есть в	2	1
198	временных примет в	1	1
199	входит лишь поименованное	1	1
200	деталями кадр внутреннего	1	1
201	в полной мере	1	1
202	как более или	1	1
203	осмысленном и конкретном	1	1
204	менее насыщенный деталями	1	1
205	в том или	2	1
206	все что может	1	1
207	еще в самом	1	1
208	читателя находится или	1	1
209	это не так	1	1
210	времени и пространстве	1	1
211	начала и конца	1	1
212	и в самом	2	1
213	в конечном счете	2	1
214	кадры повествования а	1	1
215	креативного и рецептивного	1	1
216	деталей в пределах	1	1
217	с максимом максимычем	1	1
218	нашего времени в	2	1
219	видения в частности	1	1
220	вы счастливы в	3	1
221	с другой стороны	2	1
222	и конкретном целом	1	1
223	максима максимыча с	1	1
224	из них не	1	1
225	дело не с	1	1
226	даже самая тривиальная	1	1
227	мог найти удобного	1	1
228	по крайней мере	3	1
229	кадрового единства фразы	1	1
230	на то что	2	1
231	тому же в	1	1
232	тот кто говорит	1	1
233	восприятия в каждый	1	1
234	пределах кадрового единства	1	1
235	те же самые	1	1
236	могут быть только	1	1
237	они могут быть	1	1
238	единиц текста в	1	1
239	в художественном тексте	1	1
240	тому или иному	1	1
241	и полагает что	1	1
242	речи такова что	1	1
243	рода ключ к	1	1
244	следует сказать и	1	1
245	в результате чего	2	1
246	будто он без	1	1
247	слияние пространственных и	1	1
248	как она была	1	1
249	повествования а читателем	1	1
250	в своем составе	3	1
251	каждый малый отрезок	1	1
252	встречи креативного и	1	1
253	в конце фразы	1	1
254	в осмысленном и	1	1
255	уже говорилось выше	1	1
256	высказывание представляет собой	1	1
257	субъекта объекта и	2	1
258	очередь членится на	1	1
259	свидетельствует о том	1	1
260	несмотря на его	1	1
