N	3gram	Vygotskiy__1	VelikijI
1	то что мы	1	3
2	к тому что	3	3
3	то что я	1	2
4	но и в	1	2
5	том что он	2	2
6	бы и не	1	2
7	по этому пути	1	2
8	вместо того чтобы	2	2
9	не в силах	1	2
10	в том что	15	2
11	и т д	1	2
12	но все же	1	1
13	другой стороны в	1	1
14	есть прежде всего	2	1
15	с тем чтобы	1	1
16	мы указывали уже	1	1
17	по крайней мере	1	1
18	в самом элементарном	1	1
19	вместе с тем	5	1
20	в конце концов	1	1
21	потому что оно	1	1
22	в известном смысле	2	1
23	и в этом	1	1
24	ни для чего	1	1
25	которые не могли	1	1
26	в этих словах	1	1
27	с другой стороны	9	1
28	на этом пути	1	1
29	по сравнению с	5	1
30	и вместе с	1	1
31	не имеет никакой	1	1
32	и никогда не	1	1
33	могли бы вынести	1	1
34	как и в	1	1
35	в жизни и	1	1
